Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
58299.9144,13.9375,35.4375,52.90475,-1.25,0.003123392
58299.9169,13.75,35.3125,54.07147,-0.875,0.003138965
58299.9194,13.9375,35.4375,55.19107,-0.4375,0.003148308
58299.9219,14.0625,35.3125,56.29959,-0.875,0.003142079
58299.9244,14.0625,35.0,57.38329,-1.4375,0.003101589
58299.9269,13.9375,35.125,58.39589,-1.375,0.003092246
58299.9294,13.875,35.0,59.28941,-1.5625,0.003115605
58299.9319,13.875,35.0,60.04206,-1.5625,0.00313585
58299.9344,13.75,35.0,60.67003,-1.6875,0.003123392
58299.9369,14.0625,35.0,61.21941,-1.5625,0.003092246
58299.9394,13.9375,35.0,61.74402,-1.5625,0.003081344
58299.9419,13.9375,35.0625,62.28111,-1.3125,0.00309536
58299.9444,13.9375,35.125,62.8365,-1.5,0.003098475
58299.9469,13.6875,35.1875,63.38566,-1.125,0.003093803
58299.9494,13.8125,35.375,63.88875,-1.1875,0.003068886
58299.9519,13.9375,35.5,64.31146,-1.3125,0.003059542
58299.9544,13.875,35.625,64.64143,-1.4375,0.003081344
58299.9569,13.6875,35.9375,64.89267,-1.875,0.003067329
58299.9594,13.75,36.1875,65.09686,-1.75,0.003040855
58299.9619,13.75,36.625,65.28709,-2.0625,0.003043969
58299.9644,13.875,37.25,65.48266,-1.0,0.003056428
58299.9669,14.0,37.75,65.68255,-1.0625,0.003056428
58299.9694,13.8125,38.5,65.86971,-1.5,0.003029954
58299.9719,13.8125,38.6875,66.02275,-1.5625,0.003006594
58299.9744,13.8125,39.375,66.12734,-1.4375,0.00299725
58299.9769,13.75,39.75,66.18135,-1.75,0.00299725
58299.9794,13.8125,40.1875,66.19115,-2.125,0.002995693
58299.9819,13.625,40.6875,66.16293,-1.75,0.002978563
58299.9844,13.9375,41.0625,66.09537,-1.5625,0.002948974
58299.9869,13.875,41.4375,65.97943,-1.25,0.002928729
58299.9894,14.0625,41.6875,65.80549,-1.5625,0.00293963
58299.9919,14.0,42.125,65.57279,-1.8125,0.002924057
58299.9944,13.875,42.625,65.29397,-1.9375,0.002872666
58299.9969,13.75,42.9375,64.99,-1.875,0.002849307
58299.9994,13.8125,43.1875,64.67702,-2.0,0.002839963
58300.0019,13.6875,43.6875,64.35322,-1.5,0.002849307
58300.0044,13.625,44.25,63.99491,-1.875,0.00282439
58300.0069,13.75,44.8125,63.56655,-1.6875,0.002791687
58300.0094,13.875,45.1875,63.04055,-1.6875,0.00280103
58300.0119,13.875,45.875,62.41547,-2.0625,0.00280726
58300.0144,13.875,46.4375,61.71997,-2.1875,0.002835291
58300.0169,13.75,47.0625,60.99787,-1.8125,0.002849307
58300.0194,13.8125,47.5,60.28081,-2.25,0.002850864
58300.0219,13.75,48.3125,59.56431,-2.625,0.002874223
58300.0244,14.0,48.625,58.80401,-2.1875,0.002917828
58300.0269,13.75,49.25,57.93782,-2.4375,0.002959875
58300.0294,13.875,50.0,56.92426,-2.0,0.002970776
58300.0319,13.8125,50.375,55.77546,-1.9375,0.002998808
58300.0344,13.6875,50.875,54.56296,-2.0625,0.003034625
58300.0369,13.75,51.5625,53.3883,-1.25,0.003075115
58300.0394,13.8125,52.0625,52.33108,-1.25,0.003104704
58300.0419,13.75,52.5,51.40298,-1.6875,0.003089131
58300.0444,13.875,53.125,50.53599,-1.3125,0.003103147
58300.0469,13.8125,53.6875,49.61656,-1.75,0.003121834
58300.0494,13.75,54.125,48.5503,-1.5,0.003149866
58300.0519,13.75,54.6875,47.32166,-1.4375,0.003143636
58300.0544,13.9375,55.0625,46.01197,-1.375,0.003117162
58300.0569,13.8125,55.5,44.75977,-1.875,0.003129621
58300.0594,13.875,56.0,43.67992,-2.0,0.003146751
58300.0619,13.9375,56.4375,42.78471,-1.75,0.003157652
58300.0644,13.9375,56.9375,41.95381,-1.6875,0.003129621
58300.0669,13.875,57.25,40.97657,-1.75,0.003110933
58300.0694,13.8125,57.5625,39.64976,-2.0625,0.003115605
58300.0719,13.9375,57.8125,37.88017,-1.6875,0.00313585
58300.0744,13.8125,58.125,35.73359,-1.5625,0.003129621
58300.0769,13.6875,58.5625,33.3981,-1.75,0.00311249
58300.0794,13.9375,58.875,31.077,-1.5625,0.003093803
58300.0819,13.875,59.125,28.86955,-1.4375,0.003109376
58300.0844,13.875,59.3125,26.71116,-2.0625,0.00311249
58300.0869,13.75,59.4375,24.41695,-1.8125,0.003104704
58300.0894,13.875,59.75,21.81712,-1.6875,0.003092246
58300.0919,13.6875,59.9375,18.91664,-1.875,0.003076673
58300.0944,13.625,59.9375,15.98934,-2.0625,0.003082902
58300.0969,13.6875,60.1875,13.54035,-2.0625,0.003092246
58300.0994,13.875,60.25,12.13439,-2.0625,0.003084459
58300.1019,13.875,60.375,12.15792,-2.0,0.003053313
58300.1044,13.8125,60.4375,13.62372,-1.75,0.003040855
58300.1069,13.6875,60.375,16.11542,-1.5,0.00305487
58300.1094,13.75,60.4375,18.9079,-2.0,0.00305487
58300.1119,13.625,60.375,21.21805,-1.9375,0.003043969
58300.1144,13.6875,60.375,22.4793,-1.9375,0.003022167
58300.1169,13.625,60.25,22.52247,-1.8125,0.003015938
58300.1194,13.5,60.0625,21.59076,-1.9375,0.003029954
58300.1219,13.6875,60.0625,20.19413,-1.9375,0.003017495
58300.1244,13.875,59.9375,18.87916,-1.9375,0.003009709
58300.1269,13.8125,59.8125,18.02172,-2.125,0.003006594
58300.1294,13.6875,59.5625,17.72765,-2.3125,0.003017495
58300.1319,13.6875,59.375,17.86677,-2.0625,0.003036183
58300.1344,13.4375,59.1875,18.20058,-1.5,0.003036183
58300.1369,13.5,58.8125,18.52638,-1.75,0.00302061
58300.1394,13.5625,58.4375,18.765,-1.9375,0.00302061
