Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
58354.3644,11.4375,40.875,29.36279,-3.1875,0.00270292
58354.3669,11.5,40.875,29.1454,-3.375,0.002802588
58354.3694,11.5625,40.9375,28.85871,-3.125,0.002853979
58354.3719,11.4375,40.6875,28.45944,-3.125,0.002874223
58354.3744,11.5625,40.8125,27.92428,-3.4375,0.002886682
58354.3769,11.625,40.625,27.27929,-3.0,0.002920942
58354.3794,11.625,40.625,26.60929,-3.1875,0.002930286
58354.3819,11.4375,40.3125,26.03566,-2.875,0.002917828
58354.3844,11.625,40.4375,25.66856,-2.5625,0.002928729
58354.3869,11.625,40.375,25.55451,-2.5,0.002927172
58354.3894,11.5,40.375,25.64561,-2.875,0.002942745
58354.3919,11.375,40.25,25.81174,-2.875,0.002942745
58354.3944,11.3125,40.125,25.89631,-3.1875,0.0029225
58354.3969,11.5625,40.0625,25.79185,-3.125,0.002925614
58354.3994,11.5625,40.0,25.50261,-2.9375,0.002924057
58354.4019,11.3125,39.9375,25.16227,-3.0625,0.002938073
58354.4044,11.5625,39.875,24.99342,-3.375,0.002924057
58354.4069,11.625,39.9375,25.22288,-3.0,0.002906927
58354.4094,11.5625,39.75,25.98764,-3.5,0.002916271
58354.4119,11.5,39.6875,27.27326,-3.625,0.002933401
58354.4144,11.5,39.6875,28.9137,-3.5,0.002945859
58354.4169,11.5625,39.625,30.65547,-3.5625,0.002928729
58354.4194,11.5,39.5,32.26059,-3.1875,0.002914713
58354.4219,11.625,39.5,33.60497,-3.25,0.002925614
58354.4244,11.5625,39.4375,34.73107,-3.1875,0.002930286
58354.4269,11.625,39.5,35.8316,-3.1875,0.002936516
58354.4294,11.5,39.375,37.17083,-2.5625,0.002919385
58354.4319,11.5,39.3125,38.97563,-2.625,0.002911599
58354.4344,11.5,39.25,41.34089,-2.5625,0.002927172
58354.4369,11.625,39.4375,44.18741,-2.875,0.002941187
58354.4394,11.5625,39.125,47.28873,-3.125,0.002927172
58354.4419,11.625,39.0,50.35495,-2.8125,0.00289914
58354.4444,11.5625,38.9375,53.13874,-2.875,0.002905369
58354.4469,11.6875,39.125,55.52087,-2.6875,0.0029225
58354.4494,11.75,39.0,57.54133,-3.125,0.0029225
58354.4519,11.5625,38.875,59.36489,-2.625,0.002916271
58354.4544,11.5625,38.875,61.19691,-2.625,0.002897583
58354.4569,11.4375,38.6875,63.18417,-3.1875,0.002889796
58354.4594,11.375,38.75,65.34444,-3.0,0.002902255
58354.4619,11.5625,38.75,67.55397,-3.125,0.002917828
58354.4644,11.5625,38.5625,69.59668,-2.75,0.002897583
