Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
58374.0644,12.8125,64.8125,27.1281,-2.8125,0.00288201
58374.0669,12.75,64.625,28.22133,-2.5625,0.002860208
58374.0694,12.6875,64.625,28.15663,-2.8125,0.002866437
58374.0719,12.9375,64.625,27.14222,-2.9375,0.002897583
58374.0744,12.8125,64.4375,25.67721,-2.5625,0.002891354
58374.0769,12.9375,64.5625,24.28951,-2.9375,0.002875781
58374.0794,12.9375,64.1875,23.29988,-2.625,0.002853979
58374.0819,12.9375,64.1875,22.72079,-2.625,0.002861765
58374.0844,12.625,63.875,22.32341,-2.125,0.002885125
58374.0869,12.6875,63.5625,21.81793,-2.375,0.002880453
58374.0894,12.75,63.4375,21.03866,-2.125,0.002867994
58374.0919,12.8125,63.0625,20.03281,-2.4375,0.002863322
58374.0944,12.8125,62.75,19.01363,-2.5,0.002869552
58374.0969,12.625,62.25,18.21686,-2.25,0.002883567
58374.0994,12.6875,61.8125,17.75222,-2.6875,0.002874223
58374.1019,12.5625,61.5625,17.53926,-2.5,0.002861765
58374.1044,12.6875,60.875,17.36334,-2.3125,0.002857093
58374.1069,12.8125,60.375,17.01501,-1.6875,0.00286488
58374.1094,12.6875,60.0,16.42653,-1.75,0.002872666
58374.1119,12.5625,59.5625,15.72141,-1.75,0.002855536
58374.1144,12.5,58.875,15.14475,-2.375,0.002833734
58374.1169,12.6875,58.375,14.91355,-2.3125,0.002830619
58374.1194,12.6875,57.9375,15.07503,-2.25,0.002847749
58374.1219,12.875,57.375,15.45928,-1.9375,0.002853979
58374.1244,12.5625,56.6875,15.75929,-2.125,0.002836848
58374.1269,12.6875,56.1875,15.69863,-2.25,0.002833734
58374.1294,12.6875,55.875,15.19393,-1.625,0.002830619
58374.1319,12.6875,55.4375,14.41908,-1.875,0.002843077
58374.1344,12.625,55.25,13.73021,-1.9375,0.002838406
58374.1369,12.8125,54.9375,13.48669,-2.1875,0.002811931
58374.1394,12.6875,54.4375,13.86196,-2.4375,0.002813489
58374.1419,12.625,54.0,14.74608,-2.375,0.002829062
58374.1444,12.625,53.75,15.79405,-2.4375,0.002836848
58374.1469,12.5625,53.4375,16.59622,-1.75,0.002832176
58374.1494,12.625,53.0625,16.88189,-1.9375,0.002810374
58374.1519,12.5625,52.6875,16.65013,-2.1875,0.00280726
58374.1544,12.75,52.375,16.16102,-2.125,0.002829062
58374.1569,12.6875,51.875,15.79485,-2.3125,0.00284152
58374.1594,12.5,51.375,15.85536,-2.0625,0.002830619
58374.1619,12.5625,51.0625,16.41992,-2.625,0.002816603
58374.1644,12.5,50.625,17.31227,-2.5,0.002818161
58374.1669,12.625,50.3125,18.206,-2.5,0.002829062
58374.1694,12.5625,50.125,18.79823,-2.6875,0.002833734
58374.1719,12.5625,49.6875,18.96098,-2.4375,0.002830619
58374.1744,12.625,49.3125,18.79276,-2.4375,0.002825947
58374.1769,12.4375,48.875,18.55044,-2.0625,0.002818161
58374.1794,12.5,48.6875,18.50464,-1.5625,0.002833734
58374.1819,12.5,48.3125,18.79882,-2.3125,0.002833734
58374.1844,12.4375,48.1875,19.38482,-2.1875,0.002811931
58374.1869,12.4375,47.875,20.06216,-1.6875,0.002822833
58374.1894,12.4375,47.5,20.59165,-2.5625,0.002838406
58374.1919,12.4375,47.25,20.81798,-2.625,0.002835291
58374.1944,12.5625,47.1875,20.73651,-2.625,0.002838406
58374.1969,12.5625,46.9375,20.47489,-2.8125,0.00282439
58374.1994,12.4375,46.75,20.20809,-2.6875,0.002825947
58374.2019,12.5625,46.4375,20.05865,-2.875,0.002853979
58374.2044,12.5625,46.125,20.03754,-2.625,0.00285865
58374.2069,12.3125,46.0,20.05292,-2.4375,0.002844635
58374.2094,12.375,45.875,19.97496,-2.0625,0.002835291
58374.2119,12.4375,45.5625,19.71529,-1.75,0.002829062
58374.2144,12.5,45.3125,19.27631,-2.1875,0.002829062
58374.2169,12.4375,45.25,18.74624,-2.1875,0.002827504
58374.2194,12.3125,44.9375,18.24811,-2.5,0.002819718
58374.2219,12.4375,44.75,17.87481,-2.5,0.002839963
58374.2244,12.25,44.75,17.64665,-1.8125,0.002863322
58374.2269,12.375,44.3125,17.51204,-1.9375,0.002894468
58374.2294,12.5,44.375,17.38562,-2.0625,0.002913156
58374.2319,12.4375,44.125,17.19894,-2.0625,0.002919385
58374.2344,12.5625,43.875,16.93467,-1.9375,0.002948974
58374.2369,12.5,43.625,16.62832,-2.3125,0.002970776
58374.2394,12.5,43.5,16.3411,-2.0625,0.002975448
58374.2419,12.3125,43.3125,16.12292,-1.9375,0.002984792
58374.2444,12.3125,43.25,15.98729,-2.0,0.002975448
58374.2469,12.375,43.125,15.91017,-2.0625,0.002983235
58374.2494,12.5625,43.0625,15.84933,-2.1875,0.003001922
58374.2519,12.5,42.8125,15.77035,-2.0,0.002983235
58374.2544,12.625,42.625,15.66337,-2.25,0.002948974
58374.2569,12.5625,42.4375,15.54292,-2.5625,0.0029225
58374.2594,12.5625,42.375,15.43432,-2.375,0.002905369
58374.2619,12.5625,42.25,15.35756,-2.4375,0.002894468
58374.2644,12.5625,41.875,15.31758,-2.6875,0.002867994
58374.2669,12.5625,41.8125,15.30509,-2.25,0.002857093
58374.2694,12.5,41.625,15.30505,-2.0,0.00284152
58374.2719,12.5,41.5625,15.30576,-2.3125,0.002847749
58374.2744,12.5,41.5,15.30273,-2.0625,0.002860208
58374.2769,12.4375,41.375,15.29755,-2.0625,0.002830619
