Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
58906.1144,10.875,58.625,0.5001069,-2.5625,0.003380346
58906.1169,10.875,58.5,-1.185821,-2.8125,0.003456654
58906.1194,10.9375,58.3125,-3.163406,-2.6875,0.003204371
58906.1219,11.0,58.25,-4.694734,-3.125,0.003849094
58906.1244,10.6875,58.125,-5.173484,-3.1875,0.002517602
58906.1269,10.9375,57.9375,-4.407475,-3.125,-0.002914262
58906.1294,10.8125,58.125,-2.705446,-2.8125,-0.003060649
58906.1319,10.875,57.8125,-0.7229542,-2.6875,-0.003239738
58906.1344,10.9375,57.8125,0.8567356,-2.75,-0.002227493
58906.1369,10.9375,57.6875,1.648327,-3.125,0.002886682
58906.1394,10.625,57.75,1.737029,-2.9375,0.003316497
58906.1419,10.8125,57.625,1.618409,-2.9375,0.002934958
58906.1444,10.75,57.4375,1.945034,-2.75,0.003157652
58906.1469,10.9375,57.5625,3.216459,-2.75,0.003124949
58906.1494,10.8125,57.375,5.569801,-3.125,0.003138965
58906.1519,11.0,57.125,8.768859,-2.9375,0.003173225
58906.1544,10.8125,57.1875,12.38037,-2.4375,0.003191913
58906.1569,10.8125,57.0625,16.02865,-2.625,0.003198142
58906.1594,10.8125,56.875,19.5837,-2.3125,0.003201257
58906.1619,11.0,56.8125,23.18312,-2.625,0.003218387
58906.1644,10.9375,56.75,27.08583,-2.25,0.003257319
58906.1669,10.9375,56.625,31.4501,-1.8125,0.003261991
58906.1694,10.8125,56.3125,36.16964,-1.5625,0.00325109
58906.1719,10.9375,56.375,40.86461,-1.875,0.003249533
58906.1744,10.625,56.125,45.03612,-1.8125,0.003269778
58906.1769,10.875,55.9375,48.29956,-1.6875,0.003296252
58906.1794,10.9375,55.875,50.56716,-2.3125,0.003296252
58906.1819,10.8125,55.8125,52.0791,-2.125,0.003282236
58906.1844,10.6875,55.4375,53.26691,-2.3125,0.003280679
58906.1869,10.8125,55.5,54.52499,-2.125,0.00329158
58906.1894,10.4375,55.3125,56.013,-2.1875,0.003316497
58906.1919,10.6875,55.3125,57.59565,-2.5,0.003316497
58906.1944,10.625,55.125,58.94608,-2.375,0.003294695
58906.1969,10.5,55.125,59.75168,-2.1875,0.003290023
58906.1994,10.625,55.0625,59.909,-2.125,0.00330871
58906.2019,10.5,55.125,59.60175,-2.3125,0.003335184
58906.2044,10.5625,55.0625,59.22224,-2.75,0.003324283
58906.2069,10.4375,55.1875,59.18166,-2.25,0.003321169
58906.2094,10.5,55.0625,59.71157,-2.4375,0.003346086
58906.2119,10.4375,55.0,60.75973,-2.5625,0.003378789
58906.2144,10.5,55.0,62.02977,-2.4375,0.003394362
58906.2169,10.4375,55.0,63.13888,-2.0625,0.003385018
58906.2194,10.5625,54.875,63.80782,-2.1875,0.003377232
58906.2219,10.4375,54.875,63.98647,-2.375,0.003397476
58906.2244,10.4375,54.75,63.8581,-2.625,0.00343018
58906.2269,10.3125,54.875,63.72995,-2.25,0.003422393
58906.2294,10.5,55.125,63.87468,-2.125,0.003411492
58906.2319,10.625,55.3125,64.40559,-2.5,0.00346444
58906.2344,10.5,55.625,65.24249,-2.875,0.003232403
58906.2369,10.5625,56.1875,66.17484,-2.4375,0.00393786
58906.2394,10.6875,56.8125,66.97938,-2.625,0.002572107
58906.2419,10.5625,57.5,67.52803,-3.3125,-0.002974997
58906.2444,10.5,58.5,67.83444,-3.3125,-0.003069992
58906.2469,10.5625,59.5625,68.02515,-3.0625,-0.00322105
58906.2494,10.625,60.6875,68.25973,-2.5,-0.0021543
58906.2519,10.75,61.625,68.64664,-2.3125,0.003059542
58906.2544,10.75,62.75,69.19651,-2.375,0.003423951
58906.2569,10.625,63.8125,69.83012,-2.875,0.003034625
58906.2594,10.6875,64.6875,70.42884,-2.3125,0.003307153
58906.2619,10.75,65.875,70.89593,-2.5,0.003288465
58906.2644,10.8125,66.8125,71.19693,-1.9375,0.003313382
58906.2669,10.625,67.875,71.3626,-2.125,0.003358544
58906.2694,10.8125,68.9375,71.45851,-2.0625,0.003403706
58906.2719,10.9375,69.9375,71.54235,-1.875,0.003461326
58906.2744,10.875,70.9375,71.63216,-2.0,0.003509602
58906.2769,10.75,72.0625,71.70122,-1.8125,0.003531404
58906.2794,10.8125,73.125,71.69875,-2.125,0.003571894
58906.2819,10.875,74.3125,71.58383,-1.9375,0.003624842
58906.2844,11.0625,75.375,71.35454,-2.625,0.003690249
58906.2869,10.8125,76.375,71.05303,-2.0,0.003705822
58906.2894,11.0625,77.4375,70.74502,-2.1875,0.003690249
58906.2919,10.75,78.5,70.48285,-2.0625,0.003702707
58906.2944,10.9375,79.875,70.27018,-2.0,0.003716723
58906.2969,10.8125,80.8125,70.04922,-2.1875,0.003716723
58906.2994,10.875,81.9375,69.72137,-2.5,0.00368402
58906.3019,10.9375,82.9375,69.19537,-2.3125,0.003637301
58906.3044,10.875,84.0,68.44165,-2.5,0.003615499
58906.3069,10.9375,84.9375,67.52332,-2.625,0.003618613
58906.3094,10.875,85.875,66.5819,-2.1875,0.00360304
58906.3119,10.9375,86.875,65.77908,-2.3125,0.003568779
58906.3144,10.9375,87.75,65.21831,-1.9375,0.00354542
58906.3169,11.0,88.5625,64.88448,-1.8125,0.003532962
58906.3194,10.9375,89.25,64.64034,-2.3125,0.003542305
58906.3219,11.0,90.1875,64.28749,-2.1875,0.003537633
58906.3244,10.6875,90.9375,63.66576,-2.125,0.003508045
58906.3269,10.9375,91.6875,62.74077,-2.25,0.003503373
58906.3294,10.875,92.1875,61.62876,-2.0625,0.00352206
58906.3319,11.0,92.75,60.53734,-1.9375,0.003540748
58906.3344,11.0625,93.25,59.64711,-2.3125,0.003529847
58906.3369,10.9375,93.6875,58.99707,-2.4375,0.003514274
58906.3394,10.8125,94.25,58.44265,-2.375,0.00352206
58906.3419,10.75,94.8125,57.72156,-2.1875,0.003542305
58906.3444,11.0625,95.0625,56.60255,-2.4375,0.003556321
58906.3469,10.75,95.4375,55.04032,-2.4375,0.003604597
58906.3494,11.0,95.6875,53.24461,-2.4375,0.003333627
58906.3519,10.875,95.875,51.60844,-1.875,0.004023511
58906.3544,10.875,96.375,50.51399,-2.0625,0.00266866
58906.3569,10.9375,96.4375,50.10914,-1.9375,-0.002900247
58906.3594,10.6875,96.4375,50.17736,-1.75,-0.002940736
58906.3619,10.8125,96.75,50.1886,-2.125,-0.00312917
58906.3644,11.0,96.4375,49.53057,-2.125,-0.002051518
58906.3669,10.9375,96.75,47.82162,-1.875,0.003254205
58906.3694,10.9375,96.625,45.1502,-2.3125,0.003537633
58906.3719,10.75,96.5625,42.10864,-2.1875,0.003073558
58906.3744,10.9375,96.5,39.58216,-2.125,0.003310268
58906.3769,10.5625,96.3125,38.37571,-2.125,0.003307153
58906.3794,10.75,96.375,38.84873,-2.375,0.003356987
58906.3819,10.875,96.125,40.73295,-2.4375,0.003378789
58906.3844,11.0,95.875,43.22655,-2.0,0.003375674
58906.3869,10.8125,95.625,45.32619,-2.375,0.003394362
58906.3894,10.75,95.25,46.24295,-2.1875,0.003422393
58906.3919,10.8125,94.75,45.70838,-2.125,0.003445753
58906.3944,10.6875,94.4375,44.03324,-2.25,0.003444195
58906.3969,10.75,93.9375,41.90487,-2.3125,0.003428622
58906.3994,10.8125,93.4375,40.03557,-2.4375,0.003439524
58906.4019,10.8125,93.0,38.84114,-2.5625,0.003469112
58906.4044,10.875,92.375,38.30064,-2.3125,0.003472227
58906.4069,10.6875,91.9375,38.04719,-2.4375,0.00346444
58906.4094,10.875,91.5,37.61883,-2.5,0.003459768
58906.4119,10.75,90.75,36.72295,-2.25,0.003472227
58906.4144,10.9375,90.1875,35.37537,-2.1875,0.003492472
58906.4169,10.8125,89.5,33.85435,-2.25,0.003490914
58906.4194,10.8125,88.9375,32.51577,-1.625,0.003478456
58906.4219,10.75,88.125,31.58686,-1.8125,0.003476899
58906.4244,10.6875,87.25,31.05796,-1.625,0.003486243
58906.4269,10.8125,86.4375,30.72568,-2.3125,0.003503373
58906.4294,10.6875,85.75,30.3484,-2.1875,0.003500258
58906.4319,10.875,84.9375,29.81077,-2.375,0.0034878
58906.4344,10.6875,84.125,29.19341,-2.3125,0.0034878
58906.4369,10.625,83.3125,28.70544,-2.125,0.00350493
58906.4394,10.5625,82.5625,28.52372,-2.4375,0.003520503
58906.4419,10.5625,81.625,28.64182,-2.1875,0.003525175
58906.4444,10.6875,80.8125,28.8284,-2.125,0.003511159
58906.4469,10.875,80.3125,28.73168,-2.25,0.003518946
58906.4494,10.6875,79.5625,28.0788,-2.5,0.00354542
58906.4519,10.875,79.0,26.8581,-2.375,0.003557878
58906.4544,10.625,78.4375,25.37423,-2.25,0.003560993
58906.4569,10.75,77.9375,24.13196,-1.8125,0.003557878
58906.4594,10.8125,77.375,23.59746,-2.0,0.003570337
58906.4619,10.875,76.9375,23.95729,-2.1875,0.003638858
58906.4644,10.875,76.25,25.00231,-2.1875,0.00337256
58906.4669,10.6875,75.6875,26.20331,-2.5,0.004071788
58906.4694,10.9375,75.375,26.94693,-2.1875,0.002629727
58906.4719,10.8125,74.75,26.81835,-2.25,-0.003063763
58906.4744,10.8125,74.25,25.79226,-2.0625,-0.002904919
58906.4769,10.8125,73.6875,24.23992,-2.4375,-0.003060649
58906.4794,10.75,73.1875,22.75295,-2.8125,-0.002007913
58906.4819,10.875,72.875,21.87344,-3.0,0.003310268
58906.4844,10.9375,72.4375,21.86177,-2.5,0.003508045
58906.4869,10.9375,72.1875,22.60884,-2.375,0.003084459
58906.4894,10.8125,72.0,23.72155,-2.375,0.003346086
58906.4919,10.6875,71.4375,24.72553,-2.625,0.003299367
58906.4944,10.75,71.0,25.27779,-2.25,0.003316497
58906.4969,11.0625,70.8125,25.28748,-2.25,0.003363216
58906.4994,10.875,70.25,24.90059,-2.3125,0.003388133
58906.5019,10.8125,70.125,24.37628,-2.1875,0.003391247
58906.5044,11.0,69.75,23.93383,-2.25,0.003380346
58906.5069,10.75,69.375,23.65279,-2.625,0.003403706
58906.5094,10.9375,69.25,23.46959,-2.3125,0.003441081
58906.5119,10.875,68.8125,23.25554,-2.375,0.00344731
58906.5144,10.9375,68.6875,22.91882,-2.375,0.003444195
58906.5169,10.9375,68.5,22.46636,-2.375,0.003445753
58906.5194,11.0625,68.25,21.99266,-2.5,0.003475341
58906.5219,11.0625,68.0,21.60896,-2.25,0.003501816
58906.5244,10.9375,67.8125,21.36175,-2.0625,0.003497144
58906.5269,11.0,67.5,21.1925,-2.0,0.003476899
58906.5294,10.75,67.25,20.96398,-1.6875,0.003478456
58906.5319,10.9375,67.125,20.53725,-1.625,0.003498701
58906.5344,10.9375,66.9375,19.85305,-1.6875,0.003514274
58906.5369,10.9375,66.8125,18.96885,-2.125,0.003514274
58906.5394,10.875,66.75,18.03029,-2.375,0.003503373
58906.5419,10.875,66.5,17.1944,-2.25,0.003501816
58906.5444,11.0,66.375,16.54953,-2.25,0.003509602
58906.5469,10.9375,66.1875,16.07868,-2.5625,0.00352206
58906.5494,11.0625,66.0625,15.68598,-2.6875,0.003536076
58906.5519,10.8125,65.875,15.26829,-2.9375,0.003540748
58906.5544,11.0,65.875,14.78792,-2.875,0.003564108
58906.5569,10.8125,65.375,14.30073,-2.4375,0.003595254
58906.5594,10.9375,65.1875,13.92192,-2.75,0.003617056
58906.5619,10.875,65.0,13.74805,-2.625,0.003631072
58906.5644,11.125,64.875,13.78169,-2.9375,0.003632629
58906.5669,10.9375,64.625,13.90583,-2.6875,0.003637301
58906.5694,10.9375,64.4375,13.9284,-2.875,0.003679348
58906.5719,10.875,64.3125,13.67722,-2.8125,0.003687134
58906.5744,11.0625,64.0625,13.09542,-2.8125,0.00368402
58906.5769,11.0,64.0,12.2863,-2.875,0.003749426
58906.5794,11.0,63.75,11.47874,-3.4375,0.003453539
58906.5819,11.0,63.6875,10.92869,-3.1875,0.004294481
58906.5844,11.0625,63.5,10.80485,-3.25,0.002597024
58906.5869,11.0625,63.5,11.11361,-3.625,-0.003657095
58906.5894,10.9375,63.1875,11.70005,-3.4375,-0.003006143
58906.5919,10.9375,63.1875,12.32323,-3.5,-0.003057534
58906.5944,10.875,63.0,12.76671,-3.4375,-0.001987669
58906.5969,11.0625,62.875,12.92946,-3.3125,0.003520503
58906.5994,11.125,62.875,12.85518,-2.9375,0.003536076
58906.6019,11.0625,62.625,12.69166,-3.125,0.003040855
58906.6044,11.0,62.6875,12.60588,-3.1875,0.003336742
58906.6069,11.0,62.4375,12.70114,-3.4375,0.003294695
58906.6094,10.875,62.375,12.97702,-3.625,0.003294695
58906.6119,10.9375,62.375,13.34714,-3.5625,0.003313382
58906.6144,10.875,62.0,13.6991,-3.125,0.003333627
58906.6169,11.0625,61.9375,13.9605,-2.625,0.003369445
