Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
37560.2531,6.3125,78.3125,57.98199,-2.375,0.00302061
37560.2556,6.0,77.5625,57.9226,-1.5,0.003079787
37560.2581,6.1875,76.9375,57.89939,-1.9375,0.003043969
37560.2606,6.0,76.125,57.91391,-2.0625,0.002978563
37560.2631,6.125,75.4375,57.9697,-2.5,0.002964547
37560.2656,6.1875,74.4375,58.06942,-2.1875,0.002908484
37560.2681,6.1875,73.6875,58.21251,-2.0625,0.002944302
37560.2706,6.0,72.8125,58.39397,-2.0,0.002998808
37560.2731,6.0625,72.25,58.60502,-2.5625,0.003096917
37560.2756,6.0625,71.6875,58.83523,-2.625,0.003006594
37560.2781,6.0625,70.9375,59.07536,-3.0,0.002948974
37560.2806,5.875,70.4375,59.31992,-2.9375,0.002860208
37560.2831,6.1875,70.125,59.56826,-2.875,0.002902255
37560.2856,5.9375,69.625,59.82413,-2.5,0.002981677
37560.2881,6.125,69.1875,60.09357,-2.6875,0.003014381
37560.2906,5.9375,68.8125,60.38213,-3.1875,0.003043969
37560.2931,6.0625,68.5,60.69229,-3.0625,0.002977005
37560.2956,6.0625,68.0,61.02194,-2.875,0.002944302
37560.2981,5.875,67.5625,61.36446,-2.875,0.002891354
37560.3006,6.0,67.125,61.71011,-2.1875,0.002948974
37560.3031,6.0625,66.5625,62.04834,-2.125,0.002983235
37560.3056,5.9375,66.1875,62.36993,-2.125,0.003070443
37560.3081,5.875,66.0,62.66863,-2.4375,0.003073558
37560.3106,5.8125,65.5,62.94148,-2.125,0.003001922
37560.3131,5.875,65.125,63.18832,-2.4375,0.00293963
37560.3156,5.9375,64.8125,63.41023,-2.8125,0.002888239
37560.3181,5.9375,64.4375,63.60817,-2.875,0.002975448
37560.3206,5.8125,64.0,63.7817,-2.875,0.003026839
37560.3231,5.9375,63.8125,63.92856,-2.75,0.00307823
37560.3256,6.0,63.625,64.04478,-2.9375,0.002994136
37560.3281,5.8125,63.3125,64.12553,-2.625,0.002941187
37560.3306,5.9375,63.3125,64.16603,-2.625,0.002883567
37560.3331,5.875,62.9375,64.16269,-2.0625,0.002913156
