Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
60512.4144,13.9375,42.1875,78.37525,-3.125,0.003040855
60512.4169,13.875,42.75,78.75484,-2.9375,0.003034625
60512.4194,13.8125,43.6875,79.19432,-2.5625,0.002998808
60512.4219,13.875,44.875,79.58677,-2.875,0.003019052
60512.4244,13.75,45.9375,79.84712,-2.8125,0.003056428
60512.4269,13.6875,46.9375,79.97404,-2.4375,0.003059542
60512.4294,13.9375,48.125,80.04411,-2.875,0.003047084
60512.4319,13.875,49.0625,80.15002,-3.0,0.003026839
60512.4344,14.0,50.0,80.32927,-3.0,0.003062657
60512.4369,13.75,50.875,80.53384,-2.6875,0.003096917
60512.4394,13.9375,51.6875,80.66064,-1.8125,0.003106261
60512.4419,13.8125,52.375,80.62196,-2.25,0.003106261
60512.4444,13.75,53.125,80.40765,-2.75,0.003098475
60512.4469,13.75,53.8125,80.09592,-2.25,0.00311872
60512.4494,13.75,54.5625,79.80363,-2.4375,0.003156095
60512.4519,13.75,55.3125,79.60793,-2.125,0.003179454
60512.4544,13.6875,56.125,79.48701,-1.8125,0.003179454
60512.4569,13.75,56.9375,79.32169,-2.125,0.003187241
60512.4594,13.875,57.875,78.9603,-2.1875,0.00321683
60512.4619,13.875,58.8125,78.30818,-2.4375,0.003263549
60512.4644,13.875,59.6875,77.38843,-2.4375,0.003283794
60512.4669,13.6875,60.625,76.33316,-2.5625,0.003277564
60512.4694,13.8125,61.625,75.30923,-2.5,0.003286908
60512.4719,13.9375,62.5,74.42153,-2.8125,0.003319611
60512.4744,13.8125,63.375,73.65224,-2.1875,0.003335184
60512.4769,13.8125,64.25,72.87409,-2.125,0.003328955
60512.4794,13.6875,65.125,71.92986,-2.0625,0.003299367
60512.4819,13.6875,65.875,70.73095,-2.1875,0.003296252
60512.4844,13.6875,66.8125,69.31393,-2.625,0.00331494
60512.4869,13.8125,67.4375,67.81908,-2.6875,0.003277564
60512.4894,13.875,68.1875,66.40314,-2.5625,0.003244861
60512.4919,14.0,68.9375,65.14066,-2.4375,0.003247976
60512.4944,13.875,69.6875,63.97699,-2.3125,0.003244861
60512.4969,13.6875,70.25,62.7666,-2.1875,0.003240189
60512.4994,13.75,70.75,61.37636,-2.0625,0.003202814
