Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
60572.7144,12.4375,55.3125,-11.01076,-1.9375,0.003339856
60572.7169,12.25,55.0625,-9.756517,-1.75,0.003369445
60572.7194,12.1875,54.625,-8.520666,-1.9375,0.00311249
60572.7219,12.3125,54.4375,-7.465739,-1.8125,0.003789916
60572.7244,12.3125,54.125,-6.648667,-1.8125,0.00243195
60572.7269,12.3125,54.0,-6.018807,-1.4375,-0.003297358
60572.7294,12.125,53.5625,-5.4592,-1.375,-0.003639964
60572.7319,12.4375,53.375,-4.849935,-1.25,-0.003633735
60572.7344,12.25,53.25,-4.126964,-1.0625,-0.002716485
60572.7369,12.1875,52.875,-3.31229,-0.9375,0.001869765
60572.7394,12.25,53.0625,-2.504434,-1.125,0.002632842
60572.7419,12.3125,52.875,-1.834598,-1.0,0.002491128
60572.7444,12.3125,52.875,-1.406137,-1.3125,0.00276677
60572.7469,12.4375,52.875,-1.245255,-1.4375,0.002855536
60572.7494,12.4375,52.5,-1.282547,-1.3125,0.002927172
60572.7519,12.25,52.3125,-1.374297,-1.3125,0.002945859
60572.7544,12.4375,52.375,-1.356645,-1.4375,0.002981677
60572.7569,12.375,52.125,-1.107681,-1.25,0.003015938
60572.7594,12.1875,51.75,-0.5929729,-1.5625,0.003057985
60572.7619,12.375,51.5625,0.1235439,-1.75,0.003081344
60572.7644,12.4375,51.375,0.9098721,-1.4375,0.003081344
60572.7669,12.375,51.25,1.620435,-1.375,0.003093803
60572.7694,12.3125,50.875,2.151123,-1.375,0.003109376
60572.7719,12.375,50.75,2.472503,-1.5,0.003134293
60572.7744,12.4375,50.5625,2.627637,-1.375,0.003140522
60572.7769,12.375,50.4375,2.698041,-1.25,0.003131178
60572.7794,12.125,50.125,2.757227,-1.0625,0.003134293
60572.7819,12.4375,49.875,2.831221,-1.0,0.00315298
60572.7844,12.4375,49.75,2.888166,-1.4375,0.003163881
60572.7869,12.5,49.5625,2.857223,-1.125,0.003157652
60572.7894,12.3125,49.25,2.66536,-1.4375,0.003142079
60572.7919,12.3125,49.0,2.27477,-1.375,0.003159209
60572.7944,12.4375,48.8125,1.701957,-0.6875,0.00317634
60572.7969,12.4375,48.625,1.010242,-1.1875,0.003170111
60572.7994,12.4375,48.25,0.2806015,-1.5,0.003170111
60572.8019,12.375,47.875,-0.4257825,-1.875,0.003148308
60572.8044,12.5,47.75,-1.096174,-1.75,0.003151423
60572.8069,12.4375,47.625,-1.773861,-1.25,0.003173225
60572.8094,12.375,47.375,-2.540944,-0.875,0.003191913
60572.8119,12.5625,47.125,-3.484313,-1.125,0.003191913
60572.8144,12.4375,47.0,-4.659228,-1.125,0.003215272
60572.8169,12.4375,46.75,-6.066405,-1.0625,0.00329158
60572.8194,12.5625,46.5,-7.651809,-1.5625,0.003378789
60572.8219,12.4375,46.4375,-9.32912,-2.0,0.003437966
60572.8244,12.3125,46.125,-11.01462,-1.6875,0.003453539
60572.8269,12.4375,46.125,-12.65914,-1.1875,0.0034878
60572.8294,12.5625,45.875,-14.26269,-1.0625,0.003540748
60572.8319,12.5625,45.8125,-15.86545,-1.0625,0.003652874
60572.8344,12.4375,45.75,-17.51898,-1.25,0.003307153
60572.8369,12.625,45.5,-19.25009,-1.5,0.004229075
60572.8394,12.4375,45.375,-21.03298,-1.3125,0.002280892
60572.8419,12.375,45.1875,-22.78008,-1.4375,-0.005335865
60572.8444,12.625,45.25,-24.35368,-1.75,-0.005057108
60572.8469,12.625,45.1875,-25.59279,-1.625,-0.004806382
60572.8494,12.5,45.0,-26.34546,-1.3125,-0.003478005
