Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
60609.8644,17.125,12.4375,35.36049,-3.875,0.002983235
60609.8669,17.0,12.25,35.2757,-3.5,0.003008151
60609.8694,17.0625,12.375,35.20385,-3.3125,0.003057985
60609.8719,17.125,12.3125,35.14315,-3.25,0.003100032
60609.8744,17.0625,12.5,35.09575,-3.5,0.003154538
60609.8769,16.8125,12.3125,35.06516,-3.25,0.003190355
60609.8794,16.875,12.25,35.05194,-3.0,0.003212158
60609.8819,17.125,12.25,35.05062,-3.1875,0.003241746
60609.8844,17.0625,12.3125,35.05064,-3.1875,0.00325109
60609.8869,17.0625,12.3125,35.04163,-3.125,0.003279122
60609.8894,17.0625,12.375,35.02135,-3.25,0.003290023
60609.8919,17.125,12.375,35.00099,-3.25,0.003288465
60609.8944,17.0625,12.25,35.00402,-2.9375,0.003296252
60609.8969,17.0625,12.375,35.05624,-2.625,0.003280679
60609.8994,17.25,12.375,35.1705,-3.0625,0.00329158
60609.9019,17.1875,12.375,35.33302,-3.25,0.003260434
60609.9044,17.125,12.375,35.49937,-3.4375,0.003219944
60609.9069,17.25,12.5,35.60462,-3.625,0.003215272
60609.9094,17.25,12.5,35.58636,-3.625,0.003232403
60609.9119,17.1875,12.4375,35.41206,-3.1875,0.003237074
60609.9144,17.125,12.3125,35.09877,-3.5,0.003184126
60609.9169,17.3125,12.6875,34.71516,-2.8125,0.003157652
60609.9194,17.375,12.5625,34.3628,-2.9375,0.003123392
60609.9219,17.125,12.5625,34.1426,-3.125,0.003109376
60609.9244,17.25,12.5,34.11945,-3.25,0.003104704
60609.9269,17.3125,12.5,34.29975,-3.375,0.003068886
60609.9294,17.3125,12.5625,34.63095,-3.625,0.003034625
60609.9319,17.1875,12.5,35.02345,-3.4375,0.003019052
60609.9344,17.3125,12.5625,35.385,-3.625,0.003031511
60609.9369,17.25,12.4375,35.65304,-3.25,0.003017495
60609.9394,17.5,12.6875,35.8119,-3.3125,0.002967662
60609.9419,17.125,12.5625,35.88865,-3.4375,0.002955203
60609.9444,17.4375,12.5,35.93174,-3.5,0.002928729
60609.9469,17.1875,12.625,35.98328,-3.0625,0.002911599
60609.9494,17.4375,12.75,36.05809,-3.9375,0.002919385
60609.9519,17.3125,12.625,36.13794,-3.9375,0.002896026
60609.9544,17.4375,12.625,36.18202,-4.25,0.002914713
60609.9569,17.5625,12.75,36.14717,-3.8125,0.002936516
60609.9594,17.25,12.875,36.00746,-4.4375,0.002955203
60609.9619,17.3125,12.5625,35.76464,-3.4375,0.002961432
60609.9644,17.375,12.625,35.44576,-4.1875,0.002964547
60609.9669,17.4375,12.75,35.09099,-3.1875,0.002969219
60609.9694,17.4375,12.6875,34.73813,-3.0625,0.002973891
60609.9719,17.5625,12.6875,34.41142,-3.375,0.002975448
60609.9744,17.4375,12.625,34.11859,-2.6875,0.00295676
60609.9769,17.25,12.625,33.85546,-2.5625,0.002964547
60609.9794,17.4375,12.625,33.61472,-1.8125,0.002973891
60609.9819,17.5,12.625,33.39372,-2.625,0.002984792
60609.9844,17.5,12.6875,33.19804,-3.8125,0.002978563
60609.9869,17.4375,12.625,33.04021,-3.375,0.002924057
60609.9894,17.5625,12.625,32.93556,-2.5,0.002897583
60609.9919,17.5625,12.6875,32.89782,-2.125,0.002910041
60609.9944,17.5,12.5,32.93633,-1.9375,0.002911599
60609.9969,17.4375,12.5625,33.05532,-1.8125,0.002888239
60609.9994,17.4375,12.4375,33.25417,-1.9375,0.00284152
60610.0019,17.5625,12.5,33.52742,-2.0,0.002847749
60610.0044,17.5,12.5,33.86425,-2.9375,0.002871109
60610.0069,17.4375,12.4375,34.24807,-3.125,0.00288201
60610.0094,17.3125,12.5,34.65706,-2.9375,0.002896026
60610.0119,17.375,12.5625,35.0669,-2.25,0.002872666
60610.0144,17.4375,12.5625,35.45497,-2.25,0.002886682
60610.0169,17.625,12.6875,35.80487,-2.4375,0.002919385
60610.0194,17.5,12.5,36.1092,-1.9375,0.002953646
60610.0219,17.5,12.5625,36.36942,-2.1875,0.002987906
60610.0244,17.5,12.5,36.59269,-2.5625,0.002961432
60610.0269,17.5,12.5,36.78703,-3.125,0.002989464
60610.0294,17.625,12.75,36.957,-2.4375,0.003040855
60610.0319,17.4375,12.6875,37.10142,-2.375,0.003045527
60610.0344,17.5625,12.6875,37.21389,-2.3125,0.003068886
60610.0369,17.6875,12.75,37.28573,-2.3125,0.003062657
60610.0394,17.5,12.8125,37.30941,-2.5625,0.003056428
60610.0419,17.5625,12.8125,37.28136,-2.625,0.003087574
60610.0444,17.5625,12.8125,37.20281,-2.0,0.003117162
60610.0469,17.4375,12.75,37.07888,-2.75,0.003107819
60610.0494,17.6875,12.875,36.91646,-2.5,0.003110933
60610.0519,17.6875,12.875,36.72224,-2.9375,0.003138965
60610.0544,17.5,12.9375,36.50133,-2.875,0.003165439
60610.0569,17.4375,13.0625,36.2572,-2.5625,0.003177897
60610.0594,17.4375,13.0,35.99244,-2.1875,0.003181012
60610.0619,17.5625,13.0,35.70994,-2.375,0.003207486
60610.0644,17.6875,13.1875,35.41399,-2.3125,0.003249533
60610.0669,17.5,13.1875,35.11091,-2.8125,0.003249533
60610.0694,17.4375,13.0,34.8091,-2.75,0.00323396
60610.0719,17.5625,13.1875,34.51847,-2.9375,0.003227731
60610.0744,17.5,13.0625,34.24934,-2.5625,0.003213715
60610.0769,17.4375,13.125,34.01094,-1.8125,0.00321683
60610.0794,17.5,13.0625,33.8098,-2.0625,0.003191913
60610.0819,17.5,13.0625,33.64835,-2.125,0.003146751
60610.0844,17.625,13.125,33.52458,-2.25,0.00307823
60610.0869,17.6875,13.125,33.4327,-2.4375,0.003028396
60610.0894,17.5625,13.125,33.36504,-2.125,0.003022167
60610.0919,17.5,12.9375,33.31462,-2.25,0.002967662
60610.0944,17.5,12.9375,33.27734,-2.0625,0.002910041
60610.0969,17.625,13.1875,33.25311,-2.0625,0.002855536
60610.0994,17.5625,13.0625,33.2452,-2.0625,0.002827504
60610.1019,17.625,13.0,33.25825,-2.0,0.00282439
60610.1044,17.6875,13.0,33.29575,-2.125,0.00280103
60610.1069,17.5625,12.9375,33.35811,-2.1875,0.002779228
60610.1094,17.375,12.9375,33.44244,-2.0625,0.00276677
60610.1119,17.5,13.0,33.54371,-2.125,0.002802588
60610.1144,17.6875,13.125,33.65704,-2.1875,0.002825947
60610.1169,17.6875,12.9375,33.77962,-2.5,0.00280726
60610.1194,17.6875,12.75,33.91138,-2.625,0.002811931
60610.1219,17.5625,12.875,34.05376,-2.625,0.002818161
