Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
60894.9144,15.1875,35.75,51.5497,-2.125,0.002969219
60894.9169,14.9375,35.8125,51.53448,-2.375,0.002972333
60894.9194,14.9375,35.5625,51.60992,-2.25,0.002977005
60894.9219,14.9375,35.5,51.74015,-2.125,0.003005037
60894.9244,15.0625,35.5,51.8261,-1.875,0.003006594
60894.9269,14.8125,35.25,51.75933,-1.875,0.002984792
60894.9294,15.0,35.125,51.47898,-2.0625,0.002987906
60894.9319,15.0625,35.0,51.0013,-2.25,0.003000365
60894.9344,15.0,35.0,50.40676,-2.125,0.003009709
60894.9369,15.0,34.8125,49.79319,-2.625,0.003005037
60894.9394,15.0625,34.5,49.22152,-2.8125,0.003001922
60894.9419,15.0,34.625,48.684,-2.6875,0.002998808
60894.9444,14.9375,34.375,48.11207,-2.875,0.00302061
60894.9469,15.125,34.3125,47.41889,-2.5625,0.003025282
60894.9494,15.0,33.9375,46.55242,-2.3125,0.003026839
60894.9519,15.0,33.875,45.52949,-2.1875,0.003023724
60894.9544,15.0,33.8125,44.4312,-2.75,0.003014381
60894.9569,15.0,33.625,43.36169,-2.0625,0.003034625
60894.9594,15.0,33.3125,42.39309,-2.3125,0.003036183
60894.9619,15.25,33.375,41.52774,-2.4375,0.003026839
60894.9644,15.125,33.3125,40.69975,-2.375,0.003026839
60894.9669,14.9375,33.0,39.81709,-1.75,0.003023724
60894.9694,15.0,32.75,38.82105,-2.0,0.003053313
60894.9719,15.0625,32.5625,37.72948,-2.25,0.003029954
60894.9744,15.0,32.5625,36.63665,-2.3125,0.003005037
60894.9769,15.0,32.5,35.66607,-2.5,0.003001922
60894.9794,15.25,32.4375,34.89984,-2.25,0.002991021
60894.9819,15.1875,32.625,34.32341,-2.5,0.003003479
60894.9844,15.0,32.0625,33.81969,-2.25,0.002986349
60894.9869,15.0,32.0,33.22114,-2.1875,0.002953646
60894.9894,15.0,31.5625,32.39577,-2.75,0.002959875
60894.9919,15.3125,31.5625,31.32104,-2.6875,0.002967662
60894.9944,15.0625,31.4375,30.10299,-2.5625,0.002977005
60894.9969,15.0625,31.0625,28.92408,-2.6875,0.002966104
60894.9994,14.9375,30.875,27.94361,-3.1875,0.002945859
60895.0019,15.125,30.9375,27.20382,-3.3125,0.002973891
