Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
61008.6144,11.375,13.625,9.306236,-3.1875,0.003132735
61008.6169,11.375,13.4375,9.230273,-3.375,0.003149866
61008.6194,11.375,13.375,9.168343,-3.4375,0.003157652
61008.6219,11.5,13.375,9.122464,-3.5625,0.003181012
61008.6244,11.3125,13.5,9.087794,-3.25,0.003187241
61008.6269,11.375,13.5625,9.055498,-3.1875,0.003179454
61008.6294,11.3125,13.5625,9.01715,-2.8125,0.00319347
61008.6319,11.4375,13.25,8.968478,-3.0625,0.003209043
61008.6344,11.5,13.5625,8.910697,-2.9375,0.0032106
61008.6369,11.375,13.4375,8.848882,-3.1875,0.003207486
61008.6394,11.4375,13.4375,8.788372,-3.375,0.003196585
61008.6419,11.4375,13.4375,8.731215,-3.25,0.003199699
61008.6444,11.3125,13.4375,8.674812,-3.25,0.003223059
61008.6469,11.3125,13.5,8.613282,-3.375,0.003224616
61008.6494,11.3125,13.5,8.541055,-3.25,0.003181012
61008.6519,11.5,13.5,8.456644,-2.6875,0.003187241
61008.6544,11.4375,13.4375,8.364561,-2.9375,0.003190355
61008.6569,11.4375,13.375,8.274015,-3.1875,0.003191913
61008.6594,11.5625,13.5625,8.195006,-2.375,0.003195027
61008.6619,11.4375,13.5625,8.1336,-2.6875,0.003162324
61008.6644,11.4375,13.375,8.088714,-2.375,0.003092246
61008.6669,11.4375,13.5,8.052129,-2.5,0.003086016
61008.6694,11.5,13.5,8.011854,-3.125,0.003124949
61008.6719,11.4375,13.5,7.957534,-3.0,0.003089131
61008.6744,11.375,13.6875,7.885303,-2.9375,0.003017495
61008.6769,11.375,13.625,7.800032,-2.9375,0.003040855
61008.6794,11.3125,13.4375,7.713735,-3.0625,0.003045527
61008.6819,11.4375,13.5625,7.641121,-3.125,0.003031511
61008.6844,11.375,13.625,7.59409,-2.75,0.003040855
61008.6869,11.4375,13.5625,7.577557,-2.9375,0.002994136
61008.6894,11.4375,13.5,7.588183,-3.1875,0.002987906
61008.6919,11.375,13.5,7.616362,-2.4375,0.003023724
61008.6944,11.4375,13.5,7.650344,-1.9375,0.003031511
61008.6969,11.4375,13.6875,7.680756,-2.6875,0.003036183
61008.6994,11.25,13.5,7.703632,-2.3125,0.003015938
61008.7019,11.5625,13.4375,7.721116,-3.0,0.003012823
61008.7044,11.25,13.4375,7.739699,-4.0,0.003029954
61008.7069,11.4375,13.4375,7.767184,-3.625,0.003023724
61008.7094,11.4375,13.625,7.809435,-3.0,0.003012823
61008.7119,11.4375,13.4375,7.868207,-1.875,0.003022167
61008.7144,11.3125,13.75,7.940635,-2.6875,0.003042412
61008.7169,11.5625,13.5625,8.02026,-3.0625,0.003076673
61008.7194,11.5625,13.5,8.09924,-3.75,0.003065771
61008.7219,11.4375,13.5,8.17073,-3.375,0.003065771
61008.7244,11.5,13.5625,8.230753,-3.0625,0.003079787
61008.7269,11.375,13.5,8.279018,-2.75,0.003068886
61008.7294,11.3125,13.6875,8.318438,-2.3125,0.003070443
61008.7319,11.4375,13.4375,8.353518,-2.8125,0.003073558
61008.7344,11.5625,13.4375,8.388306,-2.375,0.003050198
61008.7369,11.375,13.625,8.424402,-2.9375,0.003082902
61008.7394,11.5625,13.4375,8.460032,-3.125,0.003100032
61008.7419,11.4375,13.5,8.490296,-3.375,0.003120277
61008.7444,11.3125,13.5,8.508769,-3.5,0.003096917
61008.7469,11.4375,13.6875,8.509931,-2.625,0.003062657
61008.7494,11.25,13.625,8.491233,-2.4375,0.003079787
61008.7519,11.5,13.625,8.454179,-2.5,0.003087574
61008.7544,11.3125,13.75,8.403715,-3.0625,0.003062657
61008.7569,11.375,13.3125,8.346245,-2.9375,0.003068886
61008.7594,11.3125,13.75,8.286982,-2.75,0.003050198
61008.7619,11.4375,13.5625,8.227674,-3.3125,0.003029954
61008.7644,11.1875,13.5,8.165942,-3.625,0.003023724
61008.7669,11.3125,13.6875,8.096494,-3.9375,0.003026839
61008.7694,11.3125,13.625,8.013775,-3.9375,0.003029954
61008.7719,11.4375,13.5,7.915063,-4.0,0.002986349
61008.7744,11.4375,13.5625,7.802409,-3.4375,0.002983235
61008.7769,11.25,13.625,7.682616,-2.75,0.002994136
61008.7794,11.375,13.5625,7.564935,-2.9375,0.003005037
61008.7819,11.5,13.5625,7.457395,-3.3125,0.003014381
61008.7844,11.5,13.3125,7.363398,-3.6875,0.002969219
61008.7869,11.5,13.6875,7.280057,-3.0,0.00298012
61008.7894,11.375,13.6875,7.199309,-3.1875,0.003025282
61008.7919,11.5,13.625,7.111384,-2.75,0.003039297
61008.7944,11.375,13.5,7.009393,-3.125,0.003008151
61008.7969,11.3125,13.625,6.892766,-3.4375,0.002998808
61008.7994,11.375,13.6875,6.768054,-3.0625,0.003031511
61008.8019,11.5,13.8125,6.646446,-3.3125,0.003023724
61008.8044,11.4375,13.625,6.539093,-3.0625,0.003028396
61008.8069,11.375,13.6875,6.452084,-2.9375,0.003008151
61008.8094,11.375,13.625,6.383763,-3.5625,0.003029954
61008.8119,11.5,13.75,6.325315,-3.4375,0.003073558
61008.8144,11.375,13.5625,6.264926,-3.3125,0.003053313
61008.8169,11.5,13.6875,6.193332,-3.5625,0.00303774
61008.8194,11.3125,13.625,6.108452,-3.25,0.003039297
61008.8219,11.3125,13.5625,6.0167,-3.0625,0.003086016
61008.8244,11.4375,13.5,5.930456,-2.6875,0.003128063
61008.8269,11.3125,13.6875,5.862583,-3.5625,0.003100032
61008.8294,11.4375,13.75,5.820821,-2.875,0.003100032
61008.8319,11.25,13.5,5.804413,-2.8125,0.003092246
61008.8344,11.5,13.5625,5.804783,-3.0,0.003126506
61008.8369,11.375,13.5625,5.809656,-3.375,0.003166996
61008.8394,11.375,13.625,5.80871,-3.1875,0.003148308
61008.8419,11.4375,13.6875,5.797767,-2.5625,0.003156095
61008.8444,11.4375,13.625,5.779919,-2.6875,0.003159209
61008.8469,11.3125,13.625,5.762857,-2.8125,0.003156095
61008.8494,11.5625,13.625,5.754253,-3.0625,0.003188798
61008.8519,11.4375,13.625,5.757518,-3.0625,0.003160767
61008.8544,11.4375,13.5625,5.770158,-3.125,0.00313585
61008.8569,11.375,13.6875,5.785249,-3.0625,0.003107819
61008.8594,11.25,13.5,5.795374,-3.1875,0.00311249
61008.8619,11.375,13.5625,5.796372,-2.875,0.003115605
61008.8644,11.3125,13.625,5.789137,-3.3125,0.003109376
61008.8669,11.4375,13.6875,5.778471,-3.25,0.003101589
61008.8694,11.4375,13.6875,5.769767,-2.9375,0.003068886
61008.8719,11.5,13.4375,5.765586,-2.875,0.003081344
61008.8744,11.5625,13.625,5.763966,-3.0,0.003081344
61008.8769,11.375,13.5625,5.759643,-2.875,0.00307823
61008.8794,11.4375,13.5625,5.747261,-2.9375,0.003076673
61008.8819,11.5,13.875,5.724865,-3.0625,0.003064214
61008.8844,11.4375,13.5,5.69557,-2.5,0.003079787
61008.8869,11.375,13.5625,5.666368,-2.6875,0.00305487
61008.8894,11.4375,13.4375,5.644875,-2.625,0.003076673
61008.8919,11.3125,13.6875,5.635529,-2.5,0.003070443
61008.8944,11.3125,13.5,5.63759,-2.0,0.0030611
61008.8969,11.625,13.875,5.645914,-2.4375,0.003104704
61008.8994,11.3125,13.5625,5.654092,-2.125,0.003081344
61008.9019,11.4375,13.625,5.658166,-2.5625,0.003042412
61008.9044,11.5,13.75,5.65879,-2.6875,0.003033068
61008.9069,11.375,13.5,5.660604,-2.5625,0.003051756
61008.9094,11.4375,13.625,5.6692,-2.6875,0.003103147
61008.9119,11.4375,13.75,5.687447,-2.9375,0.003075115
61008.9144,11.375,13.75,5.713217,-2.9375,0.003029954
61008.9169,11.5,13.5625,5.740014,-2.875,0.00303774
61008.9194,11.375,13.625,5.760144,-3.0625,0.003051756
61008.9219,11.5625,13.75,5.768729,-2.75,0.003081344
61008.9244,11.3125,13.5625,5.766181,-3.125,0.003073558
61008.9269,11.5,13.625,5.757837,-2.5,0.00302061
61008.9294,11.5,13.625,5.750659,-2.375,0.003022167
61008.9319,11.375,13.5625,5.749037,-2.75,0.003051756
61008.9344,11.625,13.75,5.7519,-2.5,0.003082902
61008.9369,11.5,13.5625,5.75301,-2.75,0.003051756
61008.9394,11.4375,13.5625,5.744376,-2.875,0.003031511
61008.9419,11.375,13.4375,5.720959,-2.5,0.003026839
61008.9444,11.4375,13.4375,5.684162,-2.5625,0.003068886
61008.9469,11.4375,13.5,5.641895,-2.625,0.003082902
61008.9494,11.3125,13.5625,5.605096,-2.4375,0.003040855
61008.9519,11.5625,13.4375,5.582334,-2.75,0.003056428
61008.9544,11.4375,13.4375,5.575415,-2.4375,0.003019052
61008.9569,11.4375,13.5,5.578448,-3.0,0.003023724
61008.9594,11.375,13.625,5.581058,-2.875,0.003040855
61008.9619,11.4375,13.4375,5.574277,-2.9375,0.003022167
61008.9644,11.4375,13.4375,5.55603,-2.9375,0.003042412
61008.9669,11.5,13.375,5.533278,-2.75,0.003051756
61008.9694,11.625,13.5,5.519614,-2.9375,0.0030611
61008.9719,11.5,13.5,5.529111,-3.0,0.003048641
61008.9744,11.375,13.4375,5.569408,-3.125,0.003065771
61008.9769,11.375,13.375,5.637571,-3.125,0.003081344
61008.9794,11.3125,13.5,5.720464,-2.75,0.003068886
61008.9819,11.4375,13.4375,5.8,-2.6875,0.003114048
61008.9844,11.625,13.5625,5.860365,-2.3125,0.003100032
61008.9869,11.3125,13.3125,5.894257,-2.5,0.003100032
61008.9894,11.4375,13.4375,5.905249,-2.4375,0.00311872
61008.9919,11.4375,13.3125,5.905416,-2.9375,0.003124949
61008.9944,11.3125,13.3125,5.90977,-3.0625,0.003134293
61008.9969,11.5625,13.375,5.930075,-2.6875,0.003115605
61008.9994,11.375,13.4375,5.970968,-2.375,0.003134293
61009.0019,11.5625,13.5,6.029498,-2.3125,0.003154538
61009.0044,11.5,13.5,6.097877,-2.875,0.003168553
61009.0069,11.5,13.4375,6.167498,-3.125,0.003173225
61009.0094,11.4375,13.5625,6.232131,-3.125,0.00315298
61009.0119,11.3125,13.5,6.288974,-2.875,0.003129621
61009.0144,11.5,13.5,6.337702,-3.125,0.003126506
61009.0169,11.5,13.5,6.378648,-3.1875,0.003151423
61009.0194,11.5625,13.5,6.411517,-3.4375,0.003138965
