Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
61199.7144,5.25,13.4375,-8.637283,-2.5,0.003045527
61199.7169,5.25,13.3125,-8.60755,-2.625,0.003073558
61199.7194,5.125,13.5,-8.574059,-3.3125,0.003075115
61199.7219,5.125,13.375,-8.539703,-3.1875,0.003075115
61199.7244,5.125,13.4375,-8.509596,-3.125,0.003040855
61199.7269,5.125,13.3125,-8.487569,-3.1875,0.003025282
61199.7294,5.3125,13.4375,-8.473034,-3.0,0.003026839
61199.7319,5.25,13.5,-8.460062,-2.875,0.003003479
61199.7344,5.0625,13.5,-8.439476,-2.875,0.002995693
61199.7369,5.3125,13.5,-8.403111,-3.0,0.002961432
61199.7394,5.25,13.4375,-8.348219,-3.1875,0.002981677
61199.7419,5.3125,13.5625,-8.279792,-3.0,0.00298012
61199.7444,5.3125,13.5,-8.209245,-3.1875,0.003011266
61199.7469,5.25,13.5,-8.149982,-3.125,0.003036183
61199.7494,5.1875,13.5,-8.111645,-3.5,0.003022167
61199.7519,5.3125,13.4375,-8.095719,-3.375,0.003036183
61199.7544,5.25,13.625,-8.094543,-3.4375,0.00305487
61199.7569,5.375,13.5,-8.094133,-3.25,0.003086016
61199.7594,5.1875,13.4375,-8.079708,-2.9375,0.003107819
61199.7619,5.3125,13.625,-8.041236,-3.375,0.003075115
61199.7644,5.3125,13.5625,-7.976898,-3.5,0.003107819
61199.7669,5.1875,13.5625,-7.893007,-3.625,0.003131178
61199.7694,5.1875,13.625,-7.800724,-3.375,0.003154538
61199.7719,5.125,13.375,-7.711286,-2.75,0.003142079
61199.7744,5.3125,13.75,-7.631752,-2.5625,0.003109376
61199.7769,5.3125,13.625,-7.563064,-2.9375,0.003132735
61199.7794,5.25,13.5625,-7.500733,-2.4375,0.003142079
61199.7819,5.3125,13.6875,-7.437728,-2.5625,0.003145194
61199.7844,5.3125,13.625,-7.368034,-3.0,0.003138965
61199.7869,5.1875,13.6875,-7.289351,-2.8125,0.003134293
61199.7894,5.1875,13.625,-7.204075,-2.5,0.003170111
61199.7919,5.25,13.75,-7.118347,-2.375,0.003212158
61199.7944,5.375,13.75,-7.03968,-2.25,0.003191913
61199.7969,5.25,13.5625,-6.974236,-2.0625,0.003148308
61199.7994,5.25,13.625,-6.924632,-2.4375,0.003163881
61199.8019,5.1875,13.625,-6.889178,-2.125,0.003185684
61199.8044,5.125,13.625,-6.862683,-2.4375,0.003160767
61199.8069,5.3125,13.5625,-6.838545,-2.9375,0.003140522
61199.8094,5.25,13.5625,-6.811425,-2.9375,0.003114048
61199.8119,5.25,13.6875,-6.779407,-2.75,0.003143636
61199.8144,5.375,13.5625,-6.744699,-3.375,0.003187241
61199.8169,5.25,13.5625,-6.71271,-2.875,0.003168553
61199.8194,5.125,13.5625,-6.689628,-2.8125,0.003163881
61199.8219,5.125,13.625,-6.679417,-3.375,0.003160767
61199.8244,5.25,13.5,-6.681726,-3.3125,0.003170111
61199.8269,5.25,13.6875,-6.691561,-3.25,0.003212158
61199.8294,5.375,13.625,-6.7011,-3.0,0.003219944
61199.8319,5.25,13.625,-6.702832,-3.125,0.00321683
61199.8344,5.1875,13.5625,-6.692749,-3.375,0.003184126
61199.8369,5.1875,13.625,-6.672012,-3.375,0.003188798
61199.8394,5.125,13.6875,-6.646256,-3.4375,0.003204371
61199.8419,5.125,13.5,-6.623067,-3.5,0.003201257
61199.8444,5.25,13.6875,-6.608428,-3.125,0.0032106
61199.8469,5.3125,13.625,-6.604107,-3.4375,0.003166996
61199.8494,5.25,13.5,-6.607066,-3.5,0.00315298
61199.8519,5.1875,13.625,-6.611132,-2.9375,0.003163881
61199.8544,5.3125,13.75,-6.60993,-2.9375,0.003142079
61199.8569,5.3125,13.5625,-6.59976,-3.375,0.003114048
61199.8594,5.25,13.6875,-6.581052,-3.125,0.003068886
61199.8619,5.1875,13.5625,-6.557819,-3.0,0.003051756
61199.8644,5.375,13.625,-6.535668,-2.8125,0.003051756
61199.8669,5.125,13.5,-6.519302,-2.8125,0.00305487
61199.8694,5.4375,13.5625,-6.510768,-2.9375,0.003029954
61199.8719,5.125,13.6875,-6.508914,-3.1875,0.003029954
61199.8744,5.1875,13.5625,-6.510134,-2.5,0.003042412
61199.8769,5.3125,13.5,-6.509765,-3.0625,0.003003479
61199.8794,5.1875,13.5,-6.503376,-3.0625,0.003008151
61199.8819,5.25,13.5625,-6.487914,-2.6875,0.002998808
61199.8844,5.25,13.625,-6.462277,-2.9375,0.003001922
61199.8869,5.1875,13.5625,-6.427762,-2.9375,0.003036183
61199.8894,5.1875,13.5625,-6.388031,-3.3125,0.003047084
61199.8919,5.375,13.5,-6.348584,-3.375,0.003050198
61199.8944,5.3125,13.5,-6.315447,-3.3125,0.003012823
61199.8969,5.4375,13.625,-6.293058,-3.125,0.003056428
61199.8994,5.1875,13.5625,-6.282334,-3.25,0.00311872
61199.9019,5.125,13.625,-6.27954,-3.0,0.003138965
61199.9044,5.3125,13.4375,-6.277182,-3.375,0.00311872
61199.9069,5.125,13.5,-6.266707,-3.125,0.003079787
61199.9094,5.25,13.5,-6.242301,-2.8125,0.003103147
61199.9119,5.3125,13.5,-6.203874,-3.0,0.003151423
61199.9144,5.125,13.5,-6.157558,-2.9375,0.003138965
61199.9169,5.25,13.5625,-6.113215,-2.625,0.003120277
61199.9194,5.25,13.5,-6.079723,-2.4375,0.003121834
61199.9219,5.3125,13.5,-6.060365,-2.6875,0.003157652
61199.9244,5.375,13.4375,-6.050636,-2.4375,0.003201257
61199.9269,5.0625,13.3125,-6.039865,-2.5,0.003185684
61199.9294,5.3125,13.4375,-6.016065,-2.75,0.003188798
61199.9319,5.25,13.4375,-5.971871,-2.4375,0.003163881
61199.9344,5.125,13.4375,-5.90859,-2.6875,0.003171668
61199.9369,5.375,13.5,-5.836038,-2.8125,0.003196585
61199.9394,5.3125,13.4375,-5.768489,-2.9375,0.003184126
61199.9419,5.0,13.5,-5.71828,-2.9375,0.003174782
61199.9444,5.3125,13.4375,-5.690403,-2.75,0.003154538
61199.9469,5.3125,13.4375,-5.68069,-2.4375,0.003148308
61199.9494,5.125,13.375,-5.678233,-2.4375,0.003145194
61199.9519,5.1875,13.375,-5.670923,-2.5625,0.003137407
61199.9544,5.1875,13.4375,-5.650958,-2.4375,0.003117162
61199.9569,5.25,13.375,-5.617794,-2.375,0.003067329
61199.9594,5.25,13.375,-5.577355,-2.9375,0.003059542
61199.9619,5.125,13.375,-5.538059,-3.0,0.003053313
61199.9644,5.3125,13.375,-5.506396,-2.4375,0.003042412
61199.9669,5.1875,13.25,-5.484185,-2.6875,0.003019052
61199.9694,5.1875,13.25,-5.468891,-2.4375,0.003005037
61199.9719,5.1875,13.25,-5.456303,-2.6875,0.003015938
61199.9744,5.3125,13.25,-5.443733,-2.5,0.002972333
61199.9769,5.1875,13.375,-5.431415,-2.5,0.002931844
61199.9794,5.125,13.3125,-5.421491,-2.625,0.002913156
61199.9819,5.4375,13.1875,-5.415043,-3.5,0.002925614
61199.9844,5.1875,13.125,-5.409297,-2.6875,0.0029225
61199.9869,5.25,13.375,-5.39696,-2.75,0.002894468
61199.9894,5.25,13.375,-5.368586,-2.8125,0.002897583
61199.9919,5.3125,13.125,-5.316827,-2.9375,0.002903812
61199.9944,5.1875,13.1875,-5.240643,-2.6875,0.002936516
61199.9969,5.375,13.3125,-5.146835,-2.5,0.002987906
61199.9994,5.375,13.1875,-5.047892,-2.75,0.002983235
61200.0019,5.3125,13.25,-4.957059,-2.9375,0.002972333
61200.0044,5.3125,13.25,-4.882743,-2.9375,0.003001922
61200.0069,5.4375,13.125,-4.825071,-3.0,0.003072001
