Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
37897.4031,7.4375,87.6875,60.80959,-3.3125,0.002998808
37897.4056,7.3125,87.6875,60.19923,-2.875,0.002984792
37897.4081,7.0625,87.75,59.60962,-2.5625,0.002972333
37897.4106,7.0,87.4375,59.03297,-2.375,0.002983235
37897.4131,6.875,87.1875,58.46299,-3.0,0.002987906
37897.4156,7.0625,87.0,57.8946,-2.875,0.002984792
37897.4181,7.0,87.0,57.32455,-3.0,0.002972333
37897.4206,7.0,86.625,56.75347,-2.6875,0.002973891
37897.4231,6.8125,86.375,56.18829,-2.9375,0.003005037
37897.4256,6.8125,85.875,55.64362,-2.6875,0.003006594
37897.4281,6.9375,85.5,55.14028,-2.5625,0.002975448
37897.4306,6.9375,84.75,54.70065,-2.875,0.002961432
37897.4331,6.9375,84.5,54.34238,-2.75,0.002970776
37897.4356,6.8125,83.75,54.07266,-3.1875,0.00299725
37897.4381,6.75,83.125,53.88585,-3.0625,0.002989464
37897.4406,6.75,82.625,53.76546,-3.125,0.002975448
37897.4431,6.8125,81.625,53.6902,-2.8125,0.002972333
37897.4456,6.8125,80.75,53.64136,-3.1875,0.002978563
37897.4481,6.75,80.0,53.60892,-3.375,0.002998808
37897.4506,6.5625,79.0,53.59369,-3.0,0.002989464
37897.4531,6.6875,78.3125,53.60514,-2.625,0.002978563
37897.4556,6.75,77.375,53.65613,-3.0625,0.002972333
37897.4581,7.0,76.375,53.75697,-3.4375,0.002984792
37897.4606,7.0,75.3125,53.91141,-2.875,0.002991021
37897.4631,6.6875,74.4375,54.11584,-2.75,0.002970776
37897.4656,6.625,73.6875,54.36147,-2.9375,0.002961432
37897.4681,6.9375,72.8125,54.63804,-2.75,0.002969219
37897.4706,6.8125,72.0,54.937,-2.8125,0.002991021
37897.4731,6.8125,71.1875,55.25273,-2.5,0.002991021
37897.4756,6.625,70.375,55.5816,-2.5625,0.002958318
37897.4781,6.625,69.875,55.91983,-3.0,0.002958318
37897.4806,6.6875,69.4375,56.26177,-3.1875,0.002977005
37897.4831,6.9375,69.0,56.59975,-3.0625,0.002994136
37897.4856,6.75,68.5,56.92561,-2.6875,0.002984792
37897.4881,6.625,68.0,57.23335,-3.0625,0.002964547
37897.4906,6.625,67.375,57.52099,-3.125,0.002977005
37897.4931,6.5625,66.875,57.79067,-3.1875,0.002995693
37897.4956,6.5,66.375,58.04647,-3.0,0.002981677
37897.4981,6.5625,66.0,58.29095,-2.5625,0.002972333
37897.5006,6.8125,65.375,58.52219,-2.8125,0.002966104
37897.5031,6.625,64.875,58.73282,-2.8125,0.002983235
37897.5056,6.6875,64.5,58.91217,-2.6875,0.002995693
37897.5081,6.5625,64.3125,59.05032,-2.375,0.002995693
37897.5106,6.6875,63.8125,59.14245,-2.25,0.00296299
37897.5131,6.625,63.5,59.19125,-2.4375,0.002955203
37897.5156,6.625,62.9375,59.20594,-3.0,0.002995693
37897.5181,6.5,62.75,59.19812,-2.875,0.002998808
37897.5206,6.4375,62.4375,59.17621,-2.75,0.002994136
37897.5231,6.5,62.375,59.14124,-2.125,0.002981677
37897.5256,6.625,61.875,59.08607,-2.6875,0.00298012
37897.5281,6.5625,61.5625,58.99864,-2.5,0.002986349
37897.5306,6.375,61.5,58.86794,-2.9375,0.002984792
37897.5331,6.25,61.3125,58.68999,-3.125,0.002977005
37897.5356,6.5,61.1875,58.47076,-2.875,0.002972333
37897.5381,6.5,60.875,58.22468,-2.8125,0.003003479
37897.5406,6.4375,60.625,57.96926,-2.8125,0.003001922
37897.5431,6.4375,60.375,57.71814,-2.9375,0.002989464
37897.5456,6.25,60.25,57.47595,-3.0625,0.002961432
37897.5481,6.3125,59.9375,57.237,-3.0625,0.002973891
37897.5506,6.4375,59.875,56.98864,-2.9375,0.002998808
37897.5531,6.6875,59.75,56.71747,-2.5,0.002991021
37897.5556,6.375,59.4375,56.41564,-2.5625,0.002983235
37897.5581,6.25,59.25,56.08431,-2.625,0.002977005
37897.5606,6.25,59.0625,55.733,-3.1875,0.002978563
37897.5631,6.5,58.875,55.37547,-2.9375,0.002998808
37897.5656,6.6875,58.6875,55.02425,-2.875,0.002992578
37897.5681,6.4375,58.5,54.68633,-2.75,0.002977005
37897.5706,6.25,58.375,54.36199,-2.75,0.003000365
37897.5731,6.1875,58.25,54.04675,-2.5,0.003048641
37897.5756,6.3125,58.0,53.73519,-2.4375,0.003064214
37897.5781,6.3125,57.875,53.42467,-2.5,0.003047084
37897.5806,6.375,57.8125,53.11718,-3.1875,0.003031511
37897.5831,6.5625,57.5625,52.81861,-3.0,0.003033068
37897.5856,6.3125,57.375,52.53632,-2.8125,0.003059542
37897.5881,6.5,57.125,52.27601,-2.6875,0.003073558
37897.5906,6.125,57.0625,52.03965,-3.0625,0.003062657
37897.5931,6.25,56.75,51.82497,-3.125,0.003075115
37897.5956,6.1875,56.5625,51.62653,-3.0625,0.00307823
37897.5981,6.4375,56.25,51.43757,-3.1875,0.003056428
37897.6006,6.5,56.25,51.25194,-3.625,0.003043969
