Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
37912.1531,6.25,51.0,50.76406,-3.75,0.002998808
37912.1556,6.25,50.875,51.55283,-3.9375,0.003005037
37912.1581,6.25,50.625,52.38815,-3.625,0.002991021
37912.1606,6.1875,50.6875,53.26213,-3.5625,0.00299725
37912.1631,6.1875,50.625,54.17917,-3.0625,0.003008151
37912.1656,6.3125,50.5625,55.15106,-3.0625,0.003014381
37912.1681,6.25,50.4375,56.18944,-3.125,0.003012823
37912.1706,6.1875,50.3125,57.29884,-3.6875,0.002998808
37912.1731,6.1875,50.25,58.47324,-3.5,0.003008151
37912.1756,6.3125,50.25,59.69704,-3.5,0.003023724
37912.1781,6.1875,50.1875,60.94961,-3.6875,0.003011266
37912.1806,6.1875,50.0625,62.21101,-3.6875,0.003006594
37912.1831,6.1875,50.0,63.46631,-3.625,0.00302061
37912.1856,6.0625,50.0625,64.70676,-3.8125,0.003034625
37912.1881,6.125,49.875,65.9278,-4.0,0.003039297
37912.1906,6.25,50.0625,67.12547,-3.3125,0.003025282
37912.1931,6.1875,50.0,68.29309,-3.125,0.003011266
37912.1956,6.25,49.9375,69.42025,-3.0625,0.003019052
37912.1981,6.125,50.0625,70.49431,-3.375,0.003048641
37912.2006,6.125,49.875,71.50356,-3.0,0.003047084
37912.2031,6.0625,49.75,72.44041,-3.5,0.003031511
37912.2056,6.0625,49.8125,73.30285,-3.3125,0.003042412
37912.2081,6.0625,50.0,74.09354,-3.0625,0.003043969
37912.2106,6.0625,49.9375,74.81729,-3.75,0.003057985
37912.2131,6.0,50.0625,75.47815,-3.625,0.003068886
37912.2156,6.0625,50.125,76.07768,-3.625,0.003057985
37912.2181,6.0,50.375,76.61505,-3.3125,0.003076673
37912.2206,6.0625,50.875,77.08865,-3.5,0.003100032
37912.2231,5.8125,51.25,77.49809,-3.625,0.003117162
37912.2256,6.0,51.9375,77.84519,-3.1875,0.003123392
37912.2281,5.9375,52.5,78.13342,-3.1875,0.003132735
37912.2306,5.9375,53.25,78.36604,-3.1875,0.003143636
37912.2331,5.9375,53.9375,78.54417,-2.9375,0.003179454
37912.2356,5.875,54.5,78.66582,-3.4375,0.003202814
37912.2381,5.9375,55.375,78.72686,-3.25,0.003196585
37912.2406,5.875,56.0,78.72332,-3.5,0.00321683
37912.2431,5.9375,56.6875,78.65401,-3.625,0.003252647
37912.2456,5.875,57.3125,78.52231,-3.5625,0.003263549
37912.2481,5.9375,58.0625,78.33599,-3.5625,0.003265106
37912.2506,5.6875,59.0,78.10549,-3.4375,0.003247976
37912.2531,5.8125,59.75,77.84119,-3.5,0.003246418
37912.2556,5.8125,60.5,77.55124,-3.9375,0.003246418
37912.2581,5.6875,61.375,77.24072,-4.25,0.00323396
37912.2606,5.9375,62.25,76.91216,-4.0,0.003185684
37912.2631,5.8125,63.1875,76.56718,-4.125,0.003142079
37912.2656,6.0625,64.1875,76.20779,-4.0625,0.003132735
37912.2681,6.0,65.0625,75.83694,-3.9375,0.003110933
37912.2706,6.0625,66.125,75.45798,-3.9375,0.003079787
37912.2731,6.25,67.125,75.07359,-4.1875,0.00303774
37912.2756,6.1875,68.375,74.68515,-4.25,0.003017495
37912.2781,6.3125,69.1875,74.29297,-4.125,0.003031511
37912.2806,6.4375,70.375,73.89753,-3.9375,0.003039297
37912.2831,6.5625,71.4375,73.501,-4.5,0.003026839
37912.2856,6.5625,72.5625,73.1082,-4.25,0.002998808
37912.2881,6.75,73.625,72.72618,-4.0625,0.002987906
37912.2906,6.75,74.625,72.36251,-4.3125,0.003011266
37912.2931,6.6875,75.375,72.0229,-3.875,0.003005037
37912.2956,6.75,76.5,71.7094,-3.6875,0.002987906
37912.2981,7.0625,77.5,71.41994,-4.375,0.00298012
37912.3006,6.9375,78.6875,71.14959,-3.75,0.002973891
37912.3031,7.0,79.375,70.89258,-3.625,0.003003479
37912.3056,7.0,80.1875,70.64417,-4.0625,0.002995693
37912.3081,7.0,81.0625,70.40089,-3.9375,0.002972333
37912.3106,7.125,81.875,70.15901,-3.9375,0.002984792
37912.3131,7.3125,82.9375,69.91188,-4.0625,0.003003479
37912.3156,7.3125,83.625,69.64771,-4.0625,0.002998808
37912.3181,7.25,84.375,69.3494,-4.0,0.002986349
37912.3206,7.3125,84.875,68.99705,-4.25,0.002983235
37912.3231,7.25,85.5,68.573,-4.125,0.002983235
37912.3256,7.4375,86.0,68.06717,-3.6875,0.002992578
37912.3281,7.1875,86.625,67.48079,-3.625,0.002977005
37912.3306,7.375,86.9375,66.82666,-3.1875,0.002969219
37912.3331,7.3125,87.3125,66.12564,-3.375,0.002984792
37912.3356,7.3125,87.75,65.40084,-3.9375,0.002998808
37912.3381,7.3125,88.0625,64.67178,-4.1875,0.002998808
37912.3406,7.25,88.3125,63.95106,-4.125,0.002991021
37912.3431,7.25,88.375,63.24464,-3.75,0.002969219
37912.3456,7.25,88.5625,62.55505,-3.8125,0.002977005
37912.3481,7.3125,88.625,61.88572,-3.8125,0.002989464
37912.3506,7.5,88.6875,61.24355,-3.5625,0.00299725
37912.3531,7.3125,88.8125,60.63847,-3.8125,0.002986349
37912.3556,7.1875,88.5,60.07997,-3.75,0.002975448
37912.3581,7.125,88.25,59.5724,-4.0625,0.002992578
37912.3606,7.25,88.375,59.11182,-4.0,0.003005037
37912.3631,7.3125,88.125,58.68646,-4.125,0.002995693
37912.3656,7.375,87.625,58.28093,-4.0625,0.002967662
37912.3681,7.25,87.5,57.88283,-4.0,0.002983235
37912.3706,7.25,87.0625,57.48875,-3.625,0.002998808
37912.3731,7.1875,86.5,57.10675,-3.75,0.002986349
37912.3756,7.0625,85.9375,56.75428,-4.0625,0.002981677
37912.3781,7.0625,85.4375,56.45196,-4.375,0.002972333
37912.3806,7.0625,84.75,56.21608,-4.3125,0.002981677
37912.3831,6.875,84.1875,56.0528,-4.0625,0.003003479
37912.3856,7.0,83.625,55.95639,-4.375,0.002987906
37912.3881,6.875,82.75,55.91212,-4.0625,0.002967662
37912.3906,6.875,82.0625,55.90233,-4.625,0.002961432
37912.3931,6.875,81.25,55.91296,-4.5,0.002987906
37912.3956,6.875,80.3125,55.93813,-4.25,0.002998808
37912.3981,6.9375,79.625,55.98095,-4.25,0.002981677
37912.4006,6.8125,78.625,56.05104,-3.9375,0.002972333
37912.4031,7.0,77.625,56.15971,-3.8125,0.002973891
37912.4056,6.9375,76.75,56.3151,-4.1875,0.002989464
37912.4081,6.9375,75.6875,56.51859,-4.0625,0.002987906
37912.4106,6.8125,74.75,56.76376,-3.625,0.002973891
37912.4131,6.8125,73.8125,57.03783,-4.125,0.002966104
37912.4156,6.625,72.9375,57.3247,-3.875,0.002973891
37912.4181,6.6875,72.25,57.60894,-4.1875,0.00299725
37912.4206,6.8125,71.5,57.87917,-3.8125,0.002983235
37912.4231,6.6875,70.9375,58.13036,-4.0,0.002961432
37912.4256,6.75,70.5,58.36398,-3.8125,0.002959875
37912.4281,6.75,69.875,58.58624,-3.9375,0.00298012
37912.4306,6.75,69.5625,58.80466,-4.0,0.002998808
37912.4331,6.625,69.125,59.02419,-4.0,0.00298012
37912.4356,6.5,68.75,59.24409,-3.6875,0.002967662
37912.4381,6.5625,68.1875,59.45705,-4.1875,0.002970776
37912.4406,6.625,67.625,59.6509,-3.8125,0.002987906
37912.4431,6.625,67.125,59.81248,-3.9375,0.00298012
37912.4456,6.6875,66.5,59.93206,-4.1875,0.00295676
37912.4481,6.625,66.125,60.00642,-3.8125,0.002970776
37912.4506,6.5625,65.6875,60.03931,-3.9375,0.002983235
37912.4531,6.5625,65.25,60.03896,-3.6875,0.002986349
37912.4556,6.5625,65.0,60.01406,-3.75,0.002983235
37912.4581,6.5,64.5625,59.97004,-3.625,0.002958318
37912.4606,6.5625,64.0625,59.90741,-3.5625,0.002958318
37912.4631,6.5625,63.875,59.8229,-3.4375,0.002984792
37912.4656,6.5625,63.625,59.71277,-3.875,0.002991021
37912.4681,6.5,63.375,59.57624,-3.9375,0.002969219
37912.4706,6.6875,63.125,59.41716,-3.625,0.002953646
37912.4731,6.6875,62.8125,59.24287,-3.9375,0.00298012
37912.4756,6.5,62.625,59.06079,-4.125,0.002998808
37912.4781,6.3125,62.3125,58.87452,-3.625,0.002991021
37912.4806,6.4375,62.125,58.68158,-4.25,0.002964547
37912.4831,6.5,62.0625,58.47421,-3.875,0.002961432
37912.4856,6.4375,61.75,58.24321,-4.0625,0.002991021
