Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
40863.9144,6.3125,50.6875,33.39927,-4.375,0.003318054
40863.9169,6.375,51.1875,33.39277,-4.3125,0.003276007
40863.9194,6.4375,51.5625,33.41608,-4.1875,0.003230845
40863.9219,6.5,52.0625,33.46146,-4.125,0.00317634
40863.9244,6.3125,52.75,33.51325,-4.0,0.003151423
40863.9269,6.0,53.25,33.55513,-4.4375,0.003142079
40863.9294,6.0625,53.75,33.57695,-3.625,0.003106261
40863.9319,6.1875,54.5,33.57787,-4.0625,0.003073558
40863.9344,6.25,55.1875,33.56478,-4.0625,0.003039297
40863.9369,5.9375,55.875,33.54732,-4.375,0.003036183
40863.9394,6.0,56.5625,33.53248,-4.0,0.003045527
40863.9419,6.0625,57.1875,33.52161,-3.75,0.003022167
40863.9444,6.125,57.9375,33.51122,-3.75,0.002995693
40863.9469,6.375,58.6875,33.49677,-4.0,0.002973891
40863.9494,6.1875,59.375,33.47686,-3.75,0.002992578
40863.9519,6.0,60.0625,33.45529,-4.625,0.002992578
40863.9544,6.25,60.9375,33.43957,-4.6875,0.002981677
40863.9569,6.125,61.6875,33.43681,-4.5,0.002981677
40863.9594,6.3125,62.5,33.44913,-3.875,0.002969219
40863.9619,6.4375,63.3125,33.47148,-3.625,0.002977005
40863.9644,6.25,64.1875,33.49306,-3.5625,0.002970776
40863.9669,6.4375,65.0,33.50216,-4.0625,0.002967662
40863.9694,6.4375,65.8125,33.49178,-4.375,0.002969219
40863.9719,6.4375,66.5,33.46345,-4.375,0.002973891
40863.9744,6.375,67.5625,33.42693,-4.25,0.002998808
40863.9769,6.25,68.1875,33.39603,-4.4375,0.002978563
40863.9794,6.25,69.0625,33.38248,-4.0,0.002920942
40863.9819,6.1875,69.6875,33.39066,-4.25,0.002860208
40863.9844,6.1875,70.4375,33.41585,-3.5,0.002846192
40863.9869,6.3125,71.25,33.44676,-3.75,0.002953646
40863.9894,6.3125,72.0,33.4709,-3.625,0.003068886
40863.9919,6.375,72.625,33.4804,-3.9375,0.003143636
40863.9944,6.3125,73.3125,33.47511,-4.25,0.003086016
40863.9969,6.25,73.6875,33.46204,-4.4375,0.002835291
40863.9994,6.125,74.1875,33.45114,-4.3125,0.002522274
40864.0019,6.0625,74.8125,33.4501,-4.125,0.002347856
40864.0044,6.1875,75.125,33.46054,-4.0,0.002349413
40864.0069,6.1875,75.5625,33.47741,-4.3125,0.002447523
40864.0094,6.25,75.75,33.49208,-4.125,0.002579894
40864.0119,6.25,76.0625,33.49713,-3.9375,0.002682676
40864.0144,6.1875,76.125,33.49035,-4.0625,0.002755869
40864.0169,6.1875,76.4375,33.47617,-3.9375,0.002836848
40864.0194,6.125,76.25,33.46318,-3.5,0.002885125
40864.0219,6.1875,76.375,33.45954,-4.0,0.002931844
40864.0244,6.1875,76.0625,33.46812,-3.9375,0.002958318
40864.0269,6.1875,75.75,33.48438,-3.625,0.002945859
40864.0294,6.375,75.5625,33.49794,-3.9375,0.002958318
40864.0319,6.4375,75.25,33.49762,-3.875,0.00296299
40864.0344,6.3125,74.625,33.47749,-3.6875,0.002981677
40864.0369,6.3125,74.1875,33.44076,-4.3125,0.002978563
40864.0394,6.1875,73.625,33.3996,-4.125,0.002967662
40864.0419,6.375,72.9375,33.37039,-4.4375,0.002977005
40864.0444,6.1875,72.5,33.36625,-4.3125,0.002987906
40864.0469,6.3125,71.8125,33.39055,-4.5,0.002984792
40864.0494,6.375,71.1875,33.43439,-4.5,0.00296299
40864.0519,6.375,70.5,33.4796,-4.8125,0.002958318
