Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
40907.4644,6.375,48.9375,63.36785,-3.3125,0.003047084
40907.4669,6.4375,48.6875,65.28188,-3.0,0.003008151
40907.4694,6.5625,48.875,67.1039,-3.5625,0.003005037
40907.4719,6.3125,48.75,68.84493,-3.125,0.00302061
40907.4744,6.3125,48.625,70.5146,-2.8125,0.003043969
40907.4769,6.6875,48.5,72.11652,-3.5625,0.003043969
40907.4794,6.6875,48.625,73.6467,-3.6875,0.003011266
40907.4819,6.5625,48.4375,75.09473,-3.5625,0.003012823
40907.4844,6.875,48.375,76.44672,-3.25,0.003031511
40907.4869,6.75,48.3125,77.68821,-3.5625,0.00305487
40907.4894,6.875,48.1875,78.80597,-2.875,0.003053313
40907.4919,6.9375,47.875,79.78914,-2.9375,0.003017495
40907.4944,7.0,47.9375,80.63004,-3.25,0.003019052
40907.4969,7.1875,48.0625,81.32569,-3.375,0.003047084
40907.4994,7.25,48.0,81.87955,-3.3125,0.003062657
40907.5019,7.1875,47.8125,82.30237,-3.0625,0.003048641
40907.5044,7.3125,48.0,82.61086,-3.0625,0.003036183
40907.5069,7.3125,47.9375,82.82346,-3.25,0.003051756
40907.5094,7.375,47.875,82.95445,-2.875,0.003057985
40907.5119,7.4375,48.0625,83.00899,-2.75,0.003056428
40907.5144,7.5,48.0,82.98161,-2.4375,0.003042412
40907.5169,7.625,47.875,82.85977,-2.375,0.003040855
40907.5194,7.625,48.0625,82.63162,-2.1875,0.00307823
40907.5219,7.4375,48.0625,82.29435,-2.6875,0.003081344
40907.5244,7.75,48.25,81.8596,-2.8125,0.003081344
40907.5269,7.6875,48.375,81.3528,-2.75,0.003086016
40907.5294,7.75,48.625,80.80629,-2.5,0.003103147
40907.5319,7.8125,48.6875,80.2495,-2.5625,0.003129621
40907.5344,7.9375,49.3125,79.70013,-2.8125,0.003137407
40907.5369,8.0,49.875,79.16078,-3.0625,0.003148308
40907.5394,8.0,50.625,78.62234,-2.8125,0.003145194
40907.5419,8.0,50.875,78.07208,-2.75,0.00315298
40907.5444,8.125,51.625,77.50254,-3.0,0.003201257
40907.5469,8.125,52.4375,76.91669,-2.9375,0.003213715
40907.5494,8.1875,52.875,76.32726,-2.875,0.003219944
40907.5519,8.3125,53.5,75.75098,-3.125,0.003223059
40907.5544,8.0,54.0,75.201,-2.8125,0.003244861
40907.5569,8.125,54.375,74.68189,-3.25,0.003299367
40907.5594,8.125,55.125,74.18933,-2.875,0.003302481
40907.5619,8.375,55.6875,73.71457,-3.125,0.003282236
40907.5644,8.3125,56.625,73.25047,-3.3125,0.003260434
40907.5669,8.0625,57.125,72.79606,-3.1875,0.003249533
40907.5694,8.25,58.125,72.3567,-3.4375,0.003241746
40907.5719,8.125,59.0625,71.94012,-3.5,0.003207486
40907.5744,8.375,60.0625,71.55092,-3.5625,0.003159209
40907.5769,8.25,60.875,71.18695,-3.1875,0.003115605
40907.5794,8.25,61.5625,70.83984,-2.875,0.003104704
40907.5819,8.1875,62.625,70.49952,-2.9375,0.003084459
40907.5844,8.0625,63.6875,70.16039,-3.3125,0.003057985
40907.5869,8.125,64.6875,69.82536,-3.4375,0.003033068
40907.5894,8.1875,65.875,69.50541,-3.5,0.003023724
40907.5919,8.1875,66.4375,69.21446,-3.25,0.003026839
40907.5944,8.1875,67.5,68.96236,-3.1875,0.003029954
40907.5969,8.0625,68.5625,68.74952,-3.4375,0.003006594
40907.5994,8.0625,69.6875,68.56635,-3.875,0.003006594
40907.6019,8.125,70.875,68.39775,-3.6875,0.003009709
40907.6044,7.875,71.6875,68.23049,-3.25,0.003026839
40907.6069,8.1875,72.75,68.05896,-3.6875,0.003009709
40907.6094,7.9375,73.625,67.88641,-3.6875,0.002973891
40907.6119,8.1875,74.625,67.72055,-3.4375,0.002989464
40907.6144,8.0,75.75,67.56535,-3.6875,0.003022167
40907.6169,7.9375,76.5,67.41367,-3.5,0.003014381
40907.6194,8.0,77.4375,67.24437,-3.75,0.002994136
40907.6219,7.875,78.125,67.02592,-3.375,0.002973891
40907.6244,7.875,79.0625,66.7248,-3.6875,0.002973891
40907.6269,7.8125,79.8125,66.31473,-3.9375,0.002998808
40907.6294,7.9375,80.625,65.78192,-3.75,0.003022167
40907.6319,7.5625,81.0625,65.12386,-3.6875,0.003000365
40907.6344,7.75,81.3125,64.34191,-3.375,0.002978563
40907.6369,7.8125,81.875,63.4318,-3.25,0.002970776
40907.6394,7.6875,82.0,62.37657,-3.625,0.002998808
40907.6419,7.8125,82.625,61.146,-3.8125,0.003009709
40907.6444,7.8125,82.8125,59.70354,-4.1875,0.002986349
40907.6469,7.9375,82.9375,58.01778,-4.3125,0.002987906
