Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
42427.1144,7.75,65.625,69.35212,-2.5,0.003051756
42427.1169,9.1875,66.5625,69.01042,-2.4375,0.0030611
42427.1194,9.375,67.625,68.65278,-2.9375,0.003040855
42427.1219,8.1875,68.625,68.27743,-2.8125,0.003012823
42427.1244,7.0,69.625,67.85938,-2.875,0.003011266
42427.1269,6.6875,70.6875,67.35567,-3.1875,0.003042412
42427.1294,6.9375,71.75,66.72163,-3.0,0.003082902
42427.1319,7.4375,72.6875,65.93013,-2.8125,0.0030611
42427.1344,7.4375,73.5,64.98305,-2.5,0.00302061
42427.1369,7.0625,74.375,63.90814,-2.6875,0.003040855
42427.1394,6.9375,75.125,62.7413,-2.5,0.003067329
42427.1419,7.4375,76.0,61.50311,-2.75,0.003064214
42427.1444,7.0,76.8125,60.182,-2.3125,0.003050198
42427.1469,6.8125,77.5,58.7344,-2.4375,0.003042412
42427.1494,6.875,77.9375,57.10335,-2.875,0.003047084
42427.1519,7.0625,78.25,55.24738,-3.0625,0.003062657
42427.1544,7.0625,78.6875,53.16566,-3.0,0.003062657
42427.1569,7.125,79.4375,50.90627,-2.9375,0.003040855
42427.1594,6.5625,79.8125,48.5526,-3.375,0.003050198
42427.1619,6.3125,80.0,46.19368,-3.1875,0.003064214
42427.1644,7.1875,80.1875,43.89259,-2.8125,0.003067329
42427.1669,7.4375,80.6875,41.66742,-3.0625,0.00305487
42427.1694,6.6875,80.625,39.49297,-2.5,0.003051756
42427.1719,6.6875,80.5625,37.32047,-2.0625,0.003059542
42427.1744,7.0,80.625,35.1045,-2.0625,0.003057985
42427.1769,7.0,80.5,32.82352,-2.4375,0.003065771
42427.1794,7.25,80.4375,30.48548,-1.9375,0.003056428
42427.1819,7.3125,80.25,28.11924,-2.5,0.003048641
42427.1844,6.9375,80.25,25.75948,-2.4375,0.003062657
42427.1869,6.9375,80.0,23.43523,-2.0625,0.003070443
42427.1894,7.0625,79.6875,21.16736,-2.375,0.003045527
42427.1919,7.0625,79.1875,18.97347,-2.25,0.003042412
42427.1944,7.0625,79.0625,16.87314,-2.5625,0.003029954
42427.1969,7.0625,78.3125,14.88669,-2.5625,0.00305487
42427.1994,6.9375,77.6875,13.02643,-2.75,0.003082902
42427.2019,7.0,77.125,11.2863,-2.75,0.003059542
42427.2044,7.375,76.6875,9.638987,-2.75,0.003026839
42427.2069,7.1875,76.0,8.046643,-2.8125,0.003045527
42427.2094,7.1875,75.3125,6.482634,-2.6875,0.003048641
42427.2119,7.375,74.625,4.952789,-2.875,0.003056428
42427.2144,6.8125,73.8125,3.502543,-3.0,0.003064214
42427.2169,6.8125,72.9375,2.201374,-2.8125,0.003047084
42427.2194,6.875,72.0625,1.109366,-2.625,0.003029954
42427.2219,7.125,71.5,0.241831,-2.5,0.003062657
42427.2244,7.0625,70.75,-0.4473296,-2.75,0.003073558
42427.2269,6.75,69.9375,-1.051231,-3.125,0.003057985
42427.2294,6.5,69.1875,-1.667564,-3.1875,0.003026839
42427.2319,7.125,68.75,-2.348095,-3.1875,0.003043969
42427.2344,7.3125,68.25,-3.06683,-2.75,0.003062657
42427.2369,7.0,67.9375,-3.726204,-2.75,0.003045527
42427.2394,6.5,67.6875,-4.201755,-3.0,0.003040855
42427.2419,6.6875,67.5625,-4.404706,-2.875,0.003019052
42427.2444,6.9375,67.25,-4.33065,-3.125,0.003039297
42427.2469,7.125,66.9375,-4.067629,-2.875,0.003047084
42427.2494,7.375,66.8125,-3.756961,-2.9375,0.00303774
42427.2519,7.1875,66.5625,-3.524997,-2.5625,0.003025282
42427.2544,7.125,66.0625,-3.420155,-2.6875,0.003011266
42427.2569,7.375,65.8125,-3.388331,-2.75,0.003050198
42427.2594,7.625,65.5,-3.300702,-2.8125,0.003036183
42427.2619,7.9375,65.375,-3.020597,-2.9375,0.003011266
42427.2644,7.75,65.125,-2.475641,-3.1875,0.003003479
42427.2669,7.5625,65.0,-1.697848,-3.0625,0.003009709
42427.2694,7.75,64.875,-0.8105782,-3.125,0.003040855
42427.2719,7.9375,64.6875,0.03102889,-3.3125,0.003034625
42427.2744,8.0,64.5,0.715552,-3.5,0.002998808
42427.2769,7.75,64.5,1.227836,-3.75,0.002989464
42427.2794,7.5625,64.4375,1.651867,-3.6875,0.003006594
42427.2819,7.6875,64.375,2.123399,-3.0,0.003031511
42427.2844,7.6875,64.375,2.757643,-3.3125,0.003008151
42427.2869,7.6875,64.25,3.589509,-3.0625,0.002978563
42427.2894,7.3125,64.1875,4.556734,-3.0625,0.002977005
42427.2919,7.125,64.375,5.532773,-3.375,0.003003479
42427.2944,7.0625,64.125,6.390654,-2.9375,0.003025282
42427.2969,7.25,64.0625,7.063774,-2.8125,0.003012823
42427.2994,7.3125,64.0,7.572551,-2.625,0.002989464
42427.3019,7.4375,64.0625,8.005114,-2.6875,0.002977005
42427.3044,7.1875,63.875,8.464563,-2.8125,0.002995693
42427.3069,7.25,63.8125,9.012257,-2.875,0.002994136
42427.3094,6.875,63.75,9.636933,-2.9375,0.002975448
42427.3119,6.9375,63.5625,10.26443,-3.125,0.002975448
42427.3144,6.6875,63.4375,10.80065,-3.1875,0.002969219
42427.3169,6.4375,63.3125,11.18297,-2.8125,0.002991021
42427.3194,6.3125,63.0625,11.4128,-3.4375,0.002991021
42427.3219,6.75,63.0625,11.55278,-3.3125,0.00298012
42427.3244,6.625,62.6875,11.69195,-2.9375,0.002998808
42427.3269,6.5625,62.6875,11.89854,-2.5625,0.00299725
42427.3294,6.4375,62.625,12.18549,-2.8125,0.003014381
42427.3319,6.3125,62.375,12.50544,-2.6875,0.003033068
42427.3344,6.4375,61.9375,12.77606,-2.4375,0.003042412
42427.3369,6.75,62.0,12.92108,-3.0,0.003068886
42427.3394,6.4375,61.625,12.90562,-3.125,0.003051756
42427.3419,6.375,61.5625,12.74917,-3.375,0.003039297
42427.3444,6.375,61.1875,12.51232,-3.4375,0.003036183
42427.3469,6.3125,60.8125,12.26652,-3.0,0.003025282
42427.3494,6.3125,60.625,12.06341,-3.0,0.003040855
42427.3519,6.9375,60.1875,11.91799,-3.5625,0.0030611
42427.3544,7.375,60.0625,11.81157,-3.3125,0.00305487
42427.3569,6.75,59.75,11.70903,-3.1875,0.003017495
42427.3594,6.3125,59.3125,11.57982,-2.9375,0.003000365
42427.3619,6.6875,59.0625,11.41187,-2.5625,0.002989464
42427.3644,6.625,58.875,11.21318,-2.8125,0.003015938
42427.3669,6.5,58.375,11.00386,-2.9375,0.003017495
42427.3694,6.8125,58.0,10.8049,-2.8125,0.002984792
42427.3719,6.0625,57.6875,10.63013,-3.0,0.00298012
42427.3744,6.5625,57.1875,10.48395,-2.6875,0.002986349
42427.3769,7.875,57.0,10.36347,-2.9375,0.003000365
42427.3794,7.125,56.9375,10.26156,-3.1875,0.00299725
42427.3819,5.1875,56.375,10.16844,-2.875,0.002967662
42427.3844,6.0625,55.8125,10.07201,-3.0625,0.002961432
42427.3869,7.1875,55.5625,9.959114,-2.625,0.002973891
42427.3894,7.9375,55.3125,9.819744,-3.0625,0.002986349
42427.3919,7.1875,55.3125,9.653034,-2.75,0.00298012
42427.3944,5.5625,54.9375,9.472011,-3.1875,0.002958318
42427.3969,7.0,54.5,9.302731,-3.3125,0.002964547
42427.3994,7.9375,54.3125,9.175814,-2.9375,0.002973891
42427.4019,5.6875,54.0,9.11311,-2.9375,0.002986349
42427.4044,5.8125,53.5,9.115632,-3.125,0.00298012
42427.4069,7.125,53.375,9.159674,-3.125,0.00296299
42427.4094,6.1875,52.875,9.204509,-3.0,0.002981677
42427.4119,5.9375,52.875,9.208894,-2.5,0.002983235
42427.4144,7.125,52.6875,9.149011,-2.9375,0.00295676
42427.4169,7.25,52.25,9.02873,-2.75,0.002886682
42427.4194,7.0625,51.875,8.877155,-2.5,0.002838406
42427.4219,6.125,51.5625,8.734477,-2.8125,0.002925614
42427.4244,4.9375,51.375,8.63329,-2.875,0.003098475
42427.4269,5.625,51.375,8.584896,-3.0,0.003355429
42427.4294,7.0625,50.875,8.577097,-3.125,0.003645087
42427.4319,6.8125,50.8125,8.583801,-3.25,0.003750984
42427.4344,5.6875,50.5625,8.580656,-3.5625,0.003402148
42427.4369,4.875,50.1875,8.558103,-3.25,0.002880453
42427.4394,6.4375,50.1875,8.525287,-3.75,0.00276677
42427.4419,7.8125,50.0,8.503941,-3.75,0.002779228
42427.4444,6.4375,49.875,8.516726,-3.8125,0.002790129
42427.4469,4.75,49.5625,8.577346,-3.4375,0.002880453
42427.4494,5.1875,49.1875,8.687774,-3.5625,0.002938073
42427.4519,8.0,49.1875,8.843487,-4.0,0.002981677
42427.4544,7.8125,48.875,9.042182,-3.75,0.002986349
42427.4569,5.5,48.9375,9.289568,-3.4375,0.002992578
42427.4594,5.0625,48.5,9.597885,-3.6875,0.00302061
42427.4619,6.3125,48.3125,9.977705,-4.3125,0.003025282
42427.4644,6.9375,48.3125,10.42804,-4.1875,0.003006594
42427.4669,6.375,47.9375,10.93161,-3.6875,0.003008151
42427.4694,5.625,47.875,11.45919,-3.4375,0.003029954
42427.4719,6.0625,47.9375,11.98211,-3.4375,0.003034625
42427.4744,6.9375,47.6875,12.48675,-3.4375,0.003019052
42427.4769,7.375,47.5,12.98372,-3.5,0.003014381
42427.4794,6.5,47.1875,13.5064,-3.4375,0.002998808
42427.4819,6.6875,47.375,14.09973,-4.0625,0.00302061
42427.4844,7.25,47.125,14.80461,-3.5625,0.003023724
42427.4869,7.1875,47.0,15.64541,-3.6875,0.003017495
42427.4894,7.25,46.75,16.62636,-3.25,0.00302061
42427.4919,7.5,46.375,17.73705,-3.75,0.003017495
42427.4944,7.875,46.5625,18.96316,-3.75,0.003040855
42427.4969,8.0,46.375,20.29591,-3.625,0.003019052
42427.4994,8.625,46.1875,21.73523,-3.0,0.003005037
