Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
42481.0644,10.5625,67.875,-1.889112,-2.5,0.003050198
42481.0669,10.625,67.375,-2.566447,-2.3125,0.003076673
42481.0694,10.6875,66.875,-3.117789,-2.375,0.003050198
42481.0719,10.75,66.5625,-3.586704,-2.5,0.003051756
42481.0744,10.75,66.0625,-4.026775,-2.625,0.0030611
42481.0769,10.6875,65.625,-4.472448,-2.75,0.003050198
42481.0794,10.625,65.1875,-4.91626,-2.3125,0.003090688
42481.0819,10.5625,64.4375,-5.307341,-2.0625,0.003086016
42481.0844,10.5625,64.375,-5.574884,-1.8125,0.003053313
42481.0869,10.5625,64.0,-5.666169,-1.8125,0.003029954
42481.0894,10.4375,63.6875,-5.57926,-1.875,0.003045527
42481.0919,10.5,62.75,-5.371669,-2.0,0.003076673
42481.0944,10.4375,62.625,-5.13774,-1.8125,0.003048641
42481.0969,10.5625,62.6875,-4.964815,-1.8125,0.003042412
42481.0994,10.5625,61.6875,-4.889778,-1.8125,0.003036183
42481.1019,10.5625,61.875,-4.879586,-2.625,0.0030611
42481.1044,10.6875,61.4375,-4.846849,-2.5625,0.003057985
42481.1069,10.75,61.4375,-4.693858,-2.5625,0.003068886
42481.1094,10.5625,61.75,-4.362779,-2.0625,0.003051756
42481.1119,10.5625,60.875,-3.866019,-2.1875,0.003022167
42481.1144,10.6875,60.875,-3.281149,-2.0,0.003062657
42481.1169,10.6875,60.6875,-2.712899,-2.625,0.003056428
42481.1194,10.625,60.4375,-2.24251,-2.5,0.003062657
42481.1219,10.5625,60.625,-1.890999,-2.4375,0.003056428
42481.1244,10.5625,60.0625,-1.615035,-2.4375,0.003045527
42481.1269,10.625,60.1875,-1.336443,-2.1875,0.003079787
42481.1294,10.5625,59.8125,-0.9881662,-2.0625,0.003087574
42481.1319,10.5625,60.1875,-0.5512034,-2.0,0.003050198
42481.1344,10.6875,59.25,-0.06232164,-2.0625,0.003026839
42481.1369,10.625,59.75,0.41051,-2.5625,0.003067329
42481.1394,10.875,60.25,0.8105655,-3.0,0.003086016
42481.1419,10.6875,59.625,1.12799,-2.6875,0.003070443
42481.1444,10.875,59.1875,1.408015,-2.625,0.003047084
42481.1469,10.75,59.625,1.726774,-2.1875,0.003042412
42481.1494,10.8125,58.9375,2.147641,-2.4375,0.003062657
42481.1519,10.6875,58.5,2.68243,-2.5,0.003082902
42481.1544,10.75,59.125,3.279022,-2.1875,0.003065771
42481.1569,10.6875,58.9375,3.84302,-3.125,0.003050198
42481.1594,10.75,58.3125,4.282888,-2.625,0.003056428
42481.1619,10.8125,58.25,4.554862,-2.8125,0.003086016
42481.1644,10.75,58.0625,4.684581,-2.6875,0.003109376
42481.1669,10.6875,57.6875,4.754234,-2.9375,0.003093803
42481.1694,10.75,57.75,4.862334,-3.0625,0.003098475
42481.1719,10.75,57.5,5.07692,-3.125,0.003138965
42481.1744,10.8125,57.3125,5.405686,-2.9375,0.003159209
42481.1769,10.75,57.25,5.797243,-2.8125,0.003165439
42481.1794,10.6875,56.4375,6.171038,-2.875,0.003142079
42481.1819,10.8125,56.6875,6.459169,-3.1875,0.003129621
42481.1844,10.5625,56.0,6.638577,-3.0,0.003138965
42481.1869,10.75,55.9375,6.73804,-3.0625,0.00315298
42481.1894,10.625,55.9375,6.818399,-3.3125,0.00311872
42481.1919,10.6875,55.625,6.938529,-2.8125,0.00309536
42481.1944,10.625,55.0,7.125662,-2.4375,0.003106261
42481.1969,10.6875,54.875,7.365209,-2.875,0.003117162
42481.1994,10.5,54.5625,7.613896,-2.625,0.003126506
42481.2019,10.75,54.25,7.827597,-2.3125,0.003086016
42481.2044,10.5625,54.25,7.988104,-2.3125,0.003076673
42481.2069,10.5,53.75,8.114501,-2.5,0.003084459
42481.2094,10.6875,53.6875,8.253736,-2.5625,0.003090688
42481.2119,10.6875,53.4375,8.455839,-2.75,0.003070443
42481.2144,10.6875,53.5,8.746904,-2.625,0.003057985
