Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
43532.1919,13.9375,59.75,0.538183,-2.1875,0.003006594
43532.1944,13.875,59.3125,0.5491603,-2.4375,0.002972333
43532.1969,13.8125,59.375,0.5081024,-2.3125,0.002984792
43532.1994,13.875,59.1875,0.4550073,-2.5,0.003001922
43532.2019,13.875,58.9375,0.4528677,-2.4375,0.003005037
43532.2044,14.0625,59.0,0.5512665,-2.1875,0.003015938
43532.2069,13.625,58.5625,0.7569901,-2.6875,0.002989464
43532.2094,13.875,58.625,1.027195,-2.4375,0.003029954
43532.2119,14.0,58.375,1.28852,-2.25,0.003096917
43532.2144,14.0,58.25,1.471664,-2.125,0.003103147
43532.2169,13.6875,58.125,1.54339,-2.1875,0.003089131
43532.2194,13.8125,57.9375,1.519666,-2.6875,0.003067329
43532.2219,13.875,57.875,1.45464,-2.5,0.003072001
43532.2244,13.8125,57.875,1.412242,-2.5625,0.003115605
43532.2269,13.8125,57.4375,1.436228,-2.25,0.003143636
43532.2294,13.75,57.375,1.533304,-2.0625,0.003131178
43532.2319,13.9375,57.125,1.67636,-2.3125,0.003096917
43532.2344,13.8125,56.9375,1.823496,-2.125,0.003084459
43532.2369,13.75,56.6875,1.941232,-2.1875,0.00307823
43532.2394,13.9375,56.5625,2.019225,-2.1875,0.003067329
43532.2419,13.8125,56.4375,2.070555,-2.25,0.003033068
43532.2444,13.6875,56.1875,2.119905,-2.1875,0.003015938
43532.2469,13.875,56.0,2.188396,-2.5625,0.003039297
43532.2494,13.75,55.5,2.284348,-2.3125,0.003028396
43532.2519,13.6875,55.375,2.404105,-2.125,0.002991021
43532.2544,13.625,55.0,2.540522,-2.625,0.002972333
43532.2569,13.625,54.75,2.691941,-2.4375,0.003001922
43532.2594,13.875,54.625,2.864939,-2.0625,0.003031511
43532.2619,13.75,54.1875,3.069113,-2.125,0.003008151
43532.2644,13.75,54.25,3.307241,-2.4375,0.002983235
43532.2669,13.75,53.6875,3.568175,-2.375,0.002972333
43532.2694,13.625,53.5625,3.827406,-2.4375,0.002992578
43532.2719,13.75,53.25,4.056275,-2.5,0.003023724
