Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
43736.9144,7.25,89.875,23.78767,-1.875,0.003036183
43736.9169,7.25,90.6875,23.38198,-1.75,0.003008151
43736.9194,7.4375,91.1875,22.98149,-2.125,0.002986349
43736.9219,7.4375,91.75,22.61282,-2.5625,0.002998808
43736.9244,7.25,92.25,22.30225,-2.3125,0.003017495
43736.9269,7.25,92.75,22.05423,-2.75,0.003022167
43736.9294,7.375,93.1875,21.83132,-3.125,0.002995693
43736.9319,7.0625,93.4375,21.54885,-2.8125,0.002992578
43736.9344,7.1875,93.375,21.09306,-2.75,0.003003479
43736.9369,7.3125,93.75,20.36102,-2.8125,0.003031511
43736.9394,7.375,93.875,19.30832,-3.3125,0.003040855
43736.9419,7.0,93.75,17.9837,-2.6875,0.003001922
43736.9444,7.3125,93.5,16.53054,-2.625,0.002998808
43736.9469,7.375,93.4375,15.14861,-2.8125,0.003014381
43736.9494,7.25,93.125,14.02736,-2.8125,0.003031511
43736.9519,7.3125,93.0,13.27717,-2.8125,0.003033068
43736.9544,7.125,92.625,12.88848,-2.9375,0.00299725
43736.9569,7.4375,92.5,12.73833,-3.0,0.003022167
43736.9594,7.4375,92.125,12.64233,-3.125,0.003026839
43736.9619,7.375,91.75,12.42943,-2.9375,0.003025282
43736.9644,7.4375,91.25,12.00546,-3.0625,0.003029954
43736.9669,7.4375,90.75,11.37768,-3.3125,0.003012823
43736.9694,7.6875,90.375,10.63174,-2.8125,0.003023724
43736.9719,7.5,89.6875,9.87684,-2.8125,0.003034625
43736.9744,7.4375,89.0,9.18944,-2.875,0.003017495
43736.9769,7.5,88.4375,8.585112,-2.625,0.003005037
43736.9794,7.5625,88.0,8.030713,-3.25,0.003012823
43736.9819,7.9375,87.25,7.485795,-3.0,0.00303774
43736.9844,7.875,86.4375,6.945643,-3.125,0.003034625
43736.9869,7.75,85.5,6.45778,-3.1875,0.003029954
43736.9894,7.75,85.0,6.10028,-2.9375,0.003017495
43736.9919,8.0,84.1875,5.933841,-2.875,0.003017495
43736.9944,8.0625,83.4375,5.956849,-2.875,0.003043969
43736.9969,8.0625,82.4375,6.092658,-2.8125,0.00303774
43736.9994,7.9375,81.6875,6.220515,-2.5625,0.003026839
43737.0019,8.0625,80.75,6.236485,-2.5625,0.003009709
43737.0044,8.0625,79.8125,6.111324,-2.6875,0.003023724
43737.0069,8.125,78.6875,5.911067,-3.0,0.003047084
43737.0094,8.125,77.875,5.765367,-2.9375,0.003040855
43737.0119,8.0625,76.9375,5.796672,-2.625,0.003028396
43737.0144,8.0625,76.0,6.046544,-2.4375,0.002998808
43737.0169,8.125,75.1875,6.438851,-2.9375,0.003001922
