Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
43745.7144,9.6875,93.0625,19.10961,-2.25,0.002994136
43745.7169,8.8125,92.9375,19.34689,-2.1875,0.002994136
43745.7194,7.25,92.625,19.58041,-2.1875,0.00298012
43745.7219,7.0625,92.0625,19.56912,-1.9375,0.003001922
43745.7244,8.5,91.5625,19.13026,-2.375,0.002998808
43745.7269,9.3125,90.9375,18.20438,-2.25,0.002975448
43745.7294,8.4375,90.375,16.88185,-2.9375,0.00298012
43745.7319,7.75,89.8125,15.37727,-2.75,0.002989464
43745.7344,7.5625,89.25,13.95775,-2.3125,0.003008151
43745.7369,8.3125,88.625,12.85067,-2.4375,0.002991021
43745.7394,8.8125,88.0625,12.16587,-2.0625,0.002966104
43745.7419,8.4375,87.375,11.86276,-2.0625,0.002969219
43745.7444,7.9375,86.625,11.77522,-2.5,0.003003479
43745.7469,7.75,86.0,11.68367,-2.25,0.003006594
43745.7494,8.0625,85.0625,11.4039,-2.5625,0.002970776
43745.7519,8.375,84.125,10.85565,-2.125,0.002966104
43745.7544,8.4375,83.1875,10.08313,-2.1875,0.002975448
43745.7569,7.875,82.125,9.221737,-2.3125,0.003012823
43745.7594,7.0625,81.25,8.428835,-2.25,0.002998808
43745.7619,7.6875,80.625,7.812424,-2.1875,0.00296299
43745.7644,8.5625,79.4375,7.391142,-2.0625,0.002967662
43745.7669,9.0625,78.75,7.102698,-2.3125,0.00298012
43745.7694,8.0625,77.6875,6.852871,-2.375,0.003009709
43745.7719,7.25,77.0,6.576829,-2.625,0.003011266
43745.7744,7.5625,76.125,6.278282,-2.6875,0.002983235
43745.7769,8.25,75.5625,6.023812,-2.625,0.002989464
43745.7794,8.5625,75.0,5.894684,-2.3125,0.003006594
43745.7819,8.1875,74.4375,5.922752,-2.1875,0.003000365
43745.7844,7.5,73.9375,6.048969,-2.6875,0.002998808
43745.7869,7.5,73.25,6.133271,-2.1875,0.002991021
43745.7894,8.4375,72.9375,6.018389,-2.4375,0.002998808
43745.7919,8.4375,72.4375,5.619122,-2.25,0.003001922
43745.7944,7.875,71.9375,4.989924,-1.8125,0.003003479
43745.7969,7.125,71.3125,4.328694,-1.9375,0.002987906
43745.7994,7.0625,70.75,3.90338,-2.5,0.002981677
43745.8019,7.9375,70.3125,3.927501,-2.25,0.003015938
43745.8044,8.8125,69.8125,4.441541,-2.5,0.003011266
43745.8069,8.3125,69.4375,5.261806,-2.75,0.003000365
43745.8094,7.25,69.0,6.031835,-2.6875,0.00298012
43745.8119,7.0625,68.375,6.364498,-2.8125,0.002983235
43745.8144,8.125,68.0,6.016991,-2.3125,0.003003479
43745.8169,8.875,67.625,5.019371,-2.125,0.003017495
43745.8194,8.1875,67.3125,3.692549,-2.5,0.002994136
43745.8219,7.6875,67.0,2.538447,-2.3125,0.002977005
43745.8244,7.75,66.5625,2.042924,-2.0,0.003006594
43745.8269,8.0625,66.125,2.473359,-2.1875,0.003015938
43745.8294,8.1875,65.8125,3.758279,-2.125,0.00302061
43745.8319,7.875,65.3125,5.502408,-2.375,0.003023724
43745.8344,8.25,65.125,7.13211,-2.625,0.002983235
43745.8369,8.4375,64.875,8.110195,-2.5625,0.002992578
43745.8394,8.125,64.625,8.131336,-2.625,0.003023724
43745.8419,7.6875,64.4375,7.22071,-2.5625,0.003005037
43745.8444,7.875,64.125,5.703048,-2.375,0.003005037
43745.8469,8.25,64.0,4.064959,-2.4375,0.002991021
43745.8494,8.1875,63.5,2.774501,-2.625,0.002994136
43745.8519,8.0,63.5,2.132139,-2.3125,0.003026839
43745.8544,7.5625,63.0625,2.204883,-2.0625,0.00305487
43745.8569,7.9375,62.75,2.852915,-2.125,0.003057985
43745.8594,8.0625,62.5,3.819049,-2.4375,0.003056428
43745.8619,8.3125,62.0625,4.831373,-2.6875,0.003070443
43745.8644,7.9375,61.875,5.675957,-2.625,0.003072001
43745.8669,7.5,61.4375,6.221678,-2.5625,0.003072001
43745.8694,7.6875,61.625,6.407405,-2.8125,0.003089131
43745.8719,8.0625,61.4375,6.218085,-2.6875,0.003103147
43745.8744,8.25,61.375,5.674138,-2.4375,0.003142079
43745.8769,7.75,61.1875,4.8413,-2.4375,0.003101589
43745.8794,7.5,61.0,3.848291,-2.5625,0.003064214
43745.8819,7.1875,60.4375,2.888784,-2.1875,0.0030611
43745.8844,7.375,60.1875,2.190376,-2.625,0.003039297
43745.8869,7.9375,60.125,1.951107,-2.5625,0.003042412
43745.8894,7.8125,59.6875,2.265679,-2.25,0.003006594
43745.8919,7.625,59.25,3.074461,-2.375,0.002981677
43745.8944,7.5625,59.125,4.164004,-2.625,0.002989464
43745.8969,7.8125,59.1875,5.226846,-2.875,0.002998808
43745.8994,7.0625,59.0,5.961289,-2.75,0.003003479
43745.9019,6.8125,58.8125,6.17374,-2.75,0.003011266
