Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
43835.8144,8.8125,57.9375,4.602064,-2.0625,0.003028396
43835.8169,8.3125,57.625,2.91925,-2.8125,0.003067329
43835.8194,7.3125,57.3125,0.6314362,-2.8125,0.003073558
43835.8219,7.75,57.1875,-1.414517,-2.75,0.003082902
43835.8244,9.0625,56.875,-2.564464,-3.1875,0.003081344
43835.8269,8.8125,55.875,-2.564068,-2.9375,0.003084459
43835.8294,5.875,55.625,-1.587806,-3.0625,0.003121834
43835.8319,6.3125,54.75,-0.09950781,-3.25,0.003110933
43835.8344,9.4375,57.4375,1.374085,-2.75,0.003109376
43835.8369,11.375,56.9375,2.447099,-2.375,0.003121834
43835.8394,9.9375,55.1875,2.972416,-2.5,0.003143636
43835.8419,7.875,55.4375,3.014105,-2.4375,0.003165439
43835.8444,6.625,54.25,2.736918,-2.4375,0.003140522
43835.8469,7.625,54.3125,2.289334,-2.625,0.003089131
43835.8494,9.375,54.5,1.74433,-2.6875,0.003051756
43835.8519,9.8125,54.3125,1.116596,-2.75,0.00305487
43835.8544,8.625,54.4375,0.4259103,-2.8125,0.003057985
43835.8569,7.75,53.6875,-0.2501996,-3.3125,0.003019052
43835.8594,7.6875,53.875,-0.7792855,-3.125,0.003023724
43835.8619,8.1875,53.8125,-1.03803,-3.0625,0.003011266
43835.8644,8.5625,54.0,-1.000456,-2.875,0.003011266
43835.8669,8.25,54.375,-0.792206,-2.4375,0.003015938
43835.8694,8.125,53.9375,-0.6670789,-2.75,0.002998808
43835.8719,8.625,53.3125,-0.9049808,-2.3125,0.002994136
43835.8744,8.8125,52.875,-1.674353,-2.375,0.002991021
43835.8769,8.6875,52.625,-2.925853,-2.8125,0.003017495
43835.8794,8.3125,52.3125,-4.374878,-2.5,0.003005037
43835.8819,8.0,52.5,-5.587752,-2.6875,0.002989464
43835.8844,8.25,52.375,-6.137318,-2.6875,0.002998808
43835.8869,9.0625,52.125,-5.760438,-3.0,0.003005037
43835.8894,9.1875,51.875,-4.451644,-2.875,0.00302061
43835.8919,9.125,51.75,-2.456867,-2.6875,0.003012823
43835.8944,8.3125,51.5,-0.1778429,-2.5,0.003003479
43835.8969,8.9375,50.9375,1.965533,-2.8125,0.003001922
43835.8994,9.3125,50.9375,3.655963,-2.375,0.003003479
43835.9019,9.0625,50.5625,4.737986,-2.6875,0.003015938
43835.9044,8.9375,50.125,5.209074,-2.6875,0.002994136
43835.9069,8.875,50.4375,5.16387,-2.8125,0.002942745
43835.9094,8.75,50.125,4.728988,-2.75,0.002889796
43835.9119,8.875,49.8125,4.018923,-2.875,0.002869552
43835.9144,8.75,49.8125,3.126716,-2.9375,0.002938073
43835.9169,8.875,49.75,2.135449,-3.125,0.003086016
43835.9194,10.5,49.0,1.133178,-3.1875,0.003369445
43835.9219,9.125,49.5,0.2139041,-3.0625,0.003694921
43835.9244,7.75,49.125,-0.5360807,-3.0,0.003786802
43835.9269,7.9375,48.375,-1.056149,-2.875,0.003380346
43835.9294,9.0625,49.0625,-1.319174,-2.625,0.002829062
43835.9319,9.875,48.9375,-1.322343,-2.6875,0.002712264
43835.9344,9.375,48.375,-1.065586,-2.875,0.002776114
43835.9369,8.9375,48.375,-0.5333456,-2.75,0.002816603
43835.9394,8.75,48.0,0.3073812,-3.0,0.002875781
43835.9419,9.25,47.8125,1.487435,-2.875,0.002919385
43835.9444,9.3125,47.875,3.004683,-3.0625,0.002959875
43835.9469,8.0625,47.5,4.801231,-3.0,0.002989464
43835.9494,7.9375,47.5,6.764959,-3.4375,0.003022167
43835.9519,8.75,47.25,8.759736,-2.9375,0.003029954
43835.9544,9.375,47.0,10.67298,-2.6875,0.003022167
43835.9569,9.1875,46.5625,12.45849,-2.6875,0.003036183
43835.9594,8.5,46.375,14.15372,-2.375,0.003040855
43835.9619,8.1875,46.25,15.86301,-2.4375,0.00303774
43835.9644,8.1875,46.125,17.71716,-2.375,0.003025282
43835.9669,8.3125,45.9375,19.82591,-2.625,0.003017495
43835.9694,8.6875,46.3125,22.24886,-2.8125,0.003031511
43835.9719,9.125,45.75,24.99416,-2.9375,0.003050198
43835.9744,9.0625,45.625,28.03961,-2.75,0.003040855
43835.9769,10.375,45.0,31.35959,-3.125,0.003029954
43835.9794,8.75,45.4375,34.93784,-3.0,0.003029954
43835.9819,6.9375,44.8125,38.75879,-2.625,0.00305487
43835.9844,7.1875,44.125,42.77966,-2.5625,0.003053313
43835.9869,8.5,44.9375,46.90359,-2.5,0.003036183
43835.9894,9.4375,44.4375,50.9714,-2.9375,0.00302061
43835.9919,8.9375,44.25,54.77884,-2.6875,0.003036183
43835.9944,8.3125,44.375,58.11686,-2.9375,0.003057985
43835.9969,8.375,43.875,60.81687,-2.9375,0.00305487
43835.9994,8.5625,43.75,62.77908,-3.0,0.003043969
43836.0019,8.6875,43.5625,63.9793,-2.875,0.003025282
43836.0044,8.3125,43.25,64.45152,-3.3125,0.003012823
43836.0069,7.75,43.25,64.2644,-3.375,0.003040855
43836.0094,8.0,43.25,63.50812,-2.9375,0.003068886
43836.0119,8.8125,42.9375,62.29764,-2.8125,0.003047084
43836.0144,9.3125,42.875,60.78909,-2.375,0.003009709
43836.0169,8.75,42.75,59.19149,-2.5625,0.003017495
43836.0194,8.25,42.5625,57.76028,-2.625,0.003056428
43836.0219,8.25,42.3125,56.7716,-2.625,0.003050198
43836.0244,8.4375,42.375,56.46453,-2.875,0.003036183
43836.0269,8.6875,42.25,56.99991,-2.6875,0.003040855
43836.0294,8.6875,42.0,58.42883,-2.8125,0.003062657
43836.0319,8.1875,41.875,60.69057,-2.6875,0.003042412
43836.0344,8.0,41.5625,63.63444,-3.0,0.003036183
43836.0369,8.375,41.5,67.05178,-2.9375,0.003048641
