Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
44877.1644,10.0,49.8125,6.93444,-3.1875,0.002791687
44877.1669,9.875,49.6875,7.605056,-3.0625,0.002819718
44877.1694,9.9375,49.5,8.539912,-3.375,0.002867994
44877.1719,10.0625,49.4375,9.702238,-3.25,0.002944302
44877.1744,10.0625,49.0625,11.08378,-3.5625,0.002961432
44877.1769,9.9375,48.75,12.68455,-3.875,0.00296299
44877.1794,9.8125,48.5625,14.47182,-3.625,0.002964547
44877.1819,10.0,48.375,16.34773,-3.5625,0.002966104
44877.1844,9.9375,48.1875,18.15292,-3.3125,0.002987906
44877.1869,9.75,47.9375,19.71556,-3.5625,0.002978563
44877.1894,9.9375,47.6875,20.92923,-3.25,0.00298012
44877.1919,9.875,47.625,21.82273,-3.25,0.002972333
44877.1944,10.125,47.25,22.58392,-3.25,0.002978563
44877.1969,9.9375,47.0625,23.51832,-3.375,0.003001922
44877.1994,9.875,46.8125,24.95361,-2.9375,0.002991021
44877.2019,9.9375,46.6875,27.12792,-3.1875,0.002994136
44877.2044,9.9375,46.375,30.10835,-3.4375,0.002983235
44877.2069,9.875,46.125,33.77279,-3.0,0.002994136
44877.2094,10.0625,46.0625,37.85941,-3.1875,0.003008151
44877.2119,10.0,46.0,42.05804,-2.75,0.003006594
44877.2144,10.125,45.6875,46.10235,-3.0625,0.002992578
44877.2169,10.0,45.5625,49.82613,-3.4375,0.002969219
44877.2194,10.0625,45.375,53.16785,-3.1875,0.002991021
44877.2219,9.875,45.125,56.13425,-3.1875,0.003022167
44877.2244,10.0625,44.875,58.74948,-3.25,0.003011266
44877.2269,10.0625,44.625,61.01688,-3.0,0.002995693
44877.2294,10.0625,44.5625,62.90852,-3.0,0.002984792
44877.2319,9.875,44.375,64.37916,-3.0,0.002998808
44877.2344,10.125,44.375,65.39009,-2.6875,0.003009709
44877.2369,10.25,44.3125,65.92793,-2.6875,0.003012823
44877.2394,10.125,43.875,66.01093,-2.8125,0.003001922
44877.2419,10.0625,43.9375,65.68655,-3.0,0.002970776
44877.2444,9.875,43.6875,65.0297,-2.75,0.002998808
44877.2469,9.9375,43.5625,64.14691,-3.0625,0.003000365
44877.2494,10.0625,43.625,63.18394,-2.75,0.002994136
44877.2519,10.125,43.375,62.32668,-3.0,0.003001922
44877.2544,10.0625,43.125,61.7847,-2.8125,0.00299725
44877.2569,10.1875,43.0,61.75519,-3.0,0.003011266
44877.2594,10.25,42.9375,62.37606,-2.4375,0.00299725
44877.2619,10.125,42.9375,63.68737,-2.8125,0.002992578
44877.2644,10.0625,42.9375,65.61774,-2.9375,0.002998808
44877.2669,10.0625,42.75,68.00221,-3.25,0.00299725
44877.2694,10.25,42.5,70.62497,-2.75,0.003029954
44877.2719,10.0625,42.375,73.26809,-2.5,0.00302061
44877.2744,9.9375,42.375,75.7469,-2.75,0.002989464
44877.2769,9.875,42.125,77.92172,-2.875,0.002972333
44877.2794,10.125,41.9375,79.68841,-3.1875,0.003008151
