Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
44923.5144,10.0625,80.9375,0.5165834,-2.8125,0.003023724
44923.5169,9.75,80.4375,0.4089752,-2.75,0.003025282
44923.5194,9.9375,79.9375,0.3300638,-2.6875,0.003006594
44923.5219,9.8125,79.3125,0.2299218,-2.9375,0.002987906
44923.5244,9.9375,78.625,0.04737576,-2.875,0.003006594
44923.5269,10.0,77.6875,-0.2577759,-2.75,0.003043969
44923.5294,10.0625,76.75,-0.6818753,-2.875,0.003029954
44923.5319,9.875,75.875,-1.171979,-3.0,0.003001922
44923.5344,9.9375,74.875,-1.641058,-3.0,0.002991021
44923.5369,9.9375,73.9375,-1.99843,-2.875,0.00302061
44923.5394,9.625,72.9375,-2.183527,-3.0,0.003015938
44923.5419,9.6875,71.875,-2.187364,-3.125,0.002998808
44923.5444,10.0,71.125,-2.050573,-2.625,0.003008151
44923.5469,10.0,70.1875,-1.836634,-2.6875,0.003005037
44923.5494,9.8125,69.25,-1.593229,-2.875,0.003003479
44923.5519,9.9375,68.5,-1.322452,-3.375,0.003033068
44923.5544,9.8125,67.875,-0.9790722,-3.375,0.003012823
44923.5569,10.125,67.3125,-0.5026733,-2.9375,0.002994136
44923.5594,10.0625,66.8125,0.1297482,-2.6875,0.002989464
44923.5619,9.8125,66.3125,0.8592939,-2.8125,0.002992578
44923.5644,9.875,65.9375,1.538477,-2.6875,0.00299725
44923.5669,10.0,65.5,1.976731,-2.5625,0.003022167
44923.5694,9.8125,64.8125,2.025003,-2.875,0.003012823
44923.5719,9.9375,64.25,1.662737,-3.1875,0.002989464
44923.5744,9.9375,63.875,1.041087,-3.0625,0.002998808
44923.5769,9.875,63.25,0.4518164,-3.0625,0.002998808
44923.5794,9.9375,62.6875,0.2243595,-3.125,0.002998808
44923.5819,10.125,62.375,0.5897195,-3.1875,0.003022167
44923.5844,10.3125,61.6875,1.570441,-3.4375,0.003033068
44923.5869,10.125,61.0625,2.949881,-3.4375,0.003042412
44923.5894,10.1875,60.625,4.340167,-3.1875,0.003033068
44923.5919,10.0625,60.3125,5.325221,-3.625,0.003006594
44923.5944,10.375,60.125,5.619346,-3.4375,0.003005037
44923.5969,10.5625,59.6875,5.17452,-3.625,0.003001922
44923.5994,10.3125,59.125,4.191239,-4.25,0.003023724
44923.6019,10.25,58.6875,3.03096,-3.5,0.003009709
44923.6044,10.1875,58.625,2.070628,-3.3125,0.002992578
44923.6069,10.25,58.3125,1.563035,-3.8125,0.003000365
44923.6094,10.3125,57.9375,1.559738,-3.9375,0.003019052
44923.6119,10.375,57.625,1.922378,-3.9375,0.003039297
44923.6144,10.375,57.5,2.407775,-3.6875,0.003012823
44923.6169,10.375,57.1875,2.782339,-3.875,0.002984792
44923.6194,10.375,56.9375,2.914597,-3.5625,0.002978563
44923.6219,10.25,56.625,2.811406,-3.6875,0.003014381
44923.6244,10.375,56.3125,2.592598,-3.75,0.00302061
44923.6269,10.5625,56.1875,2.425996,-3.5625,0.00298012
44923.6294,10.3125,55.6875,2.456233,-3.1875,0.002987906
44923.6319,10.1875,55.3125,2.756779,-3.125,0.003011266
44923.6344,10.4375,55.375,3.316834,-3.125,0.003019052
44923.6369,10.5,55.0625,4.056417,-3.625,0.003028396
44923.6394,10.3125,54.8125,4.853813,-4.0625,0.003023724
44923.6419,10.5,54.5,5.570813,-3.9375,0.003053313
44923.6444,10.375,54.4375,6.070925,-3.625,0.003068886
44923.6469,10.375,54.125,6.234942,-3.625,0.003090688
44923.6494,10.25,53.8125,5.980669,-3.5625,0.003075115
44923.6519,10.25,53.8125,5.288081,-4.0,0.003048641
44923.6544,10.375,53.5,4.222564,-3.5625,0.00307823
44923.6569,10.375,53.1875,2.942557,-3.8125,0.003117162
44923.6594,10.4375,53.0,1.679075,-3.6875,0.003117162
44923.6619,10.625,52.75,0.6864427,-3.6875,0.003075115
44923.6644,10.4375,52.5625,0.1760021,-3.9375,0.003039297
44923.6669,10.3125,52.5,0.2555177,-3.875,0.003053313
44923.6694,10.375,52.25,0.8970451,-3.8125,0.003045527
44923.6719,10.375,52.125,1.945375,-4.0625,0.003000365
44923.6744,10.3125,51.9375,3.163454,-3.6875,0.002964547
44923.6769,10.375,51.625,4.296474,-3.5,0.002952089
44923.6794,10.3125,51.5,5.132778,-4.0,0.002981677
44923.6819,10.4375,51.125,5.542941,-4.0625,0.002981677
44923.6844,10.3125,51.0625,5.492002,-3.8125,0.002986349
44923.6869,10.375,50.75,5.031539,-3.8125,0.002945859
44923.6894,10.4375,50.625,4.283014,-4.1875,0.002950531
44923.6919,10.3125,50.375,3.41984,-4.4375,0.002969219
44923.6944,10.25,50.0625,2.647804,-4.9375,0.002964547
44923.6969,10.4375,49.875,2.175598,-4.4375,0.002948974
44923.6994,10.5625,49.75,2.17013,-4.8125,0.002938073
44923.7019,10.5,49.4375,2.701558,-4.125,0.002941187
44923.7044,10.125,49.375,3.696402,-4.3125,0.002972333
44923.7069,10.3125,49.125,4.925856,-4.625,0.002959875
