Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
44958.2144,10.4375,51.3125,-1.313092,-2.875,0.003031511
44958.2169,10.3125,51.25,-0.7002425,-3.0625,0.003031511
44958.2194,10.375,51.125,0.3571816,-3.0625,0.003051756
44958.2219,10.3125,50.8125,1.608789,-2.5625,0.003059542
44958.2244,10.3125,50.6875,2.798938,-2.5,0.003001922
44958.2269,10.1875,50.5625,3.715129,-2.4375,0.002987906
44958.2294,10.1875,50.3125,4.216641,-2.3125,0.002989464
44958.2319,10.375,50.25,4.248238,-2.375,0.002977005
44958.2344,10.125,50.125,3.844968,-2.25,0.00296299
44958.2369,10.375,49.5,3.12998,-2.625,0.002969219
44958.2394,10.1875,49.1875,2.301195,-2.25,0.003000365
44958.2419,10.25,49.125,1.600118,-2.5,0.002977005
44958.2444,10.1875,48.8125,1.258955,-2.625,0.002972333
44958.2469,10.3125,48.8125,1.433897,-2.6875,0.002958318
44958.2494,10.375,48.75,2.143834,-2.8125,0.002959875
44958.2519,10.375,48.5,3.240417,-2.5,0.002991021
44958.2544,10.5,48.125,4.430652,-2.75,0.002986349
44958.2569,10.25,47.9375,5.356554,-2.9375,0.002984792
44958.2594,10.4375,47.875,5.713135,-2.4375,0.002969219
44958.2619,10.25,47.6875,5.365242,-2.5,0.002973891
44958.2644,10.3125,47.5625,4.416489,-2.3125,0.00299725
44958.2669,10.4375,47.125,3.195058,-2.375,0.002984792
44958.2694,10.375,47.0625,2.15107,-2.0625,0.00298012
44958.2719,10.3125,46.875,1.696509,-2.5,0.002972333
44958.2744,10.25,46.625,2.047443,-2.25,0.002972333
44958.2769,10.4375,46.4375,3.133266,-2.3125,0.002950531
44958.2794,10.25,46.3125,4.6151,-2.125,0.002888239
44958.2819,10.1875,45.875,6.011959,-2.0,0.002877338
44958.2844,10.25,45.9375,6.887117,-2.3125,0.00295676
44958.2869,10.3125,45.875,7.018452,-2.625,0.003162324
44958.2894,10.4375,45.5625,6.481101,-2.5625,0.003486243
44958.2919,10.4375,45.3125,5.607334,-2.8125,0.0037759
44958.2944,10.375,45.125,4.842482,-2.625,0.003766557
44958.2969,10.3125,45.0,4.561604,-2.0625,0.00340682
44958.2994,10.3125,44.9375,4.928485,-2.1875,0.002906927
44958.3019,10.4375,44.9375,5.857324,-2.5625,0.002832176
44958.3044,10.5625,44.625,7.08818,-2.625,0.002830619
44958.3069,10.4375,44.375,8.333645,-2.25,0.002829062
44958.3094,10.3125,44.125,9.422415,-2.25,0.002872666
44958.3119,10.4375,44.1875,10.36926,-2.3125,0.002933401
44958.3144,10.25,43.875,11.34105,-2.3125,0.002998808
44958.3169,10.375,43.75,12.54094,-2.125,0.003025282
44958.3194,10.4375,43.5625,14.07404,-2.1875,0.003005037
44958.3219,10.3125,43.625,15.86628,-2.5,0.002998808
44958.3244,10.375,43.25,17.68036,-2.5625,0.003039297
44958.3269,10.4375,43.0,19.223,-2.6875,0.003017495
44958.3294,10.375,43.0625,20.29253,-2.3125,0.002987906
44958.3319,10.3125,42.9375,20.89531,-2.375,0.002995693
44958.3344,10.3125,42.625,21.27476,-3.0,0.003008151
44958.3369,10.375,42.5,21.83905,-2.25,0.003033068
44958.3394,10.5,42.5,23.01846,-1.8125,0.003022167
44958.3419,10.5,42.4375,25.11409,-2.25,0.003023724
44958.3444,10.4375,42.125,28.19956,-2.8125,0.003005037
44958.3469,10.3125,41.9375,32.10942,-2.75,0.003015938
44958.3494,10.4375,41.75,36.50948,-2.5625,0.003065771
44958.3519,10.3125,41.6875,41.01039,-2.5625,0.003031511
44958.3544,10.25,41.4375,45.27555,-2.75,0.003026839
44958.3569,10.25,41.375,49.08587,-2.8125,0.003011266
44958.3594,10.4375,41.1875,52.34985,-2.5,0.003025282
44958.3619,10.1875,41.0,55.07236,-2.9375,0.003062657
44958.3644,10.3125,41.0625,57.30805,-3.0,0.003031511
44958.3669,10.1875,40.875,59.12246,-2.4375,0.003009709
44958.3694,10.25,40.9375,60.57183,-2.625,0.003025282
44958.3719,10.5625,40.125,61.69899,-2.5,0.003034625
44958.3744,10.75,40.625,62.53559,-3.1875,0.003057985
44958.3769,10.3125,40.625,63.10355,-3.0625,0.003042412
44958.3794,9.6875,40.5625,63.41451,-2.9375,0.003028396
44958.3819,9.875,40.3125,63.47277,-2.6875,0.003017495
44958.3844,10.6875,39.75,63.28715,-2.5,0.003031511
44958.3869,10.9375,39.625,62.89135,-2.6875,0.003045527
44958.3894,10.125,39.8125,62.36475,-2.4375,0.003029954
44958.3919,9.625,40.0625,61.84162,-2.25,0.003039297
44958.3944,9.625,39.9375,61.49878,-2.3125,0.003025282
44958.3969,10.5,39.375,61.52131,-2.0625,0.003042412
44958.3994,10.9375,39.25,62.05614,-2.3125,0.003023724
44958.4019,10.375,39.3125,63.17038,-2.0625,0.003025282
44958.4044,9.6875,39.625,64.83045,-2.1875,0.00303774
44958.4069,9.875,39.375,66.91019,-2.25,0.003043969
44958.4094,10.5,39.0,69.22269,-1.8125,0.003065771
44958.4119,10.5625,38.9375,71.56345,-1.875,0.003039297
44958.4144,10.25,38.9375,73.74873,-1.875,0.00302061
44958.4169,10.0625,39.0625,75.63758,-2.0,0.00303774
44958.4194,10.125,39.0625,77.13516,-2.1875,0.003059542
44958.4219,10.3125,38.75,78.1836,-2.3125,0.0030611
44958.4244,10.4375,38.4375,78.75047,-2.0625,0.003026839
44958.4269,10.25,38.4375,78.82462,-2.25,0.003019052
44958.4294,10.3125,38.125,78.42193,-2.625,0.003039297
44958.4319,10.1875,38.4375,77.59674,-2.5625,0.003051756
44958.4344,10.3125,38.375,76.45089,-2.25,0.003057985
44958.4369,10.5,38.125,75.13157,-2.125,0.003039297
44958.4394,10.4375,38.0,73.81396,-2.25,0.00305487
44958.4419,10.0625,37.875,72.67213,-2.125,0.003047084
44958.4444,9.9375,38.0625,71.84591,-2.0625,0.003072001
44958.4469,10.3125,38.0,71.41506,-2.0,0.003059542
44958.4494,10.5625,37.875,71.38906,-2.1875,0.003011266
44958.4519,10.3125,38.1875,71.71529,-2.3125,0.003028396
44958.4544,10.0,38.1875,72.30158,-2.0,0.003042412
44958.4569,10.125,38.1875,73.04395,-2.125,0.00305487
44958.4594,10.25,38.375,73.84962,-2.1875,0.003064214
44958.4619,10.3125,38.5,74.64871,-2.0625,0.003026839
44958.4644,10.4375,38.6875,75.39392,-2.5625,0.003040855
44958.4669,10.4375,39.0625,76.05277,-2.1875,0.003073558
44958.4694,10.3125,39.5625,76.59888,-2.25,0.003076673
44958.4719,10.1875,40.1875,77.00794,-2.1875,0.00307823
