Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
44969.1144,10.4375,47.25,71.11542,-2.1875,0.003137407
44969.1169,10.375,47.8125,70.86819,-2.125,0.003124949
44969.1194,10.5,48.5625,70.55316,-2.25,0.003131178
44969.1219,10.3125,49.125,70.19827,-2.4375,0.003076673
44969.1244,10.4375,49.75,69.84383,-2.0625,0.003053313
44969.1269,10.4375,50.375,69.52931,-1.875,0.003034625
44969.1294,10.5625,51.1875,69.28465,-1.9375,0.003006594
44969.1319,10.5625,51.875,69.12914,-2.4375,0.003022167
44969.1344,10.5625,52.625,69.07545,-2.25,0.003008151
44969.1369,10.5,53.25,69.13287,-2.375,0.002983235
44969.1394,10.5625,54.125,69.30469,-2.4375,0.002970776
44969.1419,10.5625,54.9375,69.57929,-2.4375,0.002975448
44969.1444,10.4375,55.6875,69.92036,-2.5625,0.003001922
44969.1469,10.5,56.6875,70.26342,-2.375,0.002969219
44969.1494,10.4375,57.625,70.52417,-2.5625,0.002948974
44969.1519,10.375,58.625,70.61659,-2.375,0.002964547
44969.1544,10.3125,59.375,70.47249,-2.375,0.002970776
44969.1569,10.625,60.4375,70.05275,-2.3125,0.002992578
44969.1594,10.8125,61.5,69.34367,-2.4375,0.002981677
44969.1619,10.8125,62.5,68.34034,-2.4375,0.002953646
44969.1644,10.6875,63.625,67.02705,-2.8125,0.002942745
44969.1669,10.6875,64.75,65.36692,-2.8125,0.002967662
44969.1694,10.6875,65.8125,63.30793,-3.0,0.002972333
44969.1719,10.625,66.875,60.80305,-2.75,0.002969219
44969.1744,10.75,67.9375,57.83296,-2.5,0.00296299
44969.1769,10.6875,69.0,54.41689,-2.6875,0.002959875
44969.1794,10.6875,69.8125,50.60431,-1.9375,0.002986349
44969.1819,10.5625,71.0,46.45139,-2.3125,0.002961432
44969.1844,10.5625,71.875,41.99841,-2.4375,0.002938073
44969.1869,10.875,73.1875,37.26624,-2.125,0.002955203
44969.1894,10.75,74.375,32.28142,-2.1875,0.002958318
44969.1919,10.5625,75.0,27.12187,-2.4375,0.002967662
44969.1944,10.4375,75.4375,21.96026,-2.625,0.002950531
44969.1969,10.5,76.0,17.07582,-2.75,0.002948974
44969.1994,10.4375,76.75,12.81535,-2.25,0.002955203
44969.2019,10.375,77.625,9.506312,-2.625,0.002953646
44969.2044,10.6875,78.4375,7.350504,-2.75,0.002947417
44969.2069,10.5,78.8125,6.34169,-3.125,0.002942745
44969.2094,10.4375,79.25,6.24606,-2.875,0.002948974
44969.2119,10.375,79.875,6.661527,-2.1875,0.002959875
44969.2144,10.4375,80.5625,7.138036,-2.0625,0.002953646
44969.2169,10.625,80.625,7.313925,-2.0625,0.002969219
44969.2194,10.6875,80.9375,7.015111,-2.0,0.002945859
44969.2219,10.625,81.1875,6.279227,-1.9375,0.002942745
44969.2244,10.625,81.5,5.29891,-2.6875,0.002952089
44969.2269,10.4375,81.6875,4.313274,-2.75,0.002975448
44969.2294,10.3125,81.625,3.497109,-2.625,0.002989464
44969.2319,10.25,81.625,2.895478,-2.1875,0.002933401
44969.2344,10.4375,81.25,2.427587,-2.5625,0.00293963
44969.2369,10.5625,81.0625,1.950434,-2.25,0.002970776
44969.2394,10.4375,80.6875,1.345832,-2.125,0.002987906
44969.2419,10.3125,80.125,0.5861971,-2.1875,0.002981677
44969.2444,10.3125,79.5625,-0.2513021,-2.3125,0.002969219
44969.2469,10.375,78.875,-1.024473,-2.25,0.002975448
44969.2494,10.125,78.25,-1.595121,-2.25,0.002991021
