Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
44976.3644,16.6875,65.0625,1.636495,-2.5,0.003156095
44976.3669,16.75,65.375,1.832762,-2.6875,0.003166996
44976.3694,16.6875,65.75,2.249952,-2.5625,0.00315298
44976.3719,16.5625,65.8125,2.740309,-2.4375,0.003121834
44976.3744,16.4375,66.25,3.16925,-2.25,0.003089131
44976.3769,16.375,66.625,3.422767,-2.1875,0.003092246
44976.3794,16.5,66.9375,3.40702,-2.6875,0.003120277
44976.3819,16.75,66.9375,3.047437,-1.8125,0.003090688
44976.3844,16.75,67.25,2.293609,-2.1875,0.003040855
44976.3869,16.5625,67.25,1.131893,-2.3125,0.003033068
44976.3894,16.5625,67.375,-0.3989523,-2.25,0.003062657
44976.3919,16.5,67.25,-2.198405,-1.9375,0.003062657
44976.3944,16.8125,67.0,-4.110039,-1.8125,0.003051756
44976.3969,16.625,66.9375,-5.946426,-1.75,0.003023724
44976.3994,16.5625,66.625,-7.528603,-1.9375,0.002994136
44976.4019,16.375,66.375,-8.727997,-1.75,0.002995693
44976.4044,16.4375,66.125,-9.494663,-1.5625,0.003019052
44976.4069,16.375,65.5625,-9.859568,-1.6875,0.002992578
44976.4094,16.375,65.0625,-9.908258,-1.5625,0.00298012
44976.4119,16.375,64.6875,-9.735914,-1.875,0.002972333
44976.4144,16.4375,64.0625,-9.402645,-1.9375,0.002995693
44976.4169,16.5,63.75,-8.909886,-1.75,0.00298012
44976.4194,16.4375,63.125,-8.210085,-1.625,0.002959875
44976.4219,16.3125,62.25,-7.247082,-1.375,0.002961432
44976.4244,16.375,61.75,-6.00902,-1.5,0.00293963
44976.4269,16.5,61.1875,-4.56776,-1.5,0.002958318
44976.4294,16.5,60.5625,-3.082336,-1.625,0.002934958
44976.4319,16.3125,59.9375,-1.759495,-1.5,0.002911599
44976.4344,16.3125,59.5,-0.7842359,-1.4375,0.002933401
44976.4369,16.25,58.75,-0.2494951,-1.5625,0.002919385
44976.4394,16.25,58.5,-0.1173172,-1.4375,0.00293963
44976.4419,16.3125,58.375,-0.2319225,-1.1875,0.002925614
44976.4444,16.4375,58.0,-0.3831905,-1.5,0.002913156
44976.4469,16.625,57.75,-0.3956614,-1.6875,0.002941187
44976.4494,16.5625,57.625,-0.2050193,-1.4375,0.002933401
44976.4519,16.5625,57.125,0.1119016,-2.0625,0.002966104
44976.4544,16.4375,56.6875,0.3685166,-2.0625,0.002952089
44976.4569,16.375,56.1875,0.3491423,-2.25,0.002910041
44976.4594,16.25,55.8125,-0.09469935,-2.0,0.002914713
44976.4619,16.5,55.4375,-0.9735057,-2.6875,0.002958318
44976.4644,16.625,54.9375,-2.144488,-1.6875,0.00298012
44976.4669,16.5625,54.5625,-3.357659,-2.0625,0.002950531
44976.4694,16.6875,54.125,-4.343117,-2.75,0.002933401
44976.4719,16.4375,53.75,-4.90285,-2.5625,0.00293963
44976.4744,16.375,53.5,-4.969652,-2.0625,0.002984792
44976.4769,16.625,53.1875,-4.612096,-2.0625,0.002994136
44976.4794,16.625,52.875,-3.988319,-2.5625,0.002958318
44976.4819,16.625,52.5,-3.272678,-2.0625,0.002947417
44976.4844,16.5625,52.3125,-2.58903,-2.0625,0.002967662
44976.4869,16.5625,52.0625,-1.978007,-2.0625,0.002991021
44976.4894,16.6875,51.8125,-1.408677,-1.75,0.002992578
44976.4919,16.5,51.5625,-0.8233237,-1.9375,0.002950531
44976.4944,16.5,51.5,-0.1904857,-1.3125,0.002966104
44976.4969,16.5625,51.1875,0.4611846,-1.25,0.002967662
44976.4994,16.625,50.9375,1.044974,-1.4375,0.002983235
44976.5019,16.5625,50.875,1.452606,-1.4375,0.002970776
44976.5044,16.5,50.5,1.6073,-1.5,0.002945859
44976.5069,16.5625,50.375,1.506871,-1.9375,0.002967662
44976.5094,16.4375,50.125,1.234815,-2.0,0.002978563
44976.5119,16.5,50.0,0.9317754,-2.125,0.00298012
44976.5144,16.4375,49.75,0.7375296,-2.125,0.002955203
44976.5169,16.3125,49.375,0.7283748,-2.1875,0.002961432
44976.5194,16.5625,49.375,0.8780743,-2.1875,0.00299725
44976.5219,16.6875,49.375,1.061231,-2.0,0.003001922
44976.5244,16.75,49.125,1.100601,-2.5,0.002995693
44976.5269,16.5625,48.875,0.840543,-2.625,0.002966104
44976.5294,16.5625,48.5,0.2164827,-2.5,0.002986349
44976.5319,16.4375,48.4375,-0.7090122,-2.25,0.003022167
44976.5344,16.6875,48.3125,-1.76022,-1.6875,0.003014381
44976.5369,16.625,48.1875,-2.708205,-2.1875,0.003014381
44976.5394,16.75,48.1875,-3.352952,-2.0,0.003023724
44976.5419,16.75,47.8125,-3.593871,-1.6875,0.003048641
44976.5444,16.6875,47.75,-3.459759,-1.9375,0.003073558
44976.5469,16.8125,47.75,-3.086401,-2.25,0.0030611
44976.5494,16.875,47.5625,-2.652438,-2.6875,0.003064214
44976.5519,16.75,47.4375,-2.302472,-2.4375,0.003059542
44976.5544,16.8125,47.3125,-2.090287,-2.625,0.003073558
44976.5569,16.875,47.0625,-1.966367,-2.5,0.003093803
44976.5594,16.9375,47.25,-1.814228,-2.0,0.003109376
44976.5619,17.0,46.9375,-1.517411,-1.625,0.003110933
44976.5644,16.875,46.875,-1.025691,-2.25,0.003098475
44976.5669,16.5625,46.6875,-0.3907937,-2.25,0.003104704
44976.5694,16.5625,46.5625,0.2444605,-2.25,0.00309536
44976.5719,16.5625,46.25,0.6983132,-2.3125,0.003100032
44976.5744,16.6875,46.25,0.8197643,-2.3125,0.003117162
44976.5769,16.5625,46.0625,0.5456447,-2.1875,0.003096917
44976.5794,16.375,46.0625,-0.0784465,-2.25,0.003103147
44976.5819,16.4375,45.8125,-0.9200856,-2.125,0.003109376
44976.5844,16.375,45.75,-1.812599,-2.125,0.003123392
44976.5869,16.5,45.5,-2.613837,-1.875,0.003110933
44976.5894,16.4375,45.5,-3.246559,-2.4375,0.003103147
44976.5919,16.625,45.5,-3.706166,-2.0625,0.003132735
44976.5944,16.5,45.25,-4.037841,-2.25,0.003120277
44976.5969,16.375,45.0,-4.298004,-2.125,0.00309536
44976.5994,16.25,44.8125,-4.520378,-2.4375,0.003114048
44976.6019,16.375,44.6875,-4.702038,-2.1875,0.003121834
44976.6044,16.375,44.4375,-4.812732,-2.0,0.003145194
44976.6069,16.375,44.375,-4.819491,-1.8125,0.003115605
44976.6094,16.4375,44.375,-4.711569,-2.3125,0.003082902
44976.6119,16.375,44.0625,-4.51227,-1.9375,0.003096917
44976.6144,16.5625,43.9375,-4.272385,-2.25,0.00311249
44976.6169,16.4375,43.875,-4.04978,-2.4375,0.003120277
44976.6194,16.5,43.75,-3.886247,-2.375,0.003107819
44976.6219,16.5625,43.625,-3.793501,-2.375,0.003100032
44976.6244,16.5625,43.375,-3.754276,-2.1875,0.003079787
44976.6269,16.625,43.375,-3.73668,-2.375,0.003103147
44976.6294,16.5625,43.125,-3.713367,-2.5625,0.003117162
44976.6319,16.5625,43.125,-3.675502,-2.5625,0.003086016
