Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
45464.7644,16.3125,35.6875,63.69339,-2.0,0.003237074
45464.7669,16.5625,36.0,63.02864,-1.8125,0.003187241
45464.7694,16.5625,36.625,62.44457,-2.1875,0.003162324
45464.7719,16.3125,37.3125,62.05187,-1.9375,0.003146751
45464.7744,17.0625,38.1875,61.89434,-2.1875,0.003146751
45464.7769,17.25,39.125,61.91904,-2.5,0.00317634
45464.7794,17.0625,39.9375,61.98951,-2.125,0.003162324
45464.7819,16.8125,40.75,61.94034,-2.125,0.003120277
45464.7844,16.6875,41.625,61.65008,-1.9375,0.003104704
45464.7869,16.1875,42.375,61.09891,-2.0625,0.003117162
45464.7894,16.125,43.25,60.38285,-1.875,0.003107819
45464.7919,16.5625,44.125,59.67602,-2.25,0.003096917
45464.7944,17.75,44.8125,59.15668,-2.0,0.00311872
45464.7969,17.4375,45.6875,58.93001,-2.9375,0.003103147
45464.7994,16.6875,46.75,58.98095,-2.5625,0.003086016
45464.8019,16.0625,47.375,59.17501,-1.9375,0.003068886
45464.8044,16.25,48.0625,59.30196,-2.3125,0.003075115
45464.8069,16.9375,48.75,59.13812,-2.4375,0.003075115
45464.8094,17.1875,49.6875,58.49784,-2.0625,0.003062657
45464.8119,16.625,50.375,57.25428,-2.25,0.00309536
45464.8144,15.9375,51.125,55.32916,-2.3125,0.003072001
45464.8169,16.4375,51.875,52.6694,-2.0,0.003042412
45464.8194,16.8125,52.375,49.23463,-1.9375,0.00303774
45464.8219,16.875,53.3125,45.01126,-1.9375,0.003042412
45464.8244,16.3125,53.9375,40.05012,-1.9375,0.003053313
45464.8269,15.8125,54.8125,34.50631,-1.75,0.003029954
45464.8294,15.3125,55.6875,28.65389,-2.375,0.003003479
45464.8319,15.875,56.1875,22.85611,-2.25,0.003017495
45464.8344,16.75,56.9375,17.49348,-2.0,0.003014381
45464.8369,16.3125,57.75,12.87281,-2.1875,0.003026839
45464.8394,16.3125,58.5625,9.153102,-2.375,0.003005037
45464.8419,15.5,59.25,6.318159,-2.375,0.002986349
45464.8444,15.1875,60.0,4.206906,-2.25,0.002994136
45464.8469,16.1875,60.8125,2.587703,-2.875,0.003005037
45464.8494,16.6875,61.875,1.244721,-2.4375,0.003017495
45464.8519,16.3125,62.875,0.04157808,-2.625,0.002975448
45464.8544,15.25,63.1875,-1.059708,-2.1875,0.002945859
45464.8569,14.875,64.125,-2.024863,-2.3125,0.002953646
45464.8594,14.875,65.0625,-2.798908,-2.8125,0.002989464
45464.8619,15.8125,65.6875,-3.355214,-3.4375,0.003014381
45464.8644,15.875,66.25,-3.718884,-2.625,0.002983235
45464.8669,16.1875,66.9375,-3.957022,-1.875,0.002978563
45464.8694,16.0,67.125,-4.14591,-2.25,0.002973891
45464.8719,14.9375,67.5,-4.335315,-2.875,0.002995693
45464.8744,14.8125,67.9375,-4.529808,-2.9375,0.003011266
45464.8769,15.3125,68.25,-4.696193,-2.9375,0.002987906
45464.8794,15.9375,68.375,-4.792022,-2.8125,0.003008151
45464.8819,15.3125,68.5625,-4.799332,-2.4375,0.003005037
45464.8844,15.875,68.75,-4.745344,-2.625,0.002998808
45464.8869,15.625,68.5625,-4.69868,-2.9375,0.002977005
45464.8894,14.5,68.3125,-4.741718,-2.9375,0.002978563
45464.8919,14.6875,68.0625,-4.931236,-2.1875,0.002984792
45464.8944,15.1875,67.9375,-5.265774,-2.5625,0.002989464
45464.8969,15.25,68.0,-5.675611,-2.625,0.003008151
45464.8994,15.6875,67.625,-6.042689,-2.0,0.002975448
45464.9019,15.6875,67.125,-6.244459,-1.8125,0.002970776
45464.9044,14.8125,66.625,-6.2054,-1.9375,0.00299725
45464.9069,15.5625,66.1875,-5.934823,-2.1875,0.002987906
45464.9094,15.125,65.4375,-5.533551,-3.0,0.002981677
45464.9119,14.75,65.1875,-5.163172,-2.875,0.002986349
45464.9144,14.5,64.875,-4.986248,-2.4375,0.00299725
45464.9169,14.25,64.75,-5.099259,-3.125,0.003026839
45464.9194,14.8125,64.5,-5.48511,-3.0625,0.003028396
45464.9219,16.125,64.4375,-6.007388,-1.9375,0.003026839
