Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
45528.9144,16.75,34.0,65.69166,-3.375,0.003107819
45528.9169,16.5,34.0625,65.73093,-3.3125,0.003159209
45528.9194,17.0,34.3125,65.71169,-3.5625,0.003154538
45528.9219,18.25,34.25,65.64111,-3.9375,0.00315298
45528.9244,18.1875,33.9375,65.53022,-3.625,0.003165439
45528.9269,17.5,33.625,65.39604,-3.9375,0.0032106
45528.9294,16.625,34.0,65.26196,-4.1875,0.003235517
45528.9319,16.625,34.0625,65.15317,-3.75,0.003204371
45528.9344,18.0,34.0,65.08771,-3.625,0.003187241
45528.9369,18.5625,34.5,65.06622,-3.375,0.003207486
45528.9394,18.3125,34.9375,65.06707,-3.5,0.003221501
45528.9419,17.6875,35.0625,65.05083,-3.125,0.003202814
45528.9444,17.0,35.25,64.9751,-3.375,0.003154538
45528.9469,17.25,36.25,64.81331,-3.4375,0.003121834
45528.9494,18.0625,37.5,64.56881,-3.6875,0.003075115
45528.9519,18.1875,38.5,64.27592,-3.75,0.00305487
45528.9544,17.625,39.25,63.98583,-3.1875,0.003012823
45528.9569,17.25,40.25,63.7424,-3.0625,0.002984792
45528.9594,17.3125,41.0,63.5597,-2.8125,0.002989464
45528.9619,17.5,41.875,63.41285,-3.0,0.002989464
45528.9644,17.75,43.0,63.24863,-2.9375,0.002967662
45528.9669,17.875,43.25,63.0119,-3.1875,0.002938073
45528.9694,17.5625,43.6875,62.6758,-3.0625,0.00293963
45528.9719,17.25,44.6875,62.26023,-3.0,0.002964547
45528.9744,17.3125,45.0,61.82817,-2.9375,0.002948974
45528.9769,17.6875,45.5625,61.45953,-2.9375,0.002948974
45528.9794,17.8125,46.1875,61.21365,-3.0625,0.002924057
45528.9819,17.5625,46.5625,61.09876,-3.3125,0.002916271
45528.9844,17.25,47.1875,61.06401,-2.75,0.002944302
45528.9869,17.5625,47.875,61.0196,-2.625,0.002977005
45528.9894,17.4375,48.4375,60.87702,-2.8125,0.002978563
45528.9919,17.375,49.125,60.59157,-3.125,0.002916271
45528.9944,17.5,49.625,60.18553,-2.8125,0.002930286
45528.9969,17.5625,49.9375,59.73978,-2.9375,0.002958318
45528.9994,17.4375,50.5,59.35465,-2.8125,0.002941187
45529.0019,17.0625,51.1875,59.09472,-2.8125,0.002958318
45529.0044,17.25,51.9375,58.94047,-2.6875,0.002952089
45529.0069,17.8125,52.875,58.76658,-2.625,0.002930286
45529.0094,18.0,53.4375,58.35643,-2.4375,0.002936516
45529.0119,17.6875,53.6875,57.4479,-2.6875,0.002941187
45529.0144,17.1875,54.25,55.79495,-3.0625,0.002947417
45529.0169,17.1875,54.875,53.22542,-2.9375,0.002925614
45529.0194,17.9375,56.0,49.68009,-2.8125,0.002942745
45529.0219,18.4375,56.875,45.22587,-2.6875,0.002970776
45529.0244,18.0625,57.25,40.04541,-2.6875,0.002970776
45529.0269,17.4375,58.125,34.41046,-2.9375,0.002967662
45529.0294,17.4375,58.875,28.64638,-3.1875,0.002947417
45529.0319,17.8125,59.8125,23.09221,-3.5625,0.002958318
45529.0344,18.1875,60.75,18.05814,-3.3125,0.002983235
45529.0369,18.1875,61.3125,13.78285,-2.75,0.003011266
45529.0394,17.75,61.9375,10.3964,-2.625,0.002984792
45529.0419,17.625,62.8125,7.898221,-2.625,0.002966104
45529.0444,18.125,63.625,6.159803,-2.875,0.002998808
45529.0469,18.5625,64.125,4.957419,-2.9375,0.002981677
45529.0494,18.25,64.6875,4.03018,-2.6875,0.002925614
45529.0519,18.0625,65.0,3.1489,-3.0625,0.002910041
45529.0544,17.8125,65.625,2.174675,-3.1875,0.002952089
45529.0569,18.4375,66.5625,1.087697,-3.4375,0.002972333
45529.0594,19.0,66.9375,-0.02400868,-3.3125,0.002958318
45529.0619,18.625,67.1875,-1.011875,-3.1875,0.002934958
45529.0644,18.0625,67.8125,-1.732975,-3.0,0.002914713
45529.0669,17.75,67.75,-2.110696,-3.0625,0.002944302
45529.0694,17.5625,68.25,-2.168098,-2.875,0.002973891
45529.0719,18.25,68.9375,-2.022582,-2.1875,0.002947417
45529.0744,18.6875,69.0,-1.844893,-2.5625,0.002942745
45529.0769,18.1875,68.75,-1.79868,-2.0625,0.002933401
45529.0794,17.75,68.625,-1.983312,-2.6875,0.002959875
45529.0819,17.5625,68.5,-2.400324,-2.6875,0.003001922
45529.0844,17.9375,68.5,-2.955388,-2.9375,0.00298012
45529.0869,18.25,68.375,-3.494153,-2.75,0.002959875
45529.0894,18.0625,67.875,-3.858852,-2.75,0.002977005
45529.0919,17.75,67.875,-3.945543,-2.6875,0.003000365
45529.0944,17.75,67.0625,-3.742005,-2.6875,0.003028396
45529.0969,17.625,66.25,-3.333121,-2.9375,0.002994136
45529.0994,17.25,65.9375,-2.871901,-3.0,0.002995693
45529.1019,17.1875,65.4375,-2.526201,-2.9375,0.003008151
45529.1044,17.625,64.9375,-2.419873,-2.8125,0.003023724
45529.1069,18.0625,64.875,-2.589554,-2.8125,0.003014381
45529.1094,18.375,64.3125,-2.973177,-3.0,0.002994136
45529.1119,17.9375,63.9375,-3.434923,-2.625,0.00299725
45529.1144,17.125,63.6875,-3.817744,-2.9375,0.002992578
45529.1169,17.0,63.625,-4.003458,-3.0625,0.003036183
45529.1194,17.5625,63.375,-3.956638,-3.0,0.003011266
45529.1219,18.0,63.0,-3.734328,-3.125,0.003019052
45529.1244,17.4375,62.5625,-3.457472,-2.8125,0.003015938
45529.1269,17.0625,62.0,-3.255799,-3.375,0.003014381
45529.1294,17.1875,61.5625,-3.209753,-3.125,0.003014381
45529.1319,17.5,61.125,-3.314885,-3.25,0.003051756
45529.1344,16.875,60.4375,-3.484877,-2.75,0.003048641
45529.1369,16.3125,60.0625,-3.592068,-2.9375,0.003045527
45529.1394,17.0,60.0,-3.527751,-2.625,0.003070443
