Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
37257.1031,5.8125,63.1875,66.38893,-3.3125,0.003012823
37257.1056,5.8125,62.875,66.07226,-3.25,0.002942745
37257.1081,5.875,62.625,65.7245,-3.5625,0.002888239
37257.1106,5.8125,62.0,65.34862,-3.9375,0.002973891
37257.1131,5.75,61.6875,64.94333,-3.375,0.002984792
37257.1156,5.6875,61.3125,64.50554,-3.375,0.003009709
37257.1181,5.625,61.1875,64.03347,-3.375,0.003062657
37257.1206,5.6875,60.8125,63.5288,-3.9375,0.00302061
37257.1231,5.6875,60.5,62.99667,-3.875,0.002948974
37257.1256,5.6875,60.1875,62.44405,-3.375,0.002924057
37257.1281,5.625,59.8125,61.87721,-4.125,0.002995693
37257.1306,5.4375,59.375,61.30012,-3.9375,0.002981677
37257.1331,5.5,59.25,60.71428,-3.875,0.002942745
37257.1356,5.625,58.875,60.12033,-3.625,0.002877338
37257.1381,5.5,58.75,59.52003,-3.125,0.003006594
37257.1406,5.5625,58.5,58.91759,-3.4375,0.003212158
37257.1431,5.375,58.0,58.3194,-3.375,0.003501816
37257.1456,5.375,57.8125,57.73238,-3.5,0.003754098
37257.1481,5.5,57.5625,57.16177,-3.1875,0.003654431
37257.1506,5.5,57.375,56.60961,-3.3125,0.00327445
37257.1531,5.6875,57.125,56.07497,-2.875,0.002877338
37257.1556,5.375,56.875,55.5557,-3.125,0.002811931
37257.1581,5.5,56.5625,55.05087,-3.4375,0.002679561
37257.1606,5.3125,56.5,54.56246,-3.125,0.002776114
37257.1631,5.5,56.3125,54.0955,-3.5,0.0029225
37257.1656,5.5,56.0625,53.65616,-3.0625,0.002989464
37257.1681,5.5625,56.0,53.24909,-2.9375,0.003048641
37257.1706,5.4375,55.625,52.87494,-2.8125,0.003011266
37257.1731,5.4375,55.5,52.52974,-2.375,0.002986349
37257.1756,5.375,55.4375,52.20617,-2.4375,0.002955203
37257.1781,5.5,55.3125,51.89656,-3.25,0.002992578
37257.1806,5.5,55.25,51.59591,-3.625,0.003057985
37257.1831,5.3125,54.875,51.30373,-3.625,0.003149866
37257.1856,5.4375,54.6875,51.02388,-3.75,0.003022167
37257.1881,5.4375,54.5,50.76233,-3.625,0.002992578
37257.1906,5.375,54.375,50.52399,-3.4375,0.002995693
37257.1931,5.3125,54.25,50.31017,-3.5,0.002964547
37257.1956,5.5,54.0625,50.11765,-3.25,0.003008151
37257.1981,5.4375,54.0,49.93995,-3.4375,0.003079787
37257.2006,5.4375,53.9375,49.77014,-3.5,0.003121834
37257.2031,5.5625,53.75,49.60396,-3.5,0.003028396
37257.2056,5.5,53.5625,49.44176,-3.625,0.002981677
37257.2081,5.5625,53.4375,49.28844,-3.1875,0.002952089
37257.2106,5.5625,53.5,49.15124,-3.5625,0.003056428
37257.2131,5.3125,53.25,49.03652,-3.625,0.003023724
37257.2156,5.4375,53.0625,48.94675,-3.375,0.003009709
37257.2181,5.5625,53.125,48.87906,-3.0625,0.003075115
37257.2206,5.4375,53.0625,48.82611,-3.3125,0.003051756
37257.2231,5.5625,52.9375,48.77883,-3.3125,0.003017495
37257.2256,5.5,52.9375,48.72971,-3.4375,0.00295676
37257.2281,5.5625,52.9375,48.67547,-3.6875,0.003011266
37257.2306,5.5,52.75,48.61767,-3.625,0.003079787
37257.2331,5.5,52.75,48.56131,-3.875,0.003159209
37257.2356,5.4375,52.75,48.51202,-3.4375,0.003082902
37257.2381,5.4375,52.75,48.47325,-3.375,0.00303774
37257.2406,5.5,52.5625,48.44481,-4.1875,0.003003479
37257.2431,5.375,52.375,48.42348,-4.0625,0.002994136
37257.2456,5.3125,52.1875,48.40499,-4.1875,0.003036183
37257.2481,5.25,52.3125,48.3866,-3.375,0.003064214
37257.2506,5.375,52.3125,48.36843,-2.875,0.003109376
37257.2531,5.3125,52.125,48.35329,-3.0,0.003050198
37257.2556,5.4375,52.25,48.3446,-3.0,0.003012823
37257.2581,5.375,52.0,48.34393,-2.8125,0.002942745
37257.2606,5.3125,51.9375,48.34935,-2.875,0.003023724
37257.2631,5.4375,51.9375,48.35559,-3.0625,0.003056428
37257.2656,5.5625,52.0,48.35595,-3.1875,0.003086016
37257.2681,5.4375,51.875,48.34494,-3.25,0.003103147
37257.2706,5.6875,51.625,48.3202,-3.3125,0.0030611
37257.2731,5.625,51.625,48.28288,-3.9375,0.003006594
37257.2756,5.5,51.4375,48.23633,-3.75,0.002969219
37257.2781,5.5625,51.5625,48.18403,-3.625,0.00305487
37257.2806,5.625,51.625,48.12827,-4.125,0.003104704
37257.2831,5.75,51.625,48.07015,-3.5,0.003151423
37257.2856,5.9375,51.8125,48.01108,-3.9375,0.003065771
37257.2881,5.875,51.5625,47.95429,-3.875,0.003053313
37257.2906,5.8125,51.75,47.90518,-3.5,0.003064214
37257.2931,6.0625,51.625,47.86944,-3.6875,0.00299725
37257.2956,5.9375,51.5,47.8499,-3.3125,0.003019052
37257.2981,5.875,51.5625,47.84361,-3.6875,0.003089131
37257.3006,6.0625,51.5,47.84131,-3.9375,0.003154538
37257.3031,6.0625,51.5625,47.83036,-3.875,0.00309536
37257.3056,6.125,51.4375,47.80035,-3.8125,0.00302061
37257.3081,6.125,51.5,47.7491,-3.9375,0.002948974
37257.3106,6.5,51.5625,47.68586,-3.75,0.003050198
37257.3131,6.3125,51.625,47.6298,-4.0,0.003084459
37257.3156,6.3125,51.9375,47.60379,-4.0,0.003110933
37257.3181,6.375,52.3125,47.62602,-3.5,0.003149866
37257.3206,6.375,52.4375,47.70317,-3.375,0.00307823
37257.3231,6.3125,52.9375,47.82853,-3.5,0.003050198
37257.3256,6.375,53.5625,47.98616,-3.5,0.003036183
37257.3281,6.4375,54.375,48.15908,-3.6875,0.003082902
37257.3306,6.5,54.9375,48.33802,-3.1875,0.003142079
37257.3331,6.5625,55.8125,48.52639,-3.5,0.003243304
37257.3356,6.4375,56.625,48.73934,-3.6875,0.003182569
37257.3381,6.5,57.3125,48.9975,-3.5,0.00317634
37257.3406,6.5,58.0625,49.31857,-3.6875,0.003160767
37257.3431,6.5625,58.75,49.71054,-3.0625,0.003151423
37257.3456,6.4375,59.4375,50.17009,-3.8125,0.003247976
37257.3481,6.4375,60.5,50.68615,-3.5,0.003269778
37257.3506,6.5,61.375,51.24686,-3.4375,0.003293137
37257.3531,6.1875,62.25,51.8461,-3.625,0.003241746
37257.3556,6.4375,63.3125,52.48639,-4.0,0.003177897
37257.3581,6.4375,64.1875,53.17713,-3.8125,0.00311249
37257.3606,6.5,65.375,53.92949,-3.6875,0.003187241
37257.3631,6.3125,66.3125,54.75068,-3.4375,0.003179454
37257.3656,6.3125,67.4375,55.64073,-3.9375,0.003160767
37257.3681,6.375,68.625,56.59325,-3.5625,0.003187241
37257.3706,6.4375,69.9375,57.59955,-3.875,0.003124949
37257.3731,6.5625,71.125,58.65351,-3.8125,0.003031511
37257.3756,6.4375,72.3125,59.75484,-3.9375,0.002941187
37257.3781,6.375,73.5,60.90874,-4.0,0.003006594
37257.3806,6.1875,74.5625,62.12242,-3.75,0.003075115
37257.3831,6.25,75.875,63.40036,-4.0,0.003134293
37257.3856,6.25,77.0625,64.74084,-3.5,0.003001922
37257.3881,6.3125,78.3125,66.1355,-3.9375,0.002983235
37257.3906,6.375,79.375,67.57204,-3.625,0.002987906
37257.3931,6.375,80.6875,69.03887,-3.25,0.002961432
37257.3956,6.375,81.8125,70.52908,-3.5625,0.002994136
37257.3981,6.4375,83.0,72.04205,-4.0625,0.003015938
37257.4006,6.25,84.1875,73.58189,-4.0,0.003064214
37257.4031,6.25,85.25,75.15377,-3.9375,0.003003479
37257.4056,6.125,86.3125,76.75938,-4.3125,0.002978563
37257.4081,6.1875,87.25,78.39433,-4.0625,0.002894468
37257.4106,6.125,88.125,80.0478,-3.9375,0.002961432
37257.4131,6.25,89.3125,81.70485,-3.75,0.003001922
37257.4156,6.1875,90.125,83.35004,-3.4375,0.003034625
37257.4181,6.1875,91.0,84.97073,-3.375,0.003076673
37257.4206,6.1875,91.6875,86.55865,-3.4375,0.00299725
37257.4231,6.1875,92.3125,88.10947,-3.4375,0.002964547
37257.4256,6.125,93.0625,89.62053,-3.375,0.00296299
37257.4281,6.1875,93.75,91.0883,-3.6875,0.002977005
37257.4306,6.0625,94.1875,92.50639,-3.3125,0.003014381
37257.4331,5.9375,94.5625,93.86521,-3.1875,0.003103147
37257.4356,6.1875,95.0,95.15314,-3.3125,0.003017495
37257.4381,6.1875,95.25,96.35864,-3.25,0.003005037
37257.4406,6.1875,95.625,97.47214,-3.375,0.002983235
37257.4431,5.9375,95.5625,98.48708,-2.9375,0.002938073
37257.4456,6.125,95.75,99.39954,-3.0,0.002983235
37257.4481,6.125,95.6875,100.2067,-3.1875,0.003036183
37257.4506,6.0625,95.625,100.9054,-3.625,0.003114048
37257.4531,6.0625,95.375,101.4912,-3.5625,0.003042412
37257.4556,6.0625,95.3125,101.9586,-3.0,0.002924057
37257.4581,6.0625,95.1875,102.3032,-3.375,0.002847749
37257.4606,6.1875,94.8125,102.5237,-3.4375,0.002995693
37257.4631,6.1875,94.3125,102.6229,-3.9375,0.003012823
37257.4656,6.0,94.0625,102.6079,-3.5,0.003011266
37257.4681,6.125,93.9375,102.4877,-4.0,0.003053313
37257.4706,6.125,93.5,102.2696,-4.125,0.003014381
37257.4731,6.1875,92.8125,101.9571,-4.125,0.00299725
37257.4756,6.0625,92.4375,101.548,-4.0,0.002933401
37257.4781,6.1875,91.5,101.0363,-3.75,0.002978563
37257.4806,6.0,90.9375,100.4158,-4.0,0.003059542
37257.4831,6.1875,90.4375,99.6837,-3.75,0.003115605
37257.4856,6.125,89.625,98.84364,-4.3125,0.003025282
37257.4881,6.1875,88.875,97.90521,-4.0,0.002998808
37257.4906,6.1875,87.875,96.88147,-4.25,0.002986349
37257.4931,6.0,87.0,95.78466,-4.0,0.002955203
37257.4956,6.1875,86.1875,94.62296,-4.1875,0.003006594
37257.4981,6.0625,85.3125,93.39944,-3.8125,0.003053313
37257.5006,6.1875,84.3125,92.11427,-3.5,0.003087574
37257.5031,6.0,83.25,90.76868,-3.875,0.003029954
37257.5056,6.3125,82.375,89.36868,-4.0,0.002995693
37257.5081,6.1875,81.3125,87.9264,-4.0,0.002910041
37257.5106,6.25,80.375,86.45811,-3.6875,0.002966104
37257.5131,6.1875,79.5,84.97959,-3.6875,0.003011266
37257.5156,6.0,78.75,83.50137,-3.625,0.00303774
37257.5181,6.1875,77.875,82.02622,-3.625,0.003084459
37257.5206,6.3125,77.25,80.55077,-3.6875,0.003034625
37257.5231,6.3125,76.5,79.07022,-3.25,0.002975448
37257.5256,6.1875,76.0,77.58468,-3.4375,0.002928729
37257.5281,6.1875,75.5,76.10336,-3.0625,0.002998808
37257.5306,6.1875,75.0625,74.64476,-2.75,0.003062657
37257.5331,6.0,74.4375,73.2322,-3.1875,0.003146751
37257.5356,6.25,73.9375,71.88673,-3.25,0.003014381
37257.5381,6.1875,73.1875,70.62068,-3.375,0.002973891
37257.5406,6.0625,72.8125,69.43479,-3.25,0.003008151
37257.5431,6.125,72.125,68.32034,-3.5,0.002966104
37257.5456,6.1875,71.6875,67.26516,-3.5625,0.002992578
37257.5481,6.1875,71.1875,66.2608,-3.0,0.003048641
37257.5506,6.1875,70.625,65.30718,-3.125,0.003092246
37257.5531,6.0625,70.375,64.41282,-2.8125,0.003042412
37257.5556,6.0625,70.0,63.59058,-3.125,0.002984792
37257.5581,6.0625,69.5625,62.85104,-3.4375,0.0029225
37257.5606,6.0,69.125,62.19696,-3.5625,0.003017495
37257.5631,6.0625,68.625,61.62117,-3.625,0.003012823
37257.5656,6.125,68.375,61.10904,-3.625,0.003023724
37257.5681,6.1875,68.125,60.64425,-3.5625,0.003056428
37257.5706,6.1875,67.75,60.21489,-3.3125,0.003014381
37257.5731,6.125,67.4375,59.81728,-3.4375,0.002991021
37257.5756,6.0625,67.25,59.45589,-3.75,0.002952089
37257.5781,6.3125,66.9375,59.13987,-3.625,0.002983235
37257.5806,6.0625,66.5625,58.87791,-3.75,0.003029954
37257.5831,6.0625,66.5,58.67413,-3.625,0.003124949
37257.5856,6.1875,66.375,58.52668,-3.625,0.003075115
37257.5881,6.125,65.875,58.42933,-3.375,0.003040855
37257.5906,6.0625,65.75,58.37487,-3.0625,0.002973891
37257.5931,5.9375,65.5,58.35842,-3.0625,0.002938073
37257.5956,6.25,65.4375,58.37872,-3.625,0.003014381
37257.5981,6.0625,65.125,58.43706,-3.5625,0.003075115
37257.6006,6.125,64.9375,58.53459,-3.6875,0.003101589
37257.6031,6.1875,64.75,58.66941,-3.4375,0.003011266
37257.6056,6.0,64.5625,58.83543,-3.1875,0.002967662
37257.6081,5.9375,64.25,59.02316,-3.375,0.002914713
37257.6106,5.8125,64.125,59.22232,-3.4375,0.002998808
37257.6131,6.0625,64.0,59.42486,-3.0625,0.003036183
37257.6156,6.0625,63.9375,59.62659,-3.5625,0.003023724
37257.6181,6.125,63.5625,59.82682,-3.5625,0.003067329
37257.6206,6.0,63.3125,60.02612,-4.0,0.003082902
37257.6231,6.0625,63.1875,60.22349,-3.6875,0.003042412
37257.6256,6.0625,63.0,60.41457,-3.8125,0.002986349
37257.6281,6.125,62.875,60.59192,-3.625,0.003045527
37257.6306,6.0,62.625,60.74713,-4.0,0.003124949
37257.6331,5.8125,62.3125,60.87426,-4.3125,0.003198142
37257.6356,6.0,62.1875,60.97224,-3.875,0.003104704
37257.6381,6.0625,62.0,61.04528,-3.25,0.003079787
37257.6406,6.0,61.875,61.10085,-3.3125,0.003086016
37257.6431,6.125,61.5625,61.14586,-3.4375,0.003047084
37257.6456,6.0,61.4375,61.18312,-3.4375,0.00305487
37257.6481,5.9375,61.0625,61.20943,-3.375,0.003084459
37257.6506,5.9375,60.9375,61.21661,-3.625,0.003131178
37257.6531,5.9375,60.6875,61.1949,-3.6875,0.003067329
37257.6556,6.0,60.4375,61.13722,-3.875,0.003005037
37257.6581,6.0,60.125,61.04227,-3.6875,0.002911599
37257.6606,6.0625,60.0625,60.91496,-3.6875,0.002947417
37257.6631,5.9375,59.6875,60.76389,-3.6875,0.002991021
37257.6656,5.9375,59.3125,60.59711,-3.3125,0.003028396
37257.6681,5.875,59.25,60.41814,-3.375,0.003075115
37257.6706,5.9375,59.0625,60.22425,-3.375,0.002981677
37257.6731,6.0,58.75,60.00774,-3.0625,0.002919385
37257.6756,5.9375,58.5625,59.75968,-3.375,0.002902255
37257.6781,5.9375,58.1875,59.47454,-3.1875,0.002961432
37257.6806,5.8125,58.0,59.15334,-3.1875,0.003011266
37257.6831,5.9375,57.75,58.80401,-2.75,0.003070443
37257.6856,6.0,57.5625,58.43875,-2.5625,0.003003479
37257.6881,5.9375,57.375,58.06956,-3.0,0.002986349
37257.6906,6.125,57.125,57.70411,-2.875,0.002959875
37257.6931,6.0,56.9375,57.34338,-3.3125,0.002933401
37257.6956,5.9375,56.6875,56.9824,-3.875,0.002977005
37257.6981,5.8125,56.5,56.61329,-3.125,0.003001922
37257.7006,5.9375,56.125,56.22923,-3.9375,0.003064214
37257.7031,5.875,55.9375,55.82767,-3.8125,0.003006594
37257.7056,6.0,56.0,55.41153,-3.6875,0.002936516
37257.7081,6.0,55.6875,54.98791,-3.3125,0.002857093
37257.7106,6.0625,55.4375,54.5652,-3.125,0.00295676
37257.7131,5.8125,55.3125,54.14994,-3.4375,0.002961432
37257.7156,6.0,55.1875,53.74469,-2.875,0.002878895
37257.7181,5.8125,54.75,53.34783,-3.3125,0.002902255
37257.7206,5.9375,54.6875,52.95512,-3.375,0.002991021
37257.7231,5.8125,54.5625,52.5625,-3.5625,0.003173225
37257.7256,5.875,54.375,52.16854,-3.0625,0.003417721
37257.7281,5.9375,54.375,51.77608,-3.125,0.003743197
37257.7306,6.0625,54.125,51.3919,-3.25,0.003783687
