Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
45557.9144,9.4375,41.1875,71.08755,-1.5625,0.003128063
45557.9169,9.3125,42.1875,70.97685,-1.5,0.00315298
45557.9194,9.25,42.875,70.81027,-1.875,0.003154538
45557.9219,9.125,43.625,70.58741,-1.1875,0.003173225
45557.9244,8.75,44.25,70.32917,-1.0625,0.003168553
45557.9269,8.875,45.0,70.0735,-1.125,0.003145194
45557.9294,9.375,45.625,69.85999,-0.9375,0.003145194
45557.9319,9.4375,46.375,69.71048,-1.1875,0.00311872
45557.9344,8.9375,47.0,69.61594,-0.8125,0.003103147
45557.9369,8.4375,47.875,69.5377,-1.3125,0.003079787
45557.9394,8.25,48.75,69.4243,-1.4375,0.003065771
45557.9419,8.625,49.4375,69.23686,-1.3125,0.003056428
45557.9444,8.75,50.25,68.96983,-1.5,0.003033068
45557.9469,8.875,51.125,68.65607,-1.25,0.003005037
45557.9494,8.6875,51.9375,68.35242,-1.3125,0.003011266
45557.9519,8.5,52.8125,68.11158,-1.3125,0.002989464
45557.9544,8.4375,53.625,67.95473,-1.125,0.003026839
45557.9569,8.125,54.375,67.85973,-1.0,0.003001922
45557.9594,8.5,55.125,67.77164,-0.625,0.002969219
45557.9619,9.1875,56.375,67.63099,-1.1875,0.002969219
45557.9644,8.9375,57.0,67.40493,-0.75,0.002991021
45557.9669,7.9375,57.8125,67.10349,-1.125,0.003017495
45557.9694,7.5625,59.4375,66.77119,-1.5625,0.00299725
45557.9719,8.75,60.75,66.45612,-1.3125,0.002981677
45557.9744,10.3125,61.9375,66.17186,-1.1875,0.002972333
45557.9769,10.5,62.875,65.87247,-1.3125,0.003001922
45557.9794,9.8125,63.4375,65.45478,-1.5625,0.003025282
45557.9819,9.6875,64.625,64.78929,-0.75,0.002995693
45557.9844,10.0,65.875,63.76633,-1.125,0.002967662
45557.9869,10.1875,66.9375,62.33535,-0.9375,0.002977005
45557.9894,10.3125,68.0,60.51928,-0.5,0.003001922
45557.9919,10.625,68.875,58.39755,-1.3125,0.003028396
45557.9944,10.6875,69.875,56.06731,-1.75,0.003014381
45557.9969,11.0625,70.625,53.60135,-1.6875,0.003006594
45557.9994,10.8125,71.1875,51.02189,-1.8125,0.002995693
45558.0019,10.5625,71.6875,48.29936,-2.25,0.003019052
45558.0044,10.1875,72.5,45.37299,-2.0625,0.003017495
45558.0069,9.9375,72.8125,42.18041,-1.5625,0.002998808
45558.0094,9.8125,73.3125,38.68291,-1.0,0.003006594
45558.0119,10.3125,73.875,34.87943,-0.9375,0.003015938
45558.0144,10.6875,74.25,30.81195,-1.0625,0.003009709
45558.0169,10.1875,74.8125,26.56854,-1.4375,0.002992578
45558.0194,9.75,75.1875,22.28836,-1.625,0.003005037
45558.0219,9.5625,75.875,18.16313,-1.8125,0.003015938
45558.0244,9.375,76.125,14.42456,-1.625,0.003040855
45558.0269,9.1875,76.125,11.30817,-2.4375,0.003047084
45558.0294,9.5625,76.5625,8.994658,-2.25,0.003022167
45558.0319,9.5625,76.75,7.545401,-2.3125,0.003015938
45558.0344,8.625,76.6875,6.859932,-2.0625,0.003017495
45558.0369,8.0625,76.625,6.680885,-1.9375,0.003036183
45558.0394,8.1875,76.75,6.655806,-2.125,0.00305487
45558.0419,8.9375,76.875,6.439429,-1.8125,0.003011266
45558.0444,9.5625,75.9375,5.79962,-1.9375,0.003022167
45558.0469,9.8125,76.625,4.684224,-1.5625,0.003048641
45558.0494,9.625,76.4375,3.221237,-1.5,0.00305487
45558.0519,9.4375,76.125,1.652971,-1.8125,0.003047084
45558.0544,8.8125,75.5625,0.2343068,-1.5,0.003029954
45558.0569,8.8125,74.625,-0.8605368,-1.8125,0.003043969
45558.0594,9.25,74.3125,-1.584608,-1.625,0.003056428
45558.0619,9.5,73.875,-2.004874,-1.6875,0.003053313
45558.0644,9.3125,73.375,-2.245144,-2.0625,0.003033068
45558.0669,9.3125,72.75,-2.419832,-2.0,0.00302061
45558.0694,9.5625,71.625,-2.592838,-1.5,0.003029954
45558.0719,9.6875,70.875,-2.776134,-1.6875,0.003034625
45558.0744,9.9375,70.0,-2.958278,-1.3125,0.003042412
45558.0769,10.125,69.4375,-3.135927,-1.5,0.003065771
45558.0794,10.0,68.4375,-3.323539,-1.4375,0.003053313
45558.0819,10.25,67.75,-3.53372,-1.75,0.003065771
45558.0844,10.375,66.875,-3.743391,-1.875,0.003056428
45558.0869,11.0,66.125,-3.874302,-1.5,0.00303774
45558.0894,11.125,65.25,-3.810314,-1.5,0.003042412
45558.0919,10.375,64.375,-3.452039,-1.125,0.003033068
45558.0944,10.0625,63.4375,-2.783505,-1.1875,0.003073558
45558.0969,10.1875,62.875,-1.911795,-1.6875,0.003059542
45558.0994,11.0,62.4375,-1.049126,-1.625,0.003042412
45558.1019,11.125,61.9375,-0.4350382,-1.1875,0.003039297
45558.1044,10.6875,61.5625,-0.2294949,-1.375,0.003025282
45558.1069,10.8125,60.9375,-0.4284689,-1.0625,0.003045527
45558.1094,10.8125,60.6875,-0.8481106,-1.0625,0.003050198
45558.1119,11.1875,60.125,-1.192933,-1.0625,0.003028396
45558.1144,11.25,59.5,-1.182689,-1.5625,0.003009709
45558.1169,11.125,59.0625,-0.6812444,-1.375,0.003017495
45558.1194,11.0,58.5,0.2337181,-1.625,0.003067329
45558.1219,10.9375,57.875,1.294908,-1.25,0.003019052
45558.1244,10.9375,57.4375,2.155827,-0.75,0.002995693
45558.1269,10.75,57.125,2.538216,-0.5,0.002998808
45558.1294,11.125,56.8125,2.350135,-1.0,0.003028396
45558.1319,11.375,56.5625,1.722527,-1.0625,0.003040855
45558.1344,11.0,56.125,0.9501881,-0.875,0.003003479
45558.1369,10.875,55.9375,0.3663055,-0.875,0.002987906
45558.1394,10.875,55.375,0.2078409,-0.875,0.002991021
45558.1419,11.0,55.0625,0.5300751,-0.8125,0.003043969
45558.1444,11.3125,54.875,1.202061,-1.125,0.003031511
45558.1469,11.25,54.625,1.977192,-0.8125,0.003006594
45558.1494,10.875,54.25,2.600646,-0.6875,0.002998808
45558.1519,10.5625,54.1875,2.904587,-0.5625,0.002987906
45558.1544,10.75,53.8125,2.853611,-0.8125,0.002986349
45558.1569,11.25,53.5625,2.529115,-1.0625,0.002981677
45558.1594,11.6875,53.375,2.071306,-1.3125,0.00298012
45558.1619,11.125,53.125,1.611052,-1.4375,0.003000365
45558.1644,10.4375,53.0,1.223172,-0.875,0.00299725
45558.1669,9.9375,52.6875,0.9171245,-0.8125,0.002981677
45558.1694,10.0625,52.5625,0.6610444,-0.8125,0.00295676
45558.1719,10.25,52.3125,0.4198885,-0.6875,0.002959875
45558.1744,10.3125,52.0,0.1860764,-1.125,0.002975448
45558.1769,9.75,51.6875,-0.01182516,-1.125,0.002987906
45558.1794,9.625,51.625,-0.1239164,-1.125,0.003006594
45558.1819,10.25,51.5,-0.1071007,-0.8125,0.002967662
45558.1844,10.6875,51.25,0.04769678,-1.0,0.002924057
45558.1869,10.125,51.125,0.3028176,-1.125,0.002959875
45558.1894,9.4375,50.9375,0.5802029,-0.9375,0.002969219
45558.1919,9.0625,50.75,0.7843196,-0.8125,0.002978563
45558.1944,9.8125,50.625,0.8331989,-0.9375,0.003009709
45558.1969,21.75,49.875,0.6861694,-1.375,0.003026839
45558.1994,15.3125,50.8125,0.358947,-1.8125,0.003050198
45558.2019,-4.125,50.375,-0.07875977,-1.0,0.003034625
45558.2044,-3.5625,49.8125,-0.5234244,-1.1875,0.00305487
45558.2069,8.3125,48.6875,-0.8691308,-1.125,0.003019052
45558.2094,16.4375,49.1875,-1.040324,-1.125,0.003008151
45558.2119,14.75,49.1875,-1.015222,-1.0,0.003045527
45558.2144,9.8125,49.625,-0.8314712,-1.0,0.003075115
45558.2169,6.9375,49.0625,-0.5719162,-1.1875,0.0030611
45558.2194,9.375,48.125,-0.3353608,-1.0,0.00302061
45558.2219,11.625,48.0,-0.2032885,-1.25,0.003009709
45558.2244,11.25,48.25,-0.2137616,-0.8125,0.002995693
45558.2269,10.0625,48.125,-0.3523955,-1.125,0.002995693
45558.2294,8.4375,47.8125,-0.562652,-1.375,0.00299725
45558.2319,9.125,47.125,-0.7697009,-1.4375,0.002950531
45558.2344,10.1875,46.75,-0.9078567,-1.0625,0.002919385
45558.2369,10.75,46.6875,-0.9409577,-1.1875,0.002944302
45558.2394,11.25,46.5,-0.8697499,-0.8125,0.002970776
45558.2419,10.5,46.1875,-0.7256479,-1.4375,0.002966104
45558.2444,11.125,46.1875,-0.5554807,-1.25,0.002934958
45558.2469,12.25,45.75,-0.4039392,-1.125,0.00295676
45558.2494,12.1875,45.75,-0.2999629,-1.25,0.002967662
45558.2519,10.5625,45.9375,-0.2500077,-1.1875,0.002942745
45558.2544,9.25,45.875,-0.2388257,-1.125,0.002920942
45558.2569,7.6875,45.6875,-0.236454,-1.4375,0.002941187
45558.2594,10.5,45.5625,-0.2093076,-1.1875,0.002969219
45558.2619,15.125,45.5,-0.1329677,-1.25,0.002970776
45558.2644,17.4375,45.5625,-0.003134878,-1.4375,0.002938073
45558.2669,12.5,43.5625,0.1594801,-1.1875,0.002917828
45558.2694,7.0,46.0625,0.3137833,-1.75,0.002952089
45558.2719,12.0625,44.875,0.4130614,-1.5,0.002977005
45558.2744,17.3125,42.25,0.4259433,-1.5,0.002973891
45558.2769,13.9375,44.5625,0.3547015,-1.4375,0.002948974
45558.2794,9.0,42.75,0.2414083,-0.75,0.002933401
45558.2819,8.8125,41.5625,0.156085,-0.875,0.00289914
45558.2844,11.6875,44.625,0.1693089,-0.9375,0.002877338
45558.2869,14.25,44.4375,0.3201464,-1.0,0.002869552
45558.2894,14.125,43.125,0.5946219,-1.4375,0.002998808
45558.2919,11.875,43.125,0.9266261,-1.125,0.003230845
45558.2944,9.625,41.75,1.222994,-1.6875,0.003551649
45558.2969,8.875,41.0,1.402318,-1.25,0.003822619
45558.2994,10.25,42.3125,1.42953,-1.375,0.003615499
45558.3019,12.3125,42.5,1.328825,-1.25,0.003103147
45558.3044,12.75,42.5,1.168374,-0.875,0.002723165
45558.3069,11.25,42.3125,1.024821,-0.9375,0.002754311
45558.3094,10.1875,41.4375,0.9461481,-0.6875,0.002796358
45558.3119,10.5625,41.0,0.9329608,-1.0,0.002829062
45558.3144,10.75,41.4375,0.947052,-1.125,0.002869552
45558.3169,11.4375,41.4375,0.9415488,-1.25,0.002908484
45558.3194,11.75,41.4375,0.8939167,-1.0,0.00298012
45558.3219,11.875,41.0625,0.8214949,-1.25,0.003001922
45558.3244,11.0,40.6875,0.7689055,-0.5625,0.003017495
45558.3269,10.4375,40.625,0.7749113,-0.5625,0.003019052
45558.3294,10.4375,40.5625,0.8397073,-1.0625,0.003000365
45558.3319,10.8125,40.3125,0.9172737,-1.0,0.003008151
45558.3344,11.4375,40.375,0.94392,-1.125,0.003009709
45558.3369,11.8125,40.3125,0.8939404,-0.9375,0.003005037
45558.3394,10.875,39.625,0.8349008,-1.0625,0.002998808
45558.3419,10.6875,39.75,0.9493285,-1.0625,0.003003479
45558.3444,11.0625,39.875,1.502979,-1.375,0.003042412
45558.3469,11.5,39.625,2.765163,-1.3125,0.003001922
45558.3494,12.0,39.25,4.912066,-0.8125,0.002981677
