Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
45568.4144,25.625,63.4375,51.54417,-2.4375,0.003089131
45568.4169,24.9375,64.25,48.54528,-2.6875,0.003098475
45568.4194,25.0,65.1875,45.41625,-2.0625,0.003042412
45568.4219,25.3125,66.375,42.12974,-2.125,0.003014381
45568.4244,25.375,67.4375,38.60207,-1.9375,0.003036183
45568.4269,25.6875,68.25,34.75433,-2.0625,0.003081344
45568.4294,25.5,69.0625,30.58335,-3.0625,0.003051756
45568.4319,24.6875,69.5,26.20813,-3.125,0.003017495
45568.4344,24.5625,70.3125,21.86642,-3.3125,0.003042412
45568.4369,24.1875,71.0625,17.85725,-2.4375,0.003068886
45568.4394,23.6875,71.5,14.44942,-2.6875,0.0030611
45568.4419,23.5,72.125,11.79204,-2.6875,0.003034625
45568.4444,23.1875,72.5625,9.863664,-2.8125,0.003048641
45568.4469,23.75,73.125,8.48077,-3.1875,0.003051756
45568.4494,24.6875,73.5,7.361905,-2.8125,0.0030611
45568.4519,25.0625,74.25,6.221398,-2.75,0.003028396
45568.4544,24.875,74.1875,4.856108,-2.8125,0.003033068
45568.4569,24.3125,74.6875,3.194311,-2.75,0.003034625
45568.4594,24.125,74.875,1.294025,-2.8125,0.003029954
45568.4619,24.4375,75.125,-0.7005336,-2.875,0.003047084
45568.4644,24.5625,75.125,-2.620347,-2.75,0.003036183
45568.4669,24.4375,75.0,-4.324047,-2.625,0.003025282
45568.4694,24.0,75.125,-5.724136,-2.375,0.003034625
45568.4719,23.3125,74.875,-6.785161,-2.6875,0.003039297
45568.4744,23.5,74.5625,-7.505574,-2.9375,0.003057985
45568.4769,23.875,74.0625,-7.899606,-3.25,0.00303774
45568.4794,23.75,73.625,-7.990896,-3.25,0.003031511
45568.4819,23.3125,73.375,-7.818543,-3.3125,0.003059542
45568.4844,23.125,72.75,-7.446556,-2.8125,0.0030611
45568.4869,22.8125,72.125,-6.964915,-2.6875,0.003082902
45568.4894,23.0625,71.3125,-6.475826,-2.9375,0.003048641
45568.4919,23.375,70.5,-6.068639,-2.8125,0.003028396
45568.4944,23.3125,69.8125,-5.795529,-2.5,0.003070443
45568.4969,23.1875,69.0,-5.661265,-2.4375,0.003104704
45568.4994,23.4375,68.125,-5.633438,-2.4375,0.003062657
45568.5019,23.5,67.25,-5.667659,-2.1875,0.003036183
45568.5044,22.9375,66.3125,-5.733048,-3.25,0.003031511
45568.5069,22.6875,65.75,-5.822652,-2.8125,0.003034625
45568.5094,23.0625,65.125,-5.942052,-3.0,0.003047084
45568.5119,23.5625,64.3125,-6.083377,-2.625,0.003051756
45568.5144,23.875,63.5,-6.203148,-2.875,0.003029954
45568.5169,24.5625,63.125,-6.222986,-3.375,0.003006594
45568.5194,24.625,63.125,-6.060843,-3.3125,0.003014381
45568.5219,24.0,62.5625,-5.681452,-2.75,0.003023724
45568.5244,23.9375,62.0,-5.139638,-2.9375,0.003040855
45568.5269,24.0,61.25,-4.587255,-2.875,0.002992578
45568.5294,24.6875,60.9375,-4.228407,-3.25,0.003025282
45568.5319,25.125,60.375,-4.233764,-3.1875,0.003059542
45568.5344,25.3125,59.8125,-4.648863,-2.6875,0.003043969
45568.5369,25.4375,59.375,-5.34194,-2.5,0.003034625
45568.5394,26.4375,58.875,-6.024669,-2.9375,0.003042412
45568.5419,25.6875,58.3125,-6.348514,-3.5,0.003051756
45568.5444,24.5625,57.875,-6.043123,-3.5,0.003059542
45568.5469,24.1875,57.5625,-5.039155,-3.875,0.003068886
45568.5494,24.3125,57.0,-3.519572,-3.625,0.003042412
45568.5519,24.5,56.4375,-1.870929,-3.125,0.003033068
45568.5544,24.4375,56.1875,-0.5492882,-3.375,0.003082902
45568.5569,25.0,56.0,0.08634505,-3.3125,0.003086016
45568.5594,25.3125,55.6875,-0.09544114,-3.625,0.003064214
45568.5619,26.0625,55.125,-0.9577001,-3.6875,0.00305487
45568.5644,27.75,54.875,-2.158751,-3.5,0.003086016
45568.5669,28.1875,54.625,-3.290336,-3.4375,0.003121834
45568.5694,23.875,54.375,-4.030168,-3.625,0.00309536
45568.5719,20.75,54.0625,-4.245928,-3.375,0.003093803
45568.5744,21.0,54.0,-4.013687,-3.625,0.003098475
45568.5769,23.875,53.9375,-3.553049,-3.25,0.003109376
45568.5794,26.125,53.375,-3.116007,-3.75,0.003131178
45568.5819,26.0,53.125,-2.882217,-3.375,0.003134293
