Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
45573.5644,20.5,43.625,66.22394,-2.0625,0.003265106
45573.5669,20.1875,44.0625,66.00249,-2.4375,0.003255762
45573.5694,20.0,44.6875,65.7534,-2.0625,0.003163881
45573.5719,20.375,45.5625,65.47975,-2.0,0.003128063
45573.5744,20.1875,46.0,65.19276,-2.1875,0.003084459
45573.5769,20.0,46.6875,64.90573,-2.25,0.003031511
45573.5794,20.125,47.25,64.62622,-2.8125,0.003012823
45573.5819,20.1875,48.125,64.35146,-3.125,0.00302061
45573.5844,20.125,48.875,64.07033,-2.625,0.003033068
45573.5869,20.0625,49.5,63.77172,-2.8125,0.003011266
45573.5894,20.0,50.25,63.45411,-2.625,0.002989464
45573.5919,20.125,50.875,63.13024,-2.3125,0.002975448
45573.5944,20.0625,51.6875,62.82294,-2.5,0.002991021
45573.5969,20.125,52.5,62.55244,-2.8125,0.003006594
45573.5994,20.1875,53.375,62.32089,-2.625,0.003000365
45573.6019,20.0625,54.125,62.10199,-2.25,0.002983235
45573.6044,20.0,54.9375,61.8421,-2.3125,0.002991021
45573.6069,20.1875,55.8125,61.47385,-2.125,0.003019052
45573.6094,20.0,56.625,60.93563,-2.4375,0.003000365
45573.6119,20.125,57.4375,60.18716,-2.5625,0.002983235
45573.6144,20.125,58.1875,59.21246,-2.3125,0.002972333
45573.6169,19.9375,59.125,58.00852,-2.5,0.002992578
45573.6194,20.1875,60.0,56.56554,-2.25,0.002992578
45573.6219,20.0,60.875,54.85125,-2.0,0.002927172
45573.6244,20.0625,61.6875,52.81044,-2.0625,0.002913156
45573.6269,20.1875,62.625,50.38412,-2.5625,0.002944302
45573.6294,20.0625,63.5625,47.54099,-2.875,0.002941187
45573.6319,20.1875,64.3125,44.30564,-3.0625,0.002978563
45573.6344,20.0,65.0,40.76628,-2.9375,0.002959875
45573.6369,19.75,65.5625,37.05391,-2.5625,0.002911599
45573.6394,19.875,66.3125,33.29933,-2.8125,0.002905369
45573.6419,19.75,66.9375,29.58749,-2.4375,0.002919385
45573.6444,19.6875,67.625,25.93313,-2.25,0.002896026
45573.6469,19.8125,68.0625,22.29401,-2.3125,0.002863322
45573.6494,19.9375,68.75,18.61963,-2.25,0.002883567
45573.6519,19.5,69.0,14.91414,-2.4375,0.002894468
