Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
45588.3144,41.1875,54.75,-2.124836,-1.4375,0.003092246
45588.3169,41.125,54.5,-2.121,-1.5,0.003057985
45588.3194,41.0,54.0625,-1.813904,-1.375,0.003065771
45588.3219,41.0,53.9375,-1.418944,-1.0625,0.003103147
45588.3244,40.875,53.5625,-1.141758,-1.3125,0.003098475
45588.3269,40.8125,53.4375,-1.075109,-1.0625,0.003090688
45588.3294,41.0,53.375,-1.162692,-1.25,0.003068886
45588.3319,41.0625,53.25,-1.247114,-1.25,0.00305487
45588.3344,40.8125,52.9375,-1.174229,-0.6875,0.003053313
45588.3369,40.8125,52.625,-0.8947883,-0.9375,0.003059542
45588.3394,40.875,52.5,-0.5055555,-1.3125,0.00303774
45588.3419,40.75,52.25,-0.2055379,-1.4375,0.002959875
45588.3444,40.8125,51.8125,-0.1897354,-1.75,0.002928729
45588.3469,40.6875,51.75,-0.5376801,-1.4375,0.0029225
45588.3494,40.625,51.6875,-1.158286,-1.5625,0.002947417
45588.3519,40.8125,51.375,-1.822757,-1.3125,0.00295676
45588.3544,40.6875,51.3125,-2.270679,-1.5,0.002902255
45588.3569,40.5625,51.0,-2.335181,-1.25,0.002889796
45588.3594,40.6875,50.6875,-2.022435,-1.1875,0.002911599
45588.3619,40.5625,50.4375,-1.504335,-1.4375,0.002928729
45588.3644,40.75,50.4375,-1.028808,-1.6875,0.002911599
45588.3669,40.5625,50.1875,-0.7951831,-1.6875,0.002869552
45588.3694,40.625,49.9375,-0.8594684,-1.5625,0.002872666
45588.3719,40.5625,49.8125,-1.117725,-1.125,0.002888239
45588.3744,40.5,49.6875,-1.373526,-1.25,0.002885125
45588.3769,40.375,49.5,-1.451566,-0.9375,0.002867994
45588.3794,40.5,49.3125,-1.295875,-1.0625,0.00285865
45588.3819,40.75,49.125,-1.001425,-1.3125,0.00286488
45588.3844,40.6875,48.9375,-0.7638375,-1.125,0.002869552
45588.3869,40.4375,48.75,-0.7750936,-1.25,0.002877338
45588.3894,40.25,48.8125,-1.120921,-1.4375,0.002860208
45588.3919,40.25,48.5625,-1.73235,-1.125,0.002818161
45588.3944,40.375,48.25,-2.415101,-0.6875,0.002796358
45588.3969,40.25,48.125,-2.939508,-0.9375,0.002746525
45588.3994,40.25,48.0,-3.144125,-1.0625,0.002825947
45588.4019,40.25,47.8125,-3.002021,-0.875,0.003005037
45588.4044,40.1875,47.6875,-2.6202,-0.875,0.003290023
45588.4069,40.1875,47.625,-2.178188,-0.3125,0.003607712
45588.4094,40.3125,47.375,-1.840942,-0.5,0.00368402
45588.4119,40.5625,47.5625,-1.690037,-0.6875,0.00330871
45588.4144,40.125,47.125,-1.704501,-0.875,0.002802588
45588.4169,40.125,47.0,-1.793059,-1.1875,0.002699806
45588.4194,40.1875,47.0625,-1.853931,-1.125,0.002751197
45588.4219,40.25,46.75,-1.827703,-1.0,0.002732509
45588.4244,40.0625,46.5,-1.716788,-0.6875,0.002765212
45588.4269,40.0625,46.3125,-1.566931,-0.625,0.002830619
45588.4294,40.375,46.375,-1.427416,-0.9375,0.002885125
45588.4319,40.1875,46.125,-1.316269,-0.6875,0.00296299
45588.4344,39.8125,45.8125,-1.211256,-0.875,0.002975448
45588.4369,40.0,45.75,-1.070251,-0.9375,0.002958318
45588.4394,40.3125,45.625,-0.8665599,-0.6875,0.002931844
45588.4419,40.25,45.375,-0.6169496,-0.9375,0.002948974
45588.4444,40.1875,45.375,-0.3838181,-0.9375,0.00295676
45588.4469,40.3125,45.125,-0.2467204,-1.5,0.002961432
45588.4494,40.125,44.875,-0.2549483,-1.0625,0.002981677
45588.4519,40.4375,44.9375,-0.3830461,-0.875,0.002989464
