Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
45590.6644,42.3125,51.375,1.273994,-2.1875,0.002947417
45590.6669,42.3125,51.375,0.9904096,-1.9375,0.002928729
45590.6694,42.375,51.0,0.4030425,-1.8125,0.002892911
45590.6719,42.25,50.75,-0.343595,-1.8125,0.002897583
45590.6744,41.9375,50.4375,-1.046391,-1.125,0.002934958
45590.6769,42.0,50.375,-1.516339,-1.6875,0.002908484
45590.6794,41.875,50.125,-1.648471,-1.9375,0.002885125
45590.6819,41.9375,50.0625,-1.455145,-2.125,0.002885125
45590.6844,41.875,49.8125,-1.046602,-2.1875,0.002927172
45590.6869,42.0,49.5,-0.5699729,-2.0625,0.00295676
45590.6894,41.875,49.4375,-0.1398993,-2.3125,0.002944302
45590.6919,41.75,49.125,0.2022306,-2.1875,0.002934958
45590.6944,41.625,49.1875,0.4800882,-1.6875,0.002917828
45590.6969,41.5625,48.8125,0.733555,-1.9375,0.002936516
45590.6994,41.4375,48.6875,0.9615644,-2.3125,0.002969219
45590.7019,41.5625,48.625,1.09508,-2.5625,0.002917828
45590.7044,41.5,48.3125,1.022261,-1.9375,0.002934958
45590.7069,41.4375,48.125,0.6574623,-2.0,0.002933401
45590.7094,41.25,47.6875,0.01756996,-1.75,0.002936516
45590.7119,41.1875,47.75,-0.7404652,-1.5,0.002925614
45590.7144,41.375,47.8125,-1.351371,-1.6875,0.002917828
45590.7169,41.375,47.3125,-1.538979,-1.75,0.002934958
45590.7194,41.25,47.375,-1.139637,-1.75,0.00288201
45590.7219,41.25,47.1875,-0.1939853,-1.9375,0.002819718
45590.7244,41.0,47.125,1.041785,-2.0625,0.002843077
45590.7269,41.0,46.6875,2.179059,-2.0,0.003015938
45590.7294,41.0,46.625,2.844261,-2.0625,0.003263549
45590.7319,41.0,46.5625,2.829489,-2.125,0.003557878
45590.7344,41.0625,46.4375,2.179736,-2.375,0.003733853
45590.7369,40.9375,46.25,1.176371,-1.875,0.003515831
45590.7394,40.8125,46.0625,0.2230405,-1.875,0.003068886
45590.7419,40.8125,45.9375,-0.3173659,-1.6875,0.002811931
45590.7444,40.6875,45.75,-0.2641948,-2.25,0.002799473
45590.7469,40.75,45.625,0.3212579,-1.625,0.002797916
45590.7494,40.875,45.4375,1.179951,-1.75,0.002787015
45590.7519,40.75,45.1875,1.979448,-1.9375,0.002863322
45590.7544,41.0625,45.125,2.45999,-1.625,0.002941187
45590.7569,40.6875,45.0,2.537412,-2.0,0.002978563
45590.7594,40.6875,44.875,2.320641,-1.6875,0.002995693
45590.7619,40.625,44.6875,2.042602,-1.5625,0.002945859
45590.7644,40.5,44.5625,1.942751,-1.625,0.002966104
45590.7669,40.4375,44.4375,2.158322,-2.0625,0.002989464
45590.7694,40.5,44.3125,2.674107,-1.875,0.002998808
45590.7719,40.625,44.125,3.35022,-1.6875,0.002977005
45590.7744,40.625,44.125,4.009542,-1.8125,0.002945859
45590.7769,40.375,43.9375,4.539897,-1.8125,0.002970776
45590.7794,40.4375,43.8125,4.962371,-1.8125,0.002987906
45590.7819,40.4375,43.625,5.435454,-1.625,0.002975448
45590.7844,40.5625,43.5625,6.196845,-1.9375,0.002991021
45590.7869,40.5625,43.375,7.472888,-1.5,0.002984792
45590.7894,40.5,43.5625,9.397669,-1.5625,0.002992578
45590.7919,40.5,43.25,11.97491,-1.8125,0.002984792
45590.7944,40.375,43.1875,15.09267,-1.4375,0.002972333
45590.7969,40.375,43.125,18.57558,-1.6875,0.002967662
45590.7994,40.3125,42.9375,22.24522,-1.8125,0.00296299
45590.8019,40.25,42.875,25.9604,-1.25,0.003014381
45590.8044,40.3125,42.625,29.62461,-1.625,0.003001922
45590.8069,40.25,42.6875,33.1666,-1.5,0.002978563
45590.8094,40.25,42.6875,36.51352,-1.6875,0.002950531
45590.8119,40.25,42.4375,39.57689,-1.9375,0.002969219
45590.8144,40.3125,42.375,42.26144,-1.5,0.003015938
45590.8169,40.25,42.125,44.49245,-1.75,0.003009709
45590.8194,40.3125,42.3125,46.24666,-1.9375,0.002966104
45590.8219,40.375,42.125,47.56956,-2.125,0.002970776
45590.8244,40.25,42.1875,48.56955,-2.0625,0.003011266
45590.8269,40.25,42.0,49.39087,-1.9375,0.003017495
45590.8294,40.0625,41.875,50.17625,-1.4375,0.002986349
45590.8319,39.875,41.8125,51.03322,-1.3125,0.002967662
45590.8344,39.875,41.6875,52.01471,-1.0625,0.002970776
45590.8369,40.0625,41.6875,53.11741,-1.25,0.003009709
45590.8394,39.875,41.6875,54.29457,-1.5625,0.003033068
45590.8419,39.75,41.5,55.47708,-1.5,0.003006594
45590.8444,39.875,41.625,56.59556,-1.0625,0.002994136
45590.8469,39.6875,41.5,57.59991,-1.125,0.002975448
45590.8494,39.5625,41.4375,58.47277,-1.1875,0.003009709
45590.8519,39.625,41.375,59.23385,-1.5,0.00303774
45590.8544,39.5,41.25,59.93414,-1.125,0.003012823
45590.8569,39.5625,41.125,60.639,-1.25,0.003008151
45590.8594,39.4375,41.0625,61.40419,-1.625,0.003003479
45590.8619,39.5,41.125,62.25261,-1.875,0.003022167
45590.8644,39.6875,41.125,63.16154,-1.5,0.003029954
45590.8669,39.625,40.875,64.06766,-1.8125,0.003033068
45590.8694,39.5625,40.8125,64.89021,-2.0,0.00305487
45590.8719,39.3125,40.8125,65.56422,-1.6875,0.003033068
45590.8744,39.375,40.625,66.06908,-1.9375,0.003045527
45590.8769,39.5625,40.625,66.43917,-2.0,0.003026839
