Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
37270.7031,6.0625,94.0,99.78654,-3.3125,0.003103147
37270.7056,6.3125,94.3125,100.8995,-3.625,0.003043969
37270.7081,6.1875,94.75,101.8545,-3.5,0.00299725
37270.7106,6.3125,95.3125,102.6655,-3.125,0.00289914
37270.7131,6.0625,95.5625,103.3458,-3.5,0.002958318
37270.7156,6.125,96.0625,103.9018,-3.375,0.00303774
37270.7181,6.0625,96.125,104.3307,-3.5625,0.003064214
37270.7206,6.125,96.375,104.6235,-3.1875,0.003076673
37270.7231,6.0625,96.375,104.7706,-3.0625,0.003015938
37270.7256,6.125,96.5625,104.7689,-2.9375,0.00299725
37270.7281,6.1875,96.25,104.6261,-3.375,0.002920942
37270.7306,6.0,96.1875,104.3601,-3.875,0.002953646
37270.7331,6.1875,96.0,103.9928,-3.8125,0.00302061
37270.7356,6.0625,95.6875,103.5427,-3.4375,0.003090688
37270.7381,6.0625,95.375,103.0178,-3.5,0.00305487
37270.7406,6.0,94.75,102.4139,-3.375,0.003001922
37270.7431,6.0,94.25,101.7184,-3.8125,0.002972333
37270.7456,6.0,93.875,100.9176,-3.625,0.002930286
37270.7481,6.125,93.1875,100.005,-3.375,0.002987906
37270.7506,6.0625,92.4375,98.98557,-3.0625,0.003057985
37270.7531,6.0,91.5625,97.87556,-2.875,0.003109376
37270.7556,6.0625,90.625,96.69604,-3.0,0.002987906
37270.7581,5.875,89.625,95.46519,-3.0,0.002930286
37270.7606,6.0625,88.9375,94.19189,-3.125,0.002927172
37270.7631,6.0,87.6875,92.87392,-2.875,0.002970776
37270.7656,6.0625,86.875,91.5015,-2.875,0.002992578
37270.7681,6.0625,85.9375,90.06464,-3.125,0.003008151
37270.7706,5.75,84.9375,88.56074,-3.0625,0.003050198
37270.7731,5.9375,84.0,86.9993,-3.375,0.003025282
37270.7756,5.875,83.0625,85.40182,-3.1875,0.002972333
37270.7781,6.0625,82.625,83.79698,-2.9375,0.002919385
37270.7806,5.8125,81.9375,82.21362,-2.8125,0.002992578
37270.7831,5.9375,81.5,80.67421,-3.0625,0.003017495
37270.7856,6.0,80.8125,79.19132,-3.0625,0.003092246
37270.7881,5.8125,80.1875,77.76811,-2.875,0.0030611
37270.7906,5.8125,79.625,76.40173,-2.8125,0.002998808
37270.7931,5.9375,78.9375,75.08795,-2.75,0.002975448
37270.7956,5.8125,78.25,73.82496,-3.0,0.002945859
37270.7981,5.875,77.625,72.61492,-2.875,0.002998808
37270.8006,5.8125,77.0,71.46325,-3.375,0.003034625
37270.8031,5.875,76.375,70.37642,-4.0,0.003084459
37270.8056,5.6875,75.75,69.35973,-3.5,0.003031511
37270.8081,5.875,75.1875,68.41581,-3.125,0.003000365
37270.8106,5.75,74.6875,67.54453,-3.0,0.002889796
37270.8131,5.75,74.125,66.74368,-2.75,0.002903812
37270.8156,5.75,73.75,66.01001,-3.4375,0.002995693
37270.8181,5.75,73.4375,65.33994,-3.4375,0.003047084
37270.8206,5.6875,72.9375,64.72975,-3.875,0.003079787
37270.8231,5.5,72.5625,64.17548,-3.5,0.003008151
37270.8256,5.6875,72.25,63.6729,-3.125,0.002955203
37270.8281,5.625,71.5625,63.21811,-2.9375,0.002936516
37270.8306,5.6875,71.5,62.80852,-2.5,0.003001922
37270.8331,5.6875,70.9375,62.44396,-2.5625,0.003062657
37270.8356,5.6875,70.75,62.12724,-2.5625,0.003120277
37270.8381,5.625,70.25,61.86368,-2.8125,0.003036183
37270.8406,5.5,70.125,61.65935,-2.875,0.003003479
37270.8431,5.5,69.625,61.5186,-2.5625,0.002984792
37270.8456,5.4375,69.4375,61.44162,-2.6875,0.002950531
37270.8481,5.5625,69.1875,61.4231,-2.5625,0.002992578
37270.8506,5.5,68.875,61.45273,-2.6875,0.003039297
37270.8531,5.625,68.75,61.51766,-2.5,0.003114048
37270.8556,5.5,68.25,61.60595,-3.0,0.003034625
37270.8581,5.625,68.0,61.70969,-3.0,0.002973891
37270.8606,5.5,67.6875,61.82659,-2.875,0.002920942
37270.8631,5.5625,67.5,61.95916,-3.0,0.002998808
37270.8656,5.375,67.1875,62.11187,-3.125,0.003062657
37270.8681,5.5625,66.875,62.28742,-2.75,0.003090688
37270.8706,5.375,66.6875,62.484,-3.0625,0.003124949
37270.8731,5.5,66.3125,62.69466,-3.1875,0.00307823
37270.8756,5.5,66.25,62.90931,-3.0625,0.003056428
37270.8781,5.5625,65.6875,63.11837,-3.1875,0.003008151
37270.8806,5.4375,65.4375,63.31631,-3.0625,0.003039297
37270.8831,5.4375,65.1875,63.50309,-3.25,0.003109376
37270.8856,5.375,64.9375,63.68296,-2.8125,0.003221501
37270.8881,5.5625,64.8125,63.86084,-2.8125,0.003190355
37270.8906,5.3125,64.4375,64.03819,-2.875,0.003072001
37270.8931,5.4375,64.25,64.21036,-3.0,0.00298012
37270.8956,5.5625,63.9375,64.36672,-2.875,0.002966104
37270.8981,5.5,63.5625,64.49381,-3.0625,0.00303774
37270.9006,5.5,63.1875,64.5797,-2.875,0.003053313
37270.9031,5.5,63.0,64.61781,-3.1875,0.003075115
37270.9056,5.4375,62.75,64.60829,-3.1875,0.002987906
37270.9081,5.5,62.5,64.55653,-2.9375,0.002945859
37270.9106,5.5,62.0625,64.4697,-2.875,0.002880453
