Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
50031.6144,12.0625,63.4375,53.43707,-0.875,0.003240189
50031.6169,12.125,63.875,52.02707,-0.8125,0.003223059
50031.6194,12.25,64.0,50.64026,-0.9375,0.0032106
50031.6219,12.25,64.25,49.31839,-0.9375,0.003226173
50031.6244,12.1875,64.1875,48.06666,-1.0,0.003247976
50031.6269,12.3125,64.4375,46.85187,-0.875,0.003244861
50031.6294,12.25,64.5625,45.61922,-0.8125,0.003218387
50031.6319,12.125,64.625,44.32154,-0.9375,0.0032106
50031.6344,12.0625,64.375,42.94551,-0.625,0.00321683
50031.6369,12.1875,64.25,41.51998,-0.875,0.003238632
50031.6394,12.25,64.4375,40.09962,-0.625,0.003243304
50031.6419,12.1875,64.25,38.73094,-0.375,0.00321683
50031.6444,12.125,64.0,37.4181,-0.3125,0.003213715
50031.6469,12.25,63.875,36.10788,-0.5,0.003226173
50031.6494,12.1875,63.75,34.70471,-0.6875,0.003232403
50031.6519,12.25,63.5625,33.11082,-0.6875,0.003229288
50031.6544,12.125,63.25,31.27296,-0.9375,0.003221501
50031.6569,12.125,62.875,29.21296,-0.8125,0.003230845
50031.6594,12.1875,62.5,27.02578,-1.25,0.003240189
50031.6619,12.25,62.25,24.84542,-0.8125,0.003241746
50031.6644,12.25,61.875,22.79424,-1.0,0.00321683
50031.6669,12.25,61.375,20.93994,-0.5625,0.0032106
50031.6694,12.125,60.9375,19.27986,-0.5,0.003232403
50031.6719,12.375,60.5,17.75865,-0.5,0.003237074
50031.6744,12.125,59.875,16.30871,-0.125,0.003240189
50031.6769,12.0,59.5625,14.89219,-0.375,0.003221501
50031.6794,12.125,59.0,13.52377,-0.625,0.00321683
50031.6819,12.25,58.5,12.26392,-0.75,0.003244861
50031.6844,12.3125,58.0625,11.18775,-1.125,0.003226173
50031.6869,12.25,57.3125,10.34631,-0.8125,0.003213715
50031.6894,12.3125,56.875,9.739698,-0.4375,0.003209043
50031.6919,12.1875,56.25,9.314878,-0.4375,0.003223059
50031.6944,12.125,55.4375,8.988033,-0.8125,0.003243304
50031.6969,12.375,54.875,8.679852,-1.0,0.003224616
50031.6994,12.3125,54.5,8.346312,-1.1875,0.003202814
50031.7019,12.25,53.6875,7.991018,-0.5625,0.0032106
50031.7044,12.3125,53.3125,7.654302,-0.625,0.003238632
50031.7069,12.3125,52.75,7.385422,-0.9375,0.003244861
50031.7094,12.0625,52.125,7.211668,-1.0625,0.00323396
50031.7119,12.25,51.875,7.119878,-0.75,0.00321683
50031.7144,12.375,51.3125,7.059126,-0.8125,0.003215272
50031.7169,12.1875,50.9375,6.964381,-1.25,0.003232403
50031.7194,12.375,50.5625,6.791302,-1.4375,0.003238632
50031.7219,12.25,50.3125,6.546658,-1.5,0.003212158
50031.7244,12.25,49.875,6.299575,-1.75,0.003219944
50031.7269,12.1875,49.5625,6.165686,-1.5625,0.003229288
50031.7294,12.3125,49.25,6.266486,-1.125,0.00323396
50031.7319,12.375,48.8125,6.677487,-1.1875,0.003223059
50031.7344,12.1875,48.5625,7.384855,-1.75,0.003207486
50031.7369,12.3125,48.25,8.269438,-1.75,0.00321683
50031.7394,12.4375,47.875,9.129051,-1.625,0.003232403
50031.7419,12.25,47.4375,9.735836,-1.6875,0.003237074
50031.7444,12.25,47.1875,9.911092,-1.4375,0.003226173
50031.7469,12.3125,47.125,9.591312,-1.5,0.003224616
50031.7494,12.375,46.75,8.859703,-1.375,0.003249533
50031.7519,12.3125,46.5625,7.928401,-1.4375,0.003280679
50031.7544,12.4375,46.25,7.074827,-1.75,0.003279122
50031.7569,12.5,45.9375,6.552703,-1.6875,0.003263549
50031.7594,12.4375,45.625,6.508852,-1.5,0.003283794
50031.7619,12.25,45.5,6.935497,-1.625,0.003330513
50031.7644,12.4375,45.1875,7.674888,-1.3125,0.003324283
50031.7669,12.5625,45.125,8.474281,-1.0,0.003302481
50031.7694,12.4375,44.8125,9.070466,-1.1875,0.00327445
50031.7719,12.5625,44.5,9.273852,-1.1875,0.003272892
50031.7744,12.5625,44.4375,9.023678,-1.0625,0.003302481
50031.7769,12.3125,44.3125,8.397506,-0.9375,0.003286908
50031.7794,12.625,44.125,7.575645,-0.625,0.003261991
50031.7819,12.625,43.9375,6.776031,-1.0625,0.003252647
50031.7844,12.5625,43.8125,6.183903,-0.9375,0.003258877
50031.7869,12.5625,43.6875,5.899616,-1.4375,0.003255762
