Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
50164.3144,12.625,40.5,16.1743,-2.3125,0.002953646
50164.3169,12.6875,40.5,16.47598,-2.1875,0.003001922
50164.3194,12.5625,40.375,16.82034,-2.25,0.003011266
50164.3219,12.1875,40.125,17.23677,-1.9375,0.003009709
50164.3244,12.3125,40.0,17.71321,-2.25,0.003000365
50164.3269,12.5,39.875,18.17484,-2.25,0.003015938
50164.3294,12.5,39.8125,18.49912,-1.9375,0.003019052
50164.3319,12.5,39.5,18.56761,-2.125,0.003008151
50164.3344,12.625,39.375,18.33355,-2.3125,0.003008151
50164.3369,12.6875,39.3125,17.87149,-2.1875,0.003011266
50164.3394,12.375,39.125,17.37888,-1.9375,0.003028396
50164.3419,12.625,38.9375,17.11933,-2.1875,0.003019052
50164.3444,12.75,38.9375,17.3265,-2.1875,0.00299725
50164.3469,12.75,38.625,18.1085,-1.75,0.003009709
50164.3494,12.8125,38.375,19.39738,-1.6875,0.003028396
50164.3519,12.75,38.5,20.96996,-1.9375,0.003045527
50164.3544,12.625,38.125,22.53469,-2.0,0.003022167
50164.3569,12.75,38.0,23.84773,-1.8125,0.002998808
50164.3594,12.875,37.9375,24.80693,-1.75,0.003000365
50164.3619,12.6875,37.875,25.48145,-1.8125,0.003026839
50164.3644,12.6875,37.75,26.06422,-2.0,0.003034625
50164.3669,12.75,37.625,26.77058,-2.0625,0.003017495
50164.3694,12.6875,37.5625,27.73057,-1.625,0.003014381
50164.3719,12.8125,37.3125,28.92453,-2.1875,0.003022167
50164.3744,12.875,37.25,30.19027,-2.1875,0.003039297
50164.3769,12.8125,37.125,31.29566,-2.5,0.003036183
50164.3794,12.625,37.0625,32.04054,-1.9375,0.003005037
50164.3819,12.625,36.6875,32.34072,-2.0625,0.003008151
50164.3844,12.5,36.6875,32.25707,-2.0,0.003034625
50164.3869,12.625,36.4375,31.96151,-2.3125,0.003039297
50164.3894,12.6875,36.375,31.65987,-1.8125,0.003023724
50164.3919,12.625,36.125,31.50983,-1.9375,0.003009709
50164.3944,12.625,36.125,31.56963,-2.1875,0.003023724
50164.3969,12.6875,35.875,31.79564,-2.0625,0.003031511
50164.3994,12.6875,35.9375,32.08143,-2.125,0.003034625
50164.4019,12.5625,35.75,32.31479,-1.625,0.003017495
50164.4044,12.75,35.5625,32.42474,-1.8125,0.003009709
50164.4069,12.6875,35.625,32.40073,-2.3125,0.003026839
50164.4094,12.75,35.4375,32.28244,-2.375,0.00303774
50164.4119,12.6875,35.375,32.13279,-2.375,0.003029954
50164.4144,12.6875,35.3125,32.01044,-2.4375,0.003005037
50164.4169,12.5625,35.1875,31.95342,-2.3125,0.003017495
50164.4194,12.6875,35.0,31.97624,-1.9375,0.003048641
50164.4219,12.5625,35.0,32.07521,-2.0625,0.003042412
50164.4244,12.625,34.875,32.23501,-1.6875,0.003008151
50164.4269,12.625,34.6875,32.43293,-1.4375,0.002987906
50164.4294,12.375,34.375,32.64235,-1.4375,0.003022167
50164.4319,12.625,34.5625,32.83854,-2.1875,0.003045527
50164.4344,12.5,34.4375,33.00757,-2.125,0.00303774
50164.4369,12.5625,34.0,33.15434,-2.1875,0.00302061
50164.4394,12.6875,34.25,33.30285,-1.8125,0.003015938
50164.4419,12.5625,34.375,33.4845,-1.8125,0.003036183
50164.4444,12.5,34.1875,33.7174,-2.0,0.003045527
50164.4469,12.625,34.25,33.987,-1.9375,0.003029954
50164.4494,12.6875,34.5625,34.24131,-1.75,0.003033068
50164.4519,12.625,35.1875,34.40824,-2.1875,0.003042412
50164.4544,12.6875,36.3125,34.43055,-2.125,0.00305487
50164.4569,12.5625,37.75,34.30219,-2.125,0.00305487
50164.4594,12.4375,38.8125,34.08533,-1.875,0.003042412
50164.4619,12.5625,39.75,33.8941,-1.8125,0.003050198
50164.4644,12.6875,40.3125,33.84731,-1.5,0.003068886
