Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
52533.3644,11.1875,43.1875,73.02045,-3.125,0.003096917
52533.3669,11.1875,43.0,80.73081,-3.25,0.00307823
52533.3694,11.1875,43.0,87.5886,-3.4375,0.003079787
52533.3719,11.375,42.875,92.32989,-3.3125,0.003104704
52533.3744,11.3125,42.8125,94.32388,-3.3125,0.003109376
52533.3769,11.25,42.625,93.68849,-4.0625,0.003090688
52533.3794,11.3125,42.625,91.15565,-4.0,0.003079787
52533.3819,11.125,42.375,87.75941,-3.8125,0.003087574
52533.3844,11.25,42.3125,84.48142,-3.5625,0.00311249
52533.3869,11.0625,42.125,81.98672,-3.625,0.003109376
52533.3894,11.0,42.0,80.52806,-3.125,0.003096917
52533.3919,11.25,42.0,80.01626,-2.625,0.003087574
52533.3944,10.9375,42.0625,80.18533,-2.6875,0.003106261
52533.3969,11.0,41.9375,80.75846,-3.5,0.003123392
52533.3994,11.125,42.25,81.54402,-3.4375,0.003107819
52533.4019,11.375,42.5,82.44187,-2.9375,0.003090688
52533.4044,11.4375,42.8125,83.3898,-2.6875,0.003101589
52533.4069,11.25,43.0,84.30364,-2.875,0.003120277
52533.4094,11.0625,43.3125,85.0548,-2.625,0.003121834
52533.4119,11.3125,43.6875,85.49924,-2.75,0.003115605
52533.4144,11.25,44.375,85.53789,-2.5,0.003101589
52533.4169,11.1875,45.5,85.17205,-2.3125,0.003107819
52533.4194,11.125,46.625,84.52076,-2.4375,0.00313585
52533.4219,11.1875,47.875,83.78854,-2.5,0.003145194
52533.4244,11.25,48.875,83.19742,-2.75,0.003126506
52533.4269,11.1875,49.8125,82.91213,-2.5,0.00311872
52533.4294,11.0625,50.5,82.98875,-2.375,0.003134293
52533.4319,10.9375,51.1875,83.36388,-2.1875,0.003154538
52533.4344,11.0,52.0,83.88663,-2.25,0.003168553
52533.4369,11.25,52.625,84.37939,-2.0625,0.003154538
52533.4394,11.3125,53.3125,84.70419,-2.25,0.003156095
52533.4419,11.1875,54.25,84.81022,-2.1875,0.003187241
52533.4444,11.25,55.0625,84.7456,-1.875,0.003212158
52533.4469,11.0625,55.6875,84.62814,-2.8125,0.003223059
52533.4494,11.125,56.5,84.58559,-2.6875,0.003221501
52533.4519,10.9375,57.5625,84.68912,-2.375,0.003244861
52533.4544,11.125,58.75,84.90974,-2.5,0.003272892
52533.4569,11.25,59.75,85.12178,-2.5625,0.003305596
52533.4594,11.0625,61.0,85.15758,-2.3125,0.003304038
52533.4619,11.1875,61.9375,84.89133,-2.625,0.003290023
52533.4644,11.1875,63.0,84.31122,-3.0625,0.00330871
52533.4669,10.9375,64.0,83.53908,-3.0625,0.003321169
52533.4694,11.0625,64.9375,82.7793,-2.875,0.00330871
52533.4719,10.9375,66.0625,82.21559,-2.1875,0.003271335
52533.4744,11.25,67.125,81.90549,-2.125,0.003227731
52533.4769,11.25,67.9375,81.73226,-2.5,0.003204371
52533.4794,11.25,69.0625,81.45031,-2.6875,0.003201257
52533.4819,11.25,69.75,80.81059,-2.625,0.003171668
52533.4844,11.1875,70.5625,79.70606,-2.3125,0.003149866
52533.4869,11.125,71.375,78.25626,-2.0625,0.003124949
52533.4894,11.3125,72.25,76.77704,-1.875,0.003117162
52533.4919,11.3125,72.9375,75.64046,-2.3125,0.003120277
52533.4944,11.5625,73.875,75.09255,-2.4375,0.003103147
52533.4969,11.3125,74.5,75.12518,-2.0625,0.00307823
52533.4994,11.5625,75.0625,75.47581,-2.0625,0.003072001
52533.5019,11.375,75.75,75.762,-2.4375,0.003089131
52533.5044,11.1875,76.25,75.67893,-2.5,0.003096917
52533.5069,11.4375,76.6875,75.14602,-2.4375,0.003068886
52533.5094,11.25,77.375,74.31232,-2.625,0.00303774
52533.5119,11.3125,77.8125,73.41,-2.1875,0.003040855
52533.5144,11.5,78.25,72.53886,-2.75,0.003068886
52533.5169,11.4375,78.625,71.51566,-2.75,0.003067329
52533.5194,11.5,78.9375,69.89787,-2.6875,0.003051756
52533.5219,11.3125,79.1875,67.19741,-2.625,0.003036183
52533.5244,11.25,79.375,63.1852,-2.5625,0.003040855
52533.5269,11.1875,79.5625,58.11478,-2.8125,0.003059542
52533.5294,11.1875,79.625,52.71629,-2.75,0.003059542
