Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
52884.4644,12.5625,52.9375,61.41874,-2.1875,0.003067329
52884.4669,12.625,53.75,60.85171,-2.0625,0.00305487
52884.4694,12.5625,54.375,60.73471,-1.875,0.003040855
52884.4719,12.625,55.0625,61.00454,-1.875,0.003025282
52884.4744,12.5625,55.9375,61.37382,-2.125,0.003011266
52884.4769,12.5,56.6875,61.44632,-2.0625,0.003026839
52884.4794,12.5625,57.1875,60.92224,-1.875,0.003023724
52884.4819,12.4375,57.8125,59.78537,-2.0,0.00299725
52884.4844,12.625,58.5,58.35506,-1.9375,0.002995693
52884.4869,12.5625,59.0625,57.14753,-1.9375,0.003005037
52884.4894,12.6875,59.75,56.59482,-2.4375,0.003009709
52884.4919,12.4375,60.5625,56.76342,-2.625,0.003006594
52884.4944,12.5625,61.5,57.23763,-2.4375,0.002983235
52884.4969,12.6875,62.125,57.26337,-2.5625,0.002983235
52884.4994,12.6875,62.625,56.11178,-2.5625,0.00299725
52884.5019,12.625,63.0625,53.49057,-2.25,0.003005037
52884.5044,12.5625,63.6875,49.77795,-2.0,0.002994136
52884.5069,12.625,64.0,45.92361,-1.9375,0.00298012
52884.5094,12.5625,64.4375,43.02371,-2.0625,0.00298012
52884.5119,12.5625,64.75,41.75555,-2.1875,0.003003479
52884.5144,12.5625,65.25,41.95798,-2.125,0.003008151
52884.5169,12.5,65.625,42.59561,-2.3125,0.002989464
52884.5194,12.5625,66.0,42.17215,-2.0,0.002991021
52884.5219,12.5,66.0625,39.43048,-2.75,0.002992578
52884.5244,12.5,66.6875,34.01547,-3.0625,0.003006594
52884.5269,12.5,66.625,26.76806,-1.5,0.00299725
52884.5294,12.375,67.0,19.47786,-0.75,0.00298012
52884.5319,12.3125,67.125,14.17451,-1.5,0.002987906
52884.5344,12.4375,67.25,12.2628,-1.375,0.003001922
52884.5369,12.375,67.5,13.89349,-2.5625,0.003012823
52884.5394,12.3125,67.5625,17.86055,-2.6875,0.003006594
52884.5419,12.3125,67.5,22.07711,-2.125,0.002981677
52884.5444,12.25,67.4375,24.41828,-1.8125,0.002983235
52884.5469,12.125,67.5,23.55682,-2.0,0.003005037
52884.5494,12.1875,67.25,19.43072,-1.9375,0.003005037
52884.5519,12.1875,67.1875,13.1637,-2.25,0.002995693
52884.5544,12.0,67.0,6.510872,-1.8125,0.002973891
