Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
53003.9644,11.6875,45.0625,-8.256707,-1.6875,0.003587467
53003.9669,11.6875,44.875,-8.087598,-1.4375,0.003537633
53003.9694,11.6875,44.6875,-6.678902,-1.625,0.003188798
53003.9719,11.6875,44.625,-4.764251,-2.0,0.002787015
53003.9744,11.6875,44.375,-3.252039,-2.0625,0.002760541
53003.9769,11.4375,44.125,-2.799548,-1.6875,0.002788572
53003.9794,11.5,44.0,-3.505613,-2.125,0.002819718
53003.9819,11.6875,43.75,-4.867915,-2.1875,0.00285865
53003.9844,11.625,43.6875,-6.025284,-1.5,0.002892911
53003.9869,11.75,43.5,-6.172838,-2.0,0.002930286
53003.9894,11.875,43.375,-4.952779,-2.4375,0.002967662
53003.9919,11.6875,43.125,-2.637748,-2.3125,0.002987906
53003.9944,11.8125,42.9375,-0.01697494,-2.1875,0.002981677
53003.9969,11.75,43.0,1.966997,-2.375,0.002964547
53003.9994,11.6875,42.875,2.667806,-2.5625,0.002964547
53004.0019,11.8125,42.5,2.068183,-2.375,0.002981677
53004.0044,11.6875,42.4375,0.8443836,-2.375,0.002970776
53004.0069,11.6875,42.375,0.1292814,-2.3125,0.002966104
53004.0094,11.875,42.375,1.074316,-2.25,0.002959875
53004.0119,11.75,42.0625,4.397443,-1.625,0.002975448
53004.0144,11.8125,41.9375,10.10788,-2.0625,0.002998808
53004.0169,11.625,42.0,17.51838,-2.1875,0.002992578
53004.0194,11.5625,41.6875,25.53074,-2.1875,0.002973891
53004.0219,11.625,41.5,33.06543,-2.5,0.002967662
53004.0244,11.5625,41.625,39.45278,-2.75,0.002977005
53004.0269,11.8125,41.4375,44.62962,-2.9375,0.002994136
53004.0294,11.75,41.125,49.07669,-2.625,0.002986349
53004.0319,11.8125,40.9375,53.54413,-3.1875,0.002970776
53004.0344,11.625,41.0625,58.69229,-2.25,0.002978563
53004.0369,11.625,40.75,64.79742,-2.125,0.002986349
53004.0394,11.5625,40.75,71.62815,-1.875,0.00299725
53004.0419,11.625,40.5625,78.51699,-1.9375,0.002989464
