Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
53911.1419,13.8125,45.6875,77.74922,-1.375,0.003191913
53911.1444,13.5625,46.1875,77.39861,-1.625,0.003204371
53911.1469,13.5,46.8125,77.22585,-1.375,0.003191913
53911.1494,13.5625,47.125,77.10615,-1.8125,0.0032106
53911.1519,13.375,47.5625,76.83721,-2.0625,0.003238632
53911.1544,13.6875,48.1875,76.23286,-2.1875,0.00325109
53911.1569,13.5,48.625,75.2187,-2.1875,0.003235517
53911.1594,13.4375,49.25,73.87669,-2.25,0.003204371
53911.1619,13.3125,49.8125,72.40973,-2.375,0.003185684
53911.1644,13.25,50.5625,71.04426,-2.4375,0.003181012
53911.1669,13.25,51.25,69.92326,-2.8125,0.003148308
53911.1694,13.0625,51.8125,69.05099,-2.625,0.003109376
53911.1719,13.1875,52.8125,68.32059,-2.625,0.003076673
53911.1744,13.125,53.625,67.60874,-2.75,0.003059542
53911.1769,12.875,54.3125,66.87699,-2.25,0.003059542
53911.1794,13.1875,55.3125,66.21336,-1.9375,0.003042412
53911.1819,12.875,56.0,65.7801,-1.4375,0.003015938
53911.1844,13.125,56.9375,65.69263,-1.5625,0.003000365
53911.1869,12.875,57.8125,65.90374,-1.5,0.003008151
53911.1894,13.0625,58.5625,66.17429,-1.5625,0.003025282
53911.1919,12.6875,59.375,66.16782,-1.25,0.003017495
53911.1944,12.9375,60.3125,65.63103,-1.75,0.002989464
53911.1969,12.875,61.0,64.56028,-2.25,0.002981677
53911.1994,12.6875,62.0,63.24423,-2.0625,0.002987906
53911.2019,12.75,62.8125,62.13044,-2.0625,0.003003479
53911.2044,12.6875,63.8125,61.56281,-2.125,0.002994136
53911.2069,12.8125,64.5,61.52252,-2.1875,0.002981677
53911.2094,12.5625,65.25,61.52766,-2.3125,0.002983235
53911.2119,12.5625,66.0,60.78113,-2.25,0.002998808
53911.2144,12.5625,66.75,58.52862,-2.3125,0.003009709
53911.2169,12.5,67.4375,54.46485,-2.5,0.002998808
53911.2194,12.625,67.9375,48.97609,-2.625,0.002977005
53911.2219,12.4375,68.4375,43.06702,-2.25,0.002978563
53911.2244,12.5,69.0,37.96822,-2.5625,0.003000365
53911.2269,12.4375,69.25,34.58811,-2.75,0.003006594
53911.2294,12.625,69.625,33.06993,-2.6875,0.002989464
53911.2319,12.5625,69.875,32.68513,-2.0625,0.002970776
53911.2344,12.5625,70.0,32.14201,-2.4375,0.002984792
53911.2369,12.625,70.4375,30.18683,-2.4375,0.003008151
53911.2394,12.5,70.4375,26.22273,-2.5,0.003003479
53911.2419,12.5,70.6875,20.64849,-2.625,0.002998808
53911.2444,12.5,70.625,14.74114,-2.375,0.002986349
53911.2469,12.625,70.9375,10.12146,-2.75,0.002991021
53911.2494,12.4375,70.8125,8.039838,-2.5625,0.003009709
53911.2519,12.4375,70.75,8.808487,-2.6875,0.003003479
53911.2544,12.5,70.6875,11.63948,-2.6875,0.002992578
53911.2569,12.5625,70.625,14.95857,-2.4375,0.002987906
53911.2594,12.5,70.5625,17.04849,-2.5625,0.00299725
53911.2619,12.6875,70.3125,16.7302,-2.5625,0.003009709
53911.2644,12.5625,70.1875,13.787,-2.1875,0.003005037
53911.2669,12.5625,69.8125,8.966495,-2.4375,0.002986349
53911.2694,12.4375,69.375,3.59208,-2.3125,0.002984792
53911.2719,12.75,69.1875,-1.015016,-2.125,0.002998808
53911.2744,12.625,68.75,-4.037272,-2.1875,0.003009709
53911.2769,12.625,68.625,-5.382105,-2.25,0.003003479
53911.2794,12.5,67.8125,-5.564948,-1.8125,0.002978563
53911.2819,12.625,67.5,-5.354045,-1.5,0.002986349
53911.2844,12.625,66.8125,-5.370445,-1.75,0.003005037
53911.2869,12.6875,66.5,-5.829944,-1.5,0.003017495
53911.2894,12.8125,65.75,-6.524584,-1.5625,0.003006594
53911.2919,12.6875,65.125,-7.018403,-1.5,0.002984792
53911.2944,12.8125,64.6875,-6.933754,-1.4375,0.002991021
53911.2969,12.8125,64.0625,-6.176666,-1.5625,0.003014381
53911.2994,12.75,63.25,-4.995489,-1.4375,0.003012823
53911.3019,12.8125,62.625,-3.85513,-0.8125,0.002998808
53911.3044,12.8125,62.0625,-3.199178,-0.6875,0.002994136
53911.3069,12.9375,61.375,-3.221235,-1.1875,0.002989464
53911.3094,12.8125,60.6875,-3.757893,-1.3125,0.003012823
53911.3119,12.875,60.125,-4.356765,-1.0,0.003012823
53911.3144,12.875,59.375,-4.490644,-1.4375,0.002998808
53911.3169,13.0,58.875,-3.82177,-2.0625,0.002994136
53911.3194,12.75,58.1875,-2.393404,-2.1875,0.002994136
53911.3219,12.8125,57.875,-0.6522272,-2.0,0.003011266
53911.3244,12.8125,57.375,0.7232144,-1.9375,0.003006594
53911.3269,13.0,57.0625,1.124541,-1.875,0.00299725
53911.3294,12.9375,56.5625,0.3189855,-1.6875,0.002995693
53911.3319,12.875,56.375,-1.38337,-1.1875,0.002998808
53911.3344,13.0625,56.0,-3.19539,-1.1875,0.003019052
53911.3369,12.875,55.5625,-4.148607,-1.625,0.003015938
53911.3394,13.125,55.125,-3.5088,-1.8125,0.002989464
53911.3419,12.9375,54.875,-1.134691,-1.4375,0.002995693
53911.3444,13.1875,54.625,2.388378,-1.9375,0.003011266
53911.3469,13.0625,54.0625,5.922576,-1.5625,0.00302061
53911.3494,13.3125,53.75,8.20796,-1.5625,0.003022167
53911.3519,13.1875,53.25,8.37746,-1.3125,0.003005037
53911.3544,13.1875,53.125,6.33452,-1.5625,0.00299725
53911.3569,13.125,52.625,2.821625,-1.5625,0.003015938
53911.3594,13.125,52.375,-0.8615469,-1.6875,0.00303774
53911.3619,13.25,52.125,-3.37634,-1.4375,0.003034625
53911.3644,13.25,51.875,-3.877101,-1.0625,0.003026839
53911.3669,13.375,51.5625,-2.327713,-1.125,0.003048641
53911.3694,13.3125,51.25,0.5272405,-1.5625,0.003075115
53911.3719,13.1875,51.0625,3.511897,-1.6875,0.003076673
53911.3744,13.375,50.8125,5.522505,-1.9375,0.003057985
53911.3769,13.25,50.5625,5.957182,-1.8125,0.003064214
53911.3794,13.1875,50.25,4.891853,-2.125,0.003089131
53911.3819,13.25,50.125,2.951741,-1.5625,0.003124949
53911.3844,13.25,49.875,0.96967,-1.75,0.003128063
53911.3869,13.3125,49.75,-0.3889055,-1.75,0.003092246
53911.3894,13.25,49.4375,-0.8598546,-1.0,0.003065771
53911.3919,13.1875,49.125,-0.5892833,-1.125,0.0030611
53911.3944,13.1875,49.1875,0.04870543,-1.8125,0.003053313
53911.3969,13.1875,48.625,0.6989116,-1.625,0.003036183
53911.3994,13.4375,48.5625,1.196854,-1.625,0.00299725
53911.4019,13.125,48.375,1.586898,-1.6875,0.002986349
53911.4044,13.1875,48.1875,2.005318,-1.5625,0.002987906
53911.4069,13.3125,48.0,2.523178,-2.0,0.00299725
53911.4094,13.375,47.75,3.058979,-1.8125,0.002994136
53911.4119,13.125,47.6875,3.419471,-1.6875,0.002973891
53911.4144,13.25,47.5625,3.441638,-1.4375,0.002973891
53911.4169,13.25,47.25,3.140846,-1.4375,0.002983235
53911.4194,13.3125,47.25,2.761026,-1.9375,0.002991021
53911.4219,13.1875,46.9375,2.675821,-1.8125,0.002973891
53911.4244,13.125,47.0,3.178318,-1.9375,0.002961432
53911.4269,13.3125,46.625,4.270131,-1.9375,0.002966104
53911.4294,13.25,46.625,5.576647,-2.0,0.002983235
53911.4319,13.0625,46.1875,6.460539,-1.625,0.002998808
53911.4344,13.1875,46.25,6.303508,-1.4375,0.00298012
53911.4369,13.1875,45.9375,4.83342,-1.6875,0.00295676
53911.4394,13.125,45.8125,2.334418,-1.4375,0.00295676
53911.4419,13.0,45.75,-0.3828879,-1.0625,0.002984792
53911.4444,13.125,45.625,-2.267098,-1.25,0.002991021
53911.4469,13.0625,45.375,-2.461605,-1.0,0.002967662
53911.4494,13.25,45.3125,-0.7044306,-1.1875,0.002924057
