Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
56119.4644,10.875,56.625,20.09116,-1.5625,0.003065771
56119.4669,10.8125,56.125,20.16718,-1.5,0.003084459
56119.4694,10.9375,55.6875,20.39844,-1.4375,0.003090688
56119.4719,11.0625,55.25,20.43332,-1.5625,0.003065771
56119.4744,11.0,54.625,20.00064,-1.25,0.003045527
56119.4769,10.8125,54.0625,19.09312,-0.875,0.003050198
56119.4794,10.875,53.375,18.01075,-1.0,0.003072001
56119.4819,10.8125,53.0,17.2289,-0.9375,0.003068886
56119.4844,10.875,52.5,17.15438,-1.375,0.003043969
56119.4869,10.8125,52.125,17.89914,-1.5625,0.003026839
56119.4894,11.0625,51.6875,19.19721,-1.5625,0.003026839
56119.4919,11.0,51.5,20.51541,-1.125,0.003040855
56119.4944,10.875,51.1875,21.30574,-1.1875,0.003034625
56119.4969,10.875,50.8125,21.27148,-1.25,0.003014381
56119.4994,11.0,50.6875,20.51151,-1.1875,0.003015938
56119.5019,10.9375,50.25,19.47094,-1.5625,0.003028396
56119.5044,10.9375,50.0,18.72568,-1.8125,0.003039297
56119.5069,11.0,49.75,18.71152,-1.875,0.00315298
56119.5094,10.875,49.3125,19.5312,-1.9375,0.002463096
56119.5119,11.0625,48.9375,20.92769,-1.75,0.004264893
56119.5144,10.875,48.625,22.42545,-1.625,0.0006457265
56119.5169,11.125,48.25,23.55942,-1.5625,-0.01354751
56119.5194,11.0,48.125,24.07541,-1.6875,-0.01270501
56119.5219,11.1875,47.875,24.01088,-1.5,-0.01294639
56119.5244,11.0625,47.5625,23.63132,-1.625,-0.009660488
56119.5269,11.25,47.25,23.2701,-1.3125,0.005288039
56119.5294,11.0625,47.0,23.16131,-2.125,0.005373691
56119.5319,11.3125,46.875,23.34575,-1.4375,0.0036264
56119.5344,11.1875,46.75,23.68483,-1.5,0.004014167
56119.5369,11.3125,46.5,23.96002,-1.5625,0.003708937
56119.5394,11.375,46.25,23.99619,-1.25,0.003623285
