Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
57800.3144,10.9375,48.1875,15.59684,-1.125,0.002919385
57800.3169,10.9375,48.125,13.96493,-1.1875,0.002942745
57800.3194,11.0625,48.0625,11.9409,-1.0,0.002945859
57800.3219,10.9375,48.0625,10.30014,-0.8125,0.002924057
57800.3244,10.8125,48.0,9.791071,-0.8125,0.002917828
57800.3269,11.0625,47.875,10.78808,-1.0625,0.002928729
57800.3294,11.0625,47.875,13.10687,-1.1875,0.00293963
57800.3319,11.125,47.8125,16.08517,-1.375,0.002933401
57800.3344,11.0,47.75,18.89941,-1.0625,0.002927172
57800.3369,11.0,47.625,20.96483,-0.75,0.00293963
57800.3394,11.125,47.6875,22.21955,-0.6875,0.002947417
57800.3419,10.9375,47.5,23.14994,-1.0625,0.002947417
57800.3444,10.9375,47.5625,24.54608,-1.3125,0.002941187
57800.3469,10.8125,47.4375,27.11256,-1.5,0.002924057
57800.3494,10.8125,47.25,31.13021,-1.375,0.002917828
57800.3519,10.8125,47.1875,36.33284,-0.875,0.002931844
57800.3544,11.0,47.25,42.04765,-0.875,0.002945859
57800.3569,10.875,47.25,47.51349,-0.8125,0.002934958
57800.3594,10.9375,47.125,52.20611,-0.5625,0.002916271
57800.3619,10.9375,46.9375,56.01031,-1.125,0.002919385
57800.3644,10.875,47.0,59.17001,-0.9375,0.002944302
57800.3669,10.8125,46.8125,62.06828,-1.125,0.002944302
57800.3694,10.9375,46.8125,64.97335,-0.8125,0.002916271
57800.3719,10.8125,46.6875,67.89021,-1.0625,0.002911599
57800.3744,10.9375,46.8125,70.58628,-1.125,0.002927172
57800.3769,11.0625,46.5625,72.75743,-1.125,0.002936516
57800.3794,10.875,46.5625,74.22621,-1.5625,0.002930286
57800.3819,10.9375,46.5,75.05385,-0.875,0.002894468
57800.3844,10.875,46.3125,75.50801,-1.0,0.002900698
57800.3869,10.6875,46.25,75.91714,-0.875,0.002925614
57800.3894,10.8125,46.125,76.50189,-1.1875,0.002941187
57800.3919,10.8125,46.125,77.28172,-1.25,0.002914713
57800.3944,10.8125,46.0,78.1025,-1.4375,0.002894468
57800.3969,10.625,45.875,78.7588,-1.125,0.002903812
57800.3994,10.625,46.0,79.13339,-1.4375,0.002925614
57800.4019,10.75,45.9375,79.27167,-0.8125,0.002936516
57800.4044,10.9375,45.875,79.35312,-1.0625,0.002936516
57800.4069,10.9375,46.125,79.58441,-1.0625,0.0029225
57800.4094,10.875,45.875,80.08212,-1.0625,0.002911599
57800.4119,10.6875,46.125,80.81255,-1.6875,0.002931844
57800.4144,11.0,46.125,81.62071,-1.3125,0.002950531
57800.4169,10.6875,46.0625,82.32549,-0.9375,0.002927172
57800.4194,10.8125,45.9375,82.82159,-0.8125,0.0029225
57800.4219,10.75,46.125,83.12934,-1.25,0.002934958
57800.4244,11.0,46.25,83.36892,-1.4375,0.002950531
57800.4269,10.8125,46.375,83.68067,-0.9375,0.002948974
57800.4294,10.875,46.6875,84.142,-1.1875,0.002930286
57800.4319,10.8125,46.9375,84.729,-1.25,0.002930286
57800.4344,10.9375,47.3125,85.3403,-0.875,0.002950531
57800.4369,10.9375,48.0,85.86311,-1.125,0.002970776
57800.4394,10.8125,48.5625,86.23893,-1.4375,0.002964547
57800.4419,10.75,49.125,86.49041,-1.4375,0.002952089
57800.4444,10.9375,50.25,86.69681,-1.375,0.002958318
57800.4469,11.0,50.875,86.93748,-1.125,0.002983235
57800.4494,11.0,51.6875,87.23985,-1.3125,0.002991021
57800.4519,11.0625,52.5,87.56308,-1.25,0.002978563
57800.4544,11.125,53.5625,87.82465,-1.125,0.002995693
57800.4569,11.125,54.375,87.95245,-1.4375,0.003019052
57800.4594,11.0,55.125,87.93004,-1.25,0.003053313
57800.4619,11.0625,55.9375,87.80919,-1.25,0.003064214
57800.4644,11.0625,56.875,87.68318,-1.3125,0.003057985
57800.4669,11.1875,57.9375,87.63615,-1.0,0.003087574
57800.4694,11.0625,58.6875,87.69778,-1.0,0.003140522
57800.4719,11.125,59.75,87.82645,-1.0625,0.003173225
57800.4744,11.125,60.625,87.92871,-0.875,0.003195027
57800.4769,10.9375,61.6875,87.90444,-1.125,0.00319347
57800.4794,11.25,62.75,87.69482,-0.625,0.003218387
57800.4819,11.0625,63.6875,87.31054,-0.8125,0.003260434
