Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
57811.5144,12.4375,47.875,-0.0857821,-1.6875,0.003285351
57811.5169,12.5625,47.875,-0.4564365,-1.8125,0.00288201
57811.5194,12.5625,48.0,-1.134413,-1.6875,0.002603253
57811.5219,12.6875,47.6875,-2.042084,-2.0,0.002607925
57811.5244,12.6875,47.9375,-2.985985,-2.0625,0.002662431
57811.5269,12.5625,47.375,-3.7535,-1.625,0.002735624
57811.5294,12.4375,47.4375,-4.226259,-2.0625,0.002821275
57811.5319,12.5625,47.4375,-4.450539,-2.375,0.002897583
57811.5344,12.8125,47.5,-4.621005,-2.6875,0.002953646
57811.5369,12.8125,47.125,-4.976494,-2.375,0.003001922
57811.5394,12.8125,47.125,-5.655831,-2.5,0.003031511
57811.5419,12.75,47.1875,-6.591052,-2.375,0.003019052
57811.5444,12.5625,47.125,-7.505427,-2.5625,0.003009709
57811.5469,12.75,47.125,-8.032269,-2.125,0.00302061
57811.5494,12.5625,46.8125,-7.906272,-1.9375,0.003048641
57811.5519,12.875,46.875,-7.128808,-1.1875,0.003043969
57811.5544,12.75,46.6875,-6.009297,-1.5,0.003033068
57811.5569,12.8125,46.75,-5.042426,-1.375,0.003036183
57811.5594,12.75,46.5625,-4.665561,-1.6875,0.003048641
57811.5619,12.8125,46.6875,-5.014891,-1.9375,0.003065771
57811.5644,12.875,46.5625,-5.812779,-1.6875,0.003064214
57811.5669,12.8125,46.4375,-6.461487,-1.75,0.003042412
57811.5694,12.875,46.5,-6.313623,-1.375,0.003050198
57811.5719,12.75,46.125,-4.990639,-1.25,0.003064214
57811.5744,12.75,46.125,-2.583826,-1.1875,0.003084459
57811.5769,12.75,46.25,0.3776171,-1.8125,0.003073558
57811.5794,12.75,46.0625,3.18975,-1.875,0.0030611
57811.5819,12.8125,46.125,5.342957,-2.1875,0.003068886
57811.5844,12.75,46.0,6.805325,-2.375,0.003082902
57811.5869,12.8125,45.875,8.065616,-2.1875,0.003084459
57811.5894,12.75,45.8125,9.900537,-2.25,0.003073558
57811.5919,12.625,45.75,12.97624,-2.25,0.003059542
57811.5944,12.9375,45.875,17.48739,-2.0,0.0030611
57811.5969,12.875,45.75,23.02388,-1.9375,0.00307823
57811.5994,12.8125,45.625,28.74184,-1.875,0.003082902
57811.6019,12.8125,45.5,33.75677,-1.875,0.00305487
57811.6044,12.6875,45.4375,37.55821,-1.5625,0.003045527
57811.6069,12.625,45.375,40.23192,-1.625,0.003062657
57811.6094,12.8125,45.5625,42.37435,-1.875,0.003073558
57811.6119,12.75,45.375,44.74619,-2.3125,0.003059542
57811.6144,12.8125,45.5,47.84858,-1.9375,0.003039297
57811.6169,12.75,45.1875,51.6458,-2.1875,0.003051756
57811.6194,12.625,45.125,55.57795,-2.5,0.003064214
57811.6219,12.6875,45.0625,58.85313,-2.3125,0.0030611
57811.6244,12.6875,45.125,60.86362,-2.1875,0.003047084
57811.6269,12.625,44.8125,61.50447,-2.125,0.00303774
57811.6294,12.75,44.875,61.23123,-2.25,0.003045527
57811.6319,12.75,44.875,60.83128,-2.0,0.003068886
57811.6344,12.625,44.875,61.03408,-2.0625,0.003068886
57811.6369,12.8125,44.8125,62.16732,-1.9375,0.003043969
57811.6394,12.625,44.6875,64.03261,-2.25,0.003036183
57811.6419,12.5625,44.5625,66.05394,-2.625,0.003050198
57811.6444,12.6875,44.5625,67.60564,-2.625,0.003062657
57811.6469,12.6875,44.5625,68.34022,-2.5625,0.003059542
57811.6494,12.5625,44.375,68.34572,-2.3125,0.003045527
57811.6519,12.4375,44.375,68.06322,-2.75,0.003034625
57811.6544,12.6875,44.5,68.02577,-2.75,0.003056428
57811.6569,12.75,44.5,68.57099,-2.625,0.003062657
57811.6594,12.75,44.5,69.68092,-1.875,0.003051756
57811.6619,12.6875,44.6875,71.02485,-2.3125,0.003045527
57811.6644,12.625,44.625,72.16576,-2.3125,0.003050198
57811.6669,12.5625,44.6875,72.80534,-2.1875,0.003065771
57811.6694,12.4375,44.9375,72.93343,-2.0625,0.003073558
57811.6719,12.5,45.1875,72.80811,-1.875,0.003062657
57811.6744,12.625,45.5625,72.79129,-1.875,0.00305487
57811.6769,12.75,46.3125,73.14259,-2.0625,0.003064214
57811.6794,12.6875,46.9375,73.88609,-2.25,0.003087574
57811.6819,12.5,47.5625,74.81677,-2.0625,0.00307823
57811.6844,12.625,48.4375,75.63031,-2.1875,0.003057985
57811.6869,12.6875,49.125,76.09351,-2.125,0.003062657
57811.6894,12.6875,50.1875,76.15865,-1.9375,0.003087574
57811.6919,12.8125,51.0,75.96559,-1.9375,0.003101589
57811.6944,12.5625,51.75,75.74303,-1.9375,0.003087574
57811.6969,12.625,52.625,75.67599,-1.8125,0.003084459
57811.6994,12.5625,53.3125,75.81721,-1.8125,0.003103147
57811.7019,12.5625,54.125,76.08629,-2.75,0.003128063
57811.7044,12.5,54.9375,76.34428,-2.5625,0.003142079
57811.7069,12.625,55.875,76.48927,-2.25,0.003140522
57811.7094,12.5625,56.625,76.51165,-2.6875,0.003138965
57811.7119,12.5625,57.5625,76.48046,-2.625,0.003170111
57811.7144,12.6875,58.5,76.47889,-3.0,0.003209043
57811.7169,12.6875,59.4375,76.53816,-2.1875,0.003219944
57811.7194,12.6875,60.5,76.61645,-2.1875,0.003227731
57811.7219,12.6875,61.6875,76.63525,-2.5625,0.003230845
57811.7244,12.625,62.6875,76.5452,-2.625,0.003227731
57811.7269,12.4375,63.6875,76.37225,-2.5,0.003247976
57811.7294,12.5,64.625,76.20725,-2.1875,0.003243304
57811.7319,12.5625,65.75,76.14052,-2.625,0.003202814
57811.7344,12.6875,66.875,76.18327,-2.4375,0.003182569
57811.7369,12.5625,67.875,76.23093,-2.125,0.003174782
57811.7394,12.625,68.75,76.10062,-2.375,0.003173225
57811.7419,12.5,69.875,75.62862,-2.375,0.003134293
57811.7444,12.5625,70.75,74.77256,-1.8125,0.003093803
57811.7469,12.5625,71.6875,73.65344,-2.5625,0.003076673
57811.7494,12.5625,72.5625,72.50395,-2.4375,0.003084459
57811.7519,12.5,73.375,71.54536,-2.1875,0.003073558
57811.7544,12.6875,74.1875,70.8614,-2.375,0.003042412
57811.7569,12.5625,75.0625,70.34599,-2.25,0.003033068
57811.7594,12.5,75.875,69.76179,-2.0,0.003039297
57811.7619,12.4375,76.4375,68.88364,-2.1875,0.003040855
57811.7644,12.5,77.0625,67.64409,-2.0625,0.00303774
57811.7669,12.4375,77.75,66.19209,-2.0,0.003019052
57811.7694,12.5,78.25,64.81999,-2.4375,0.003023724
57811.7719,12.6875,79.0,63.78993,-2.8125,0.003025282
57811.7744,12.625,79.25,63.15578,-1.9375,0.00303774
57811.7769,12.5,79.6875,62.68965,-1.9375,0.003034625
57811.7794,12.375,80.125,61.96918,-2.125,0.002998808
57811.7819,12.625,80.5,60.59223,-2.4375,0.003003479
57811.7844,12.375,80.75,58.40726,-2.25,0.003033068
57811.7869,12.5,81.125,55.62745,-2.1875,0.003039297
57811.7894,12.375,81.3125,52.75023,-2.375,0.003028396
57811.7919,12.375,81.5,50.30894,-2.375,0.003008151
57811.7944,12.4375,81.75,48.58058,-2.375,0.003025282
57811.7969,12.4375,81.9375,47.41072,-2.5625,0.003039297
57811.7994,12.4375,82.0625,46.26523,-2.3125,0.003026839
57811.8019,12.625,82.25,44.50264,-2.0,0.003012823
57811.8044,12.625,82.25,41.73991,-1.6875,0.003015938
57811.8069,12.5625,82.25,38.12325,-2.125,0.003034625
57811.8094,12.5,82.25,34.35144,-2.0,0.003047084
57811.8119,12.375,82.375,31.41813,-2.125,0.003062657
57811.8144,12.5,82.125,30.18245,-2.0625,0.003040855
57811.8169,12.5625,82.125,30.97021,-2.25,0.003045527
57811.8194,12.5,81.9375,33.40013,-2.3125,0.003065771
57811.8219,12.5625,81.75,36.52432,-2.4375,0.003081344
57811.8244,12.5,81.75,39.21937,-2.5,0.00309536
57811.8269,12.5,81.4375,40.64439,-2.5625,0.00311249
57811.8294,12.5,80.9375,40.55239,-2.4375,0.003168553
57811.8319,12.5,81.0,39.31844,-2.4375,0.003235517
57811.8344,12.5,80.5625,37.68853,-2.4375,0.003304038
57811.8369,12.375,80.1875,36.38729,-2.3125,0.003358544
57811.8394,12.5,79.6875,35.78186,-2.6875,0.003327398
57811.8419,12.4375,79.25,35.75778,-2.875,0.00317634
57811.8444,12.5,78.9375,35.84658,-2.8125,0.002948974
57811.8469,12.5,78.5625,35.51736,-2.875,0.002749639
57811.8494,12.3125,78.0,34.47029,-2.6875,0.002598581
57811.8519,12.4375,77.375,32.78279,-2.4375,0.002525388
57811.8544,12.4375,76.8125,30.84723,-2.125,0.002551862
57811.8569,12.4375,76.3125,29.15092,-1.9375,0.002625055
57811.8594,12.25,75.8125,28.02569,-2.0,0.002724723
57811.8619,12.25,75.0625,27.49895,-2.1875,0.002810374
57811.8644,12.3125,74.3125,27.31435,-1.6875,0.00288201
57811.8669,12.4375,73.6875,27.09552,-1.6875,0.002958318
57811.8694,12.375,73.25,26.55522,-2.125,0.003005037
57811.8719,12.3125,72.25,25.63589,-1.9375,0.002998808
57811.8744,12.25,71.5,24.5148,-2.25,0.002992578
57811.8769,12.1875,70.875,23.48378,-1.8125,0.003001922
57811.8794,12.1875,70.125,22.77908,-2.0625,0.003022167
57811.8819,12.125,69.4375,22.4561,-2.1875,0.003029954
57811.8844,12.25,68.75,22.37329,-1.9375,0.00302061
57811.8869,12.1875,68.0625,22.28514,-2.125,0.003008151
57811.8894,12.25,67.625,21.98641,-2.3125,0.003009709
57811.8919,12.125,67.125,21.42691,-2.5,0.003028396
57811.8944,12.25,66.75,20.737,-2.6875,0.003022167
57811.8969,12.1875,66.25,20.15555,-2.875,0.002998808
57811.8994,12.3125,65.8125,19.90237,-2.625,0.002986349
57811.9019,12.3125,65.25,20.06456,-2.875,0.003003479
57811.9044,12.25,64.9375,20.55558,-2.125,0.003022167
57811.9069,12.25,64.5,21.16215,-2.1875,0.003001922
57811.9094,12.375,63.9375,21.65415,-2.4375,0.002986349
57811.9119,12.3125,63.375,21.899,-2.1875,0.00299725
57811.9144,12.3125,63.0625,21.92554,-2.125,0.003008151
57811.9169,12.1875,62.5625,21.90887,-2.6875,0.003011266
57811.9194,12.125,62.0625,22.08676,-2.3125,0.003009709
57811.9219,12.125,61.6875,22.64956,-2.25,0.003005037
57811.9244,12.125,61.1875,23.65317,-2.8125,0.003005037
57811.9269,12.125,60.9375,24.99228,-2.9375,0.003036183
57811.9294,12.1875,60.3125,26.44015,-2.9375,0.003050198
57811.9319,12.3125,60.125,27.73544,-3.25,0.003029954
57811.9344,12.0,59.75,28.67553,-2.6875,0.003022167
57811.9369,12.1875,59.3125,29.17885,-2.375,0.003029954
57811.9394,12.0625,59.1875,29.29505,-2.4375,0.003042412
57811.9419,12.0625,58.75,29.16572,-2.875,0.003031511
57811.9444,12.25,58.375,28.95853,-3.1875,0.002998808
57811.9469,12.0625,58.125,28.80337,-3.125,0.003000365
57811.9494,12.0625,57.8125,28.75458,-3.25,0.003012823
57811.9519,12.0625,57.5625,28.78933,-3.0,0.003045527
57811.9544,12.0,57.125,28.83639,-2.4375,0.003050198
57811.9569,12.0625,56.9375,28.81538,-2.5625,0.003009709
57811.9594,12.125,56.75,28.67058,-2.875,0.003031511
57811.9619,12.125,56.3125,28.38673,-2.5,0.003050198
57811.9644,11.9375,55.8125,27.98471,-3.25,0.003067329
57811.9669,11.75,55.6875,27.50461,-3.125,0.0030611
57811.9694,11.625,55.375,26.9865,-2.625,0.003045527
57811.9719,11.75,55.25,26.45959,-2.875,0.003042412
57811.9744,11.8125,54.875,25.94288,-2.375,0.003042412
57811.9769,11.9375,54.6875,25.45417,-2.4375,0.003043969
57811.9794,11.8125,54.375,25.0206,-2.3125,0.003014381
57811.9819,11.6875,54.125,24.68235,-1.625,0.003006594
57811.9844,11.6875,54.125,24.48601,-1.8125,0.003011266
57811.9869,11.6875,53.8125,24.469,-2.125,0.003019052
57811.9894,11.8125,53.5,24.64179,-2.4375,0.003026839
57811.9919,11.9375,53.4375,24.97657,-2.5,0.002998808
57811.9944,11.75,53.125,25.40997,-2.0625,0.00298012
57811.9969,11.5625,53.125,25.85829,-1.9375,0.002994136
57811.9994,11.75,53.0625,26.24306,-2.1875,0.003005037
57812.0019,11.8125,52.6875,26.51612,-2.1875,0.002994136
57812.0044,11.75,52.375,26.67438,-2.1875,0.002972333
57812.0069,11.6875,52.375,26.75689,-2.25,0.002986349
57812.0094,11.625,52.1875,26.82384,-2.0625,0.003008151
57812.0119,11.5625,52.1875,26.92571,-2.0625,0.003009709
57812.0144,11.6875,51.6875,27.07769,-2.125,0.003006594
57812.0169,11.625,51.5625,27.25135,-2.1875,0.003011266
57812.0194,11.375,51.4375,27.39004,-2.6875,0.003034625
57812.0219,11.625,51.375,27.44,-2.5625,0.003079787
57812.0244,11.5625,51.125,27.37924,-2.25,0.003106261
57812.0269,11.5625,50.8125,27.22804,-2.125,0.003106261
57812.0294,11.4375,50.75,27.03332,-2.5,0.003123392
57812.0319,11.5625,50.5625,26.83582,-2.5,0.003160767
57812.0344,11.5,50.4375,26.63818,-1.625,0.003195027
57812.0369,11.5625,50.375,26.39548,-1.6875,0.003191913
57812.0394,11.5,50.1875,26.03709,-1.9375,0.003159209
57812.0419,11.25,49.9375,25.51057,-2.1875,0.003142079
57812.0444,11.4375,49.6875,24.82233,-1.75,0.003140522
57812.0469,11.5625,49.875,24.04938,-2.1875,0.003120277
57812.0494,11.5625,49.625,23.30936,-2.4375,0.003092246
57812.0519,11.5625,49.375,22.70076,-2.375,0.003056428
57812.0544,11.5625,49.3125,22.24658,-2.5,0.003043969
57812.0569,11.375,49.25,21.87463,-2.1875,0.0030611
57812.0594,11.625,49.375,21.45217,-2.125,0.003040855
57812.0619,11.625,49.125,20.86029,-2.0,0.00302061
57812.0644,11.5625,49.0625,20.06597,-1.875,0.003009709
57812.0669,11.4375,49.0,19.14902,-2.25,0.003015938
57812.0694,11.4375,48.75,18.2622,-2.9375,0.003043969
57812.0719,11.375,48.75,17.54268,-2.375,0.003036183
57812.0744,11.5625,48.5625,17.02502,-2.4375,0.003014381
57812.0769,11.5625,48.5,16.61,-2.0625,0.003012823
57812.0794,11.4375,48.25,16.11461,-2.1875,0.003015938
57812.0819,11.6875,48.125,15.38078,-2.25,0.003029954
57812.0844,11.625,48.375,14.38078,-1.8125,0.003019052
57812.0869,11.8125,48.125,13.25311,-1.5,0.003001922
57812.0894,11.8125,48.0,12.23817,-2.25,0.003015938
57812.0919,11.75,47.875,11.5423,-2.25,0.003036183
57812.0944,11.75,47.875,11.20599,-2.1875,0.003031511
57812.0969,11.625,47.8125,11.05837,-2.0,0.003022167
57812.0994,11.625,47.6875,10.79606,-2.0625,0.003014381
57812.1019,11.625,47.4375,10.15267,-2.0625,0.003022167
57812.1044,11.5,47.625,9.066709,-1.8125,0.003043969
57812.1069,11.625,47.4375,7.746596,-2.375,0.003045527
57812.1094,11.625,47.25,6.583084,-2.5625,0.003033068
57812.1119,11.8125,47.25,5.944525,-2.25,0.003019052
57812.1144,11.625,47.1875,5.963373,-2.25,0.003028396
57812.1169,11.6875,47.25,6.437561,-2.0625,0.003050198
57812.1194,11.75,46.9375,6.914059,-1.6875,0.003039297
57812.1219,11.6875,47.0,6.922381,-2.25,0.003026839
57812.1244,11.6875,46.9375,6.236796,-2.375,0.003026839
57812.1269,11.625,46.875,5.021793,-2.3125,0.003034625
57812.1294,11.625,46.6875,3.771283,-2.1875,0.00305487
57812.1319,11.6875,46.6875,3.063151,-2.375,0.003040855
57812.1344,11.625,46.6875,3.254676,-2.0,0.003023724
57812.1369,11.8125,46.5625,4.283081,-2.0625,0.003022167
