Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
57863.7144,11.125,48.1875,48.12831,-2.0625,0.002902255
57863.7169,11.1875,48.1875,52.49267,-2.25,0.002924057
57863.7194,11.125,47.9375,56.14736,-2.375,0.0029225
57863.7219,11.1875,48.125,59.39098,-2.1875,0.002914713
57863.7244,11.0625,47.8125,62.53765,-2.0625,0.002908484
57863.7269,11.125,47.875,65.70898,-1.8125,0.002916271
57863.7294,11.1875,47.75,68.76699,-2.625,0.002930286
57863.7319,11.0,47.5625,71.40945,-2.3125,0.002919385
57863.7344,11.0,47.625,73.35898,-2.375,0.002913156
57863.7369,11.0,47.3125,74.53166,-2.0625,0.002914713
57863.7394,10.75,47.375,75.08944,-2.0625,0.0029225
57863.7419,11.0,47.3125,75.35794,-2.4375,0.002931844
57863.7444,10.9375,47.0,75.66278,-2.25,0.002928729
57863.7469,10.9375,46.9375,76.18269,-2.5,0.002902255
57863.7494,11.125,46.875,76.89565,-2.3125,0.002917828
57863.7519,10.9375,46.875,77.63869,-2.3125,0.002942745
57863.7544,11.0,47.0625,78.23662,-1.9375,0.002934958
57863.7569,10.9375,46.8125,78.61974,-2.1875,0.002927172
57863.7594,10.875,46.8125,78.86524,-1.875,0.002908484
57863.7619,11.1875,46.9375,79.145,-2.125,0.002920942
57863.7644,11.0625,46.875,79.61806,-2.125,0.002955203
57863.7669,11.0,46.75,80.33495,-2.0,0.002944302
57863.7694,11.0625,46.75,81.2092,-2.1875,0.002924057
57863.7719,10.9375,46.875,82.06948,-2.0625,0.002936516
57863.7744,11.0625,46.8125,82.7585,-2.25,0.002952089
57863.7769,11.0625,46.875,83.2199,-2.4375,0.002953646
57863.7794,10.9375,47.0,83.52444,-2.625,0.002953646
57863.7819,11.0,47.125,83.82338,-2.4375,0.002934958
57863.7844,10.9375,47.25,84.25878,-2.5,0.002931844
57863.7869,11.0,47.5,84.88234,-1.8125,0.002966104
57863.7894,10.9375,47.75,85.62753,-1.8125,0.002984792
57863.7919,11.125,48.1875,86.34736,-1.6875,0.002967662
57863.7944,10.9375,48.8125,86.89442,-1.6875,0.002948974
57863.7969,11.25,49.375,87.19852,-1.875,0.002967662
57863.7994,11.0,50.0,87.30087,-2.4375,0.00299725
57863.8019,11.125,51.0,87.32948,-2.6875,0.003000365
57863.8044,11.1875,51.75,87.43127,-2.5,0.002989464
57863.8069,11.125,52.625,87.69782,-2.5625,0.002992578
57863.8094,11.3125,53.625,88.12215,-2.6875,0.003003479
57863.8119,11.125,54.25,88.60614,-2.3125,0.003034625
57863.8144,11.1875,55.3125,89.01208,-1.9375,0.00303774
57863.8169,11.125,56.125,89.23077,-2.125,0.00303774
57863.8194,11.0625,57.0,89.23228,-1.9375,0.00305487
57863.8219,11.3125,57.9375,89.07567,-1.9375,0.003087574
57863.8244,11.0,58.9375,88.87477,-2.1875,0.003115605
57863.8269,11.25,59.8125,88.73824,-2.125,0.003129621
57863.8294,11.25,60.75,88.71421,-2.0625,0.003148308
57863.8319,11.1875,61.8125,88.76657,-1.9375,0.003174782
57863.8344,11.375,62.75,88.79536,-2.1875,0.003213715
57863.8369,11.3125,63.9375,88.69083,-1.9375,0.003237074
