Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
57871.7644,11.25,76.0,46.37279,-2.375,0.003100032
57871.7669,11.375,75.4375,46.28674,-2.4375,0.003106261
57871.7694,11.3125,74.875,46.02102,-2.375,0.003093803
57871.7719,11.3125,73.875,45.46668,-2.3125,0.00307823
57871.7744,11.125,73.25,44.72829,-2.375,0.003081344
57871.7769,11.0625,72.625,44.05792,-2.5,0.003100032
57871.7794,11.25,71.875,43.70656,-2.3125,0.003106261
57871.7819,11.3125,71.3125,43.77401,-2.6875,0.003082902
57871.7844,11.375,70.6875,44.13629,-2.75,0.003062657
57871.7869,11.5,69.9375,44.4874,-2.8125,0.003075115
57871.7894,11.375,69.25,44.47385,-2.9375,0.003103147
57871.7919,11.1875,68.75,43.8555,-2.75,0.003092246
57871.7944,11.1875,68.1875,42.61693,-2.625,0.003079787
57871.7969,11.3125,67.9375,40.98055,-2.5625,0.003064214
57871.7994,11.375,67.4375,39.31944,-1.8125,0.003067329
57871.8019,11.3125,67.125,38.01237,-2.0625,0.003092246
57871.8044,11.5,66.375,37.30427,-2.625,0.003082902
57871.8069,11.3125,66.125,37.22751,-2.75,0.003067329
57871.8094,11.4375,65.5,37.60852,-2.625,0.003067329
57871.8119,11.3125,65.0,38.14788,-2.625,0.003075115
57871.8144,11.3125,64.8125,38.53516,-2.625,0.003096917
57871.8169,11.375,64.1875,38.55448,-2.6875,0.003084459
57871.8194,11.4375,63.8125,38.14563,-2.5625,0.003062657
57871.8219,11.3125,63.4375,37.40646,-2.625,0.003068886
57871.8244,11.375,63.0,36.5432,-2.875,0.003090688
57871.8269,11.4375,62.5625,35.79005,-2.6875,0.003098475
57871.8294,11.1875,62.3125,35.32621,-2.625,0.003081344
57871.8319,11.4375,61.9375,35.21656,-2.8125,0.003068886
57871.8344,11.375,61.6875,35.39417,-2.4375,0.003075115
57871.8369,11.3125,61.3125,35.68925,-2.75,0.003086016
57871.8394,11.1875,61.0625,35.89404,-2.6875,0.003089131
57871.8419,11.375,60.6875,35.8411,-3.0,0.003068886
57871.8444,11.25,60.5,35.46464,-3.1875,0.003067329
57871.8469,11.375,60.125,34.82062,-2.375,0.003076673
57871.8494,11.375,59.9375,34.05623,-2.125,0.003086016
57871.8519,11.25,59.5625,33.34122,-2.625,0.003076673
57871.8544,11.25,59.375,32.79106,-2.875,0.003043969
57871.8569,11.3125,59.375,32.41789,-2.8125,0.003045527
57871.8594,11.375,59.0,32.13311,-2.625,0.003053313
57871.8619,11.4375,58.8125,31.80099,-2.625,0.003065771
57871.8644,11.25,58.625,31.3164,-2.4375,0.003048641
57871.8669,11.375,58.4375,30.66639,-2.1875,0.003026839
57871.8694,11.25,58.25,29.941,-2.5,0.003034625
57871.8719,11.375,58.0,29.28512,-2.8125,0.003050198
57871.8744,11.5,57.75,28.81512,-2.5625,0.003057985
57871.8769,11.5,57.625,28.54513,-2.625,0.003042412
57871.8794,11.3125,57.375,28.36586,-2.5625,0.003022167
57871.8819,11.4375,57.3125,28.09229,-2.8125,0.003031511
57871.8844,11.3125,57.0625,27.56034,-3.0,0.00305487
57871.8869,11.375,56.875,26.7236,-3.0,0.003068886
