Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
57937.9144,10.6875,62.6875,89.01244,-2.8125,0.003198142
57937.9169,10.625,64.0,89.02579,-2.3125,0.003244861
57937.9194,10.75,64.75,88.95027,-2.5625,0.003258877
57937.9219,10.75,65.875,88.72824,-2.4375,0.003258877
57937.9244,10.5625,66.9375,88.3698,-2.25,0.003260434
57937.9269,10.6875,68.125,87.95368,-2.625,0.003261991
57937.9294,10.75,69.125,87.58534,-2.3125,0.003279122
57937.9319,10.8125,70.0625,87.33466,-2.4375,0.003269778
57937.9344,10.8125,71.3125,87.18928,-2.4375,0.003219944
57937.9369,10.8125,72.125,87.05273,-2.625,0.003191913
57937.9394,10.75,73.0625,86.79316,-2.0625,0.003173225
57937.9419,10.6875,73.9375,86.31961,-1.8125,0.003174782
57937.9444,10.9375,75.125,85.64385,-2.5,0.003151423
57937.9469,10.9375,75.75,84.88984,-2.75,0.00311249
57937.9494,10.75,76.5625,84.23878,-2.6875,0.003082902
57937.9519,10.6875,77.375,83.83324,-2.0625,0.003084459
57937.9544,10.9375,78.3125,83.69003,-2.1875,0.003092246
57937.9569,11.0,79.125,83.67374,-2.1875,0.003082902
57937.9594,11.0,79.75,83.55286,-2.4375,0.003067329
57937.9619,10.9375,80.3125,83.11636,-2.25,0.003065771
57937.9644,10.9375,81.0,82.29041,-2.125,0.003072001
57937.9669,11.0625,81.4375,81.18725,-2.5625,0.003068886
57937.9694,11.0625,82.0,80.05178,-2.875,0.003062657
57937.9719,11.0,82.375,79.1243,-2.4375,0.003062657
57937.9744,10.9375,82.875,78.48869,-2.5625,0.003075115
57937.9769,10.9375,83.375,77.99268,-2.125,0.003084459
57937.9794,10.875,83.875,77.29426,-2.4375,0.003087574
57937.9819,11.0625,84.0625,76.02312,-2.6875,0.003067329
57937.9844,11.1875,84.375,73.9786,-2.6875,0.003081344
57937.9869,11.0625,84.625,71.25642,-2.8125,0.003096917
57937.9894,11.0625,84.875,68.22732,-2.8125,0.003110933
57937.9919,11.1875,85.0,65.36395,-2.375,0.00309536
57937.9944,11.375,85.125,62.999,-2.625,0.003084459
57937.9969,11.1875,85.25,61.14299,-2.375,0.003109376
57937.9994,11.1875,85.3125,59.46844,-2.0,0.003126506
57938.0019,11.0,85.3125,57.48532,-2.4375,0.003126506
57938.0044,11.1875,85.375,54.82924,-2.3125,0.00311249
57938.0069,11.25,85.375,51.51604,-2.5625,0.003093803
57938.0094,11.25,85.375,48.02199,-2.5625,0.003124949
57938.0119,11.25,85.1875,45.13054,-2.625,0.003149866
57938.0144,11.3125,85.0,43.60373,-2.6875,0.003138965
57938.0169,11.125,85.125,43.8302,-2.875,0.003126506
57938.0194,11.1875,84.8125,45.62187,-2.75,0.00311872
57938.0219,11.375,84.625,48.2623,-2.625,0.003126506
57938.0244,11.375,84.5625,50.79007,-2.9375,0.003142079
57938.0269,11.4375,84.25,52.38535,-2.9375,0.003137407
57938.0294,11.125,83.75,52.67968,-2.25,0.003117162
57938.0319,11.125,83.4375,51.84993,-2.25,0.003117162
57938.0344,11.125,83.1875,50.46562,-2.1875,0.003131178
57938.0369,11.25,82.9375,49.17774,-2.3125,0.003121834
57938.0394,11.375,82.4375,48.4085,-2.5,0.003115605
57938.0419,11.4375,82.125,48.18868,-2.375,0.003096917
57938.0444,11.1875,81.5,48.20583,-2.625,0.003100032
57938.0469,11.25,81.125,48.01739,-3.125,0.003117162
57938.0494,11.125,80.5625,47.30486,-2.625,0.003106261
57938.0519,11.1875,80.0,46.03735,-2.4375,0.00309536
57938.0544,11.25,79.5,44.46817,-2.1875,0.003090688
57938.0569,11.375,79.0,42.98328,-1.9375,0.003100032
57938.0594,11.3125,78.25,41.89426,-2.3125,0.003120277
57938.0619,11.25,77.625,41.28849,-2.6875,0.003103147
57938.0644,11.0625,77.0625,41.01028,-2.875,0.003084459
57938.0669,11.0625,76.25,40.7715,-2.4375,0.003082902
57938.0694,11.3125,75.625,40.32252,-1.9375,0.003103147
57938.0719,11.1875,74.9375,39.58866,-2.1875,0.003120277
57938.0744,11.25,74.125,38.70223,-1.9375,0.00309536
57938.0769,11.125,73.5625,37.91946,-2.5625,0.003065771
57938.0794,11.1875,72.6875,37.47263,-2.6875,0.003072001
57938.0819,11.3125,72.0,37.43682,-2.75,0.003092246
57938.0844,11.3125,71.375,37.67934,-2.75,0.003100032
57938.0869,11.25,70.6875,37.91399,-2.4375,0.003096917
57938.0894,11.25,70.1875,37.83037,-2.6875,0.00307823
57938.0919,11.0625,69.4375,37.23424,-2.9375,0.003073558
57938.0944,11.25,69.125,36.13373,-3.0,0.003103147
57938.0969,11.25,68.8125,34.73559,-2.9375,0.003101589
57938.0994,11.3125,68.125,33.35772,-2.9375,0.003081344
57938.1019,11.375,67.875,32.30028,-3.0,0.003064214
57938.1044,11.25,67.3125,31.73108,-2.625,0.003075115
57938.1069,11.3125,66.75,31.63032,-2.8125,0.003103147
57938.1094,11.1875,66.3125,31.81193,-2.875,0.003090688
57938.1119,11.1875,65.875,32.00699,-2.6875,0.003076673
57938.1144,11.1875,65.25,31.97285,-2.75,0.003068886
57938.1169,11.375,64.875,31.58468,-2.5,0.003073558
57938.1194,11.25,64.625,30.87667,-2.9375,0.003093803
57938.1219,11.4375,64.3125,30.02171,-3.3125,0.003079787
57938.1244,11.0625,63.8125,29.26092,-3.25,0.003064214
57938.1269,11.25,63.375,28.81133,-3.4375,0.003067329
57938.1294,11.375,63.0625,28.78543,-2.75,0.00307823
57938.1319,11.4375,62.6875,29.15133,-3.0,0.003081344
57938.1344,11.5,62.3125,29.74571,-3.0625,0.003062657
57938.1369,11.5625,62.125,30.33261,-3.6875,0.003051756
57938.1394,11.3125,61.75,30.68517,-3.125,0.003062657
57938.1419,11.3125,61.375,30.65933,-3.0,0.003086016
57938.1444,11.3125,61.0625,30.23482,-2.875,0.00307823
57938.1469,11.3125,60.9375,29.51051,-2.6875,0.003050198
57938.1494,11.3125,60.8125,28.65957,-2.75,0.003050198
57938.1519,11.3125,60.4375,27.86436,-3.125,0.003067329
57938.1544,11.125,60.3125,27.25561,-3.25,0.003079787
57938.1569,11.3125,59.9375,26.87693,-2.9375,0.003072001
57938.1594,11.1875,59.8125,26.68341,-2.8125,0.003036183
57938.1619,11.375,59.625,26.56983,-3.1875,0.003039297
57938.1644,11.4375,59.375,26.41399,-3.5,0.003059542
57938.1669,11.3125,59.25,26.11809,-2.9375,0.003070443
57938.1694,11.3125,59.0,25.63412,-2.875,0.003047084
57938.1719,11.1875,58.75,24.96904,-3.1875,0.00302061
57938.1744,11.375,58.6875,24.17203,-2.6875,0.003026839
57938.1769,11.4375,58.625,23.31282,-2.8125,0.003051756
57938.1794,11.375,58.25,22.4612,-2.8125,0.003062657
57938.1819,11.4375,58.1875,21.67228,-2.6875,0.003042412
57938.1844,11.5625,58.0,20.98016,-3.0,0.003043969
57938.1869,11.5,57.6875,20.39765,-2.8125,0.00305487
57938.1894,11.375,57.75,19.9186,-2.875,0.003067329
57938.1919,11.375,57.4375,19.52044,-2.5625,0.003079787
57938.1944,11.4375,57.25,19.16634,-2.5625,0.003084459
57938.1969,11.4375,57.0625,18.80895,-2.75,0.003081344
57938.1994,11.3125,57.0,18.39764,-2.6875,0.003089131
57938.2019,11.5,56.875,17.89049,-3.1875,0.003123392
57938.2044,11.5,56.75,17.26914,-3.4375,0.003134293
57938.2069,11.625,56.5,16.55146,-3.125,0.003126506
57938.2094,11.5625,56.375,15.79645,-2.125,0.003115605
57938.2119,11.375,56.1875,15.09479,-2.4375,0.003107819
57938.2144,11.5625,56.125,14.54474,-2.5,0.003103147
57938.2169,11.5625,56.125,14.22011,-2.5625,0.003103147
57938.2194,11.4375,55.875,14.14141,-2.25,0.003093803
57938.2219,11.4375,55.75,14.26358,-2.5625,0.003120277
57938.2244,11.625,55.625,14.4859,-2.5,0.003137407
57938.2269,11.6875,55.5625,14.68323,-2.375,0.003109376
57938.2294,11.625,55.375,14.74805,-2.375,0.003076673
57938.2319,11.5625,55.25,14.62892,-2.5625,0.003051756
57938.2344,11.5625,55.125,14.34892,-2.4375,0.00305487
57938.2369,11.625,54.8125,13.99691,-2.5625,0.003051756
57938.2394,11.5625,54.9375,13.6926,-2.5625,0.00302061
57938.2419,11.8125,54.8125,13.54024,-2.4375,0.002992578
57938.2444,11.6875,54.5625,13.58714,-2.1875,0.002981677
57938.2469,11.4375,54.4375,13.804,-2.25,0.002998808
57938.2494,11.5,54.4375,14.09528,-1.9375,0.002998808
57938.2519,11.5625,54.3125,14.33632,-2.1875,0.002981677
57938.2544,11.6875,54.125,14.42217,-2.0625,0.002955203
57938.2569,11.6875,54.0,14.30823,-2.25,0.002944302
57938.2594,11.4375,53.875,14.02623,-2.4375,0.002975448
57938.2619,11.5625,53.625,13.66912,-2.6875,0.002970776
57938.2644,11.5625,53.6875,13.35077,-2.5625,0.002955203
57938.2669,11.5625,53.5,13.15677,-3.0625,0.002942745
57938.2694,11.75,53.4375,13.10689,-2.6875,0.002948974
57938.2719,11.75,53.4375,13.14499,-2.5,0.002967662
57938.2744,11.375,53.1875,13.16189,-2.625,0.00296299
57938.2769,11.4375,53.125,13.04207,-2.5625,0.002952089
57938.2794,11.4375,52.9375,12.7144,-2.3125,0.002961432
57938.2819,11.5,53.0,12.1854,-2.5,0.002958318
57938.2844,11.5,52.875,11.54049,-2.375,0.00296299
57938.2869,11.5625,52.75,10.91245,-2.375,0.00295676
57938.2894,11.5,52.75,10.43031,-2.5,0.002931844
57938.2919,11.5,52.5625,10.17006,-2.625,0.002885125
57938.2944,11.4375,52.5,10.12687,-2.0,0.002874223
57938.2969,11.5,52.625,10.21851,-2.6875,0.002930286
57938.2994,11.5625,52.375,10.3161,-2.1875,0.003017495
57938.3019,11.625,52.3125,10.28867,-2.5625,0.003204371
57938.3044,11.6875,52.3125,10.04471,-2.6875,0.003489357
57938.3069,11.5,52.125,9.558366,-2.6875,0.003557878
57938.3094,11.4375,52.0,8.875449,-2.375,0.003224616
57938.3119,11.5625,51.875,8.100693,-2.25,0.002791687
57938.3144,11.375,51.875,7.369897,-2.4375,0.002615712
57938.3169,11.5625,51.6875,6.811373,-2.625,0.002623498
57938.3194,11.375,51.75,6.502839,-2.6875,0.002684233
57938.3219,11.5625,51.875,6.4344,-2.1875,0.002757426
57938.3244,11.625,51.75,6.493261,-2.625,0.002821275
57938.3269,11.625,51.625,6.486883,-2.5,0.002888239
57938.3294,11.5,51.5,6.208605,-2.0625,0.002931844
57938.3319,11.625,51.4375,5.530447,-1.625,0.002986349
57938.3344,11.6875,51.375,4.485582,-1.875,0.002995693
57938.3369,11.5,51.1875,3.294555,-1.875,0.002973891
57938.3394,11.625,51.25,2.304833,-1.75,0.002983235
57938.3419,11.6875,51.25,1.851725,-2.0625,0.003008151
57938.3444,11.5625,51.125,2.09241,-1.75,0.003026839
57938.3469,11.4375,50.875,2.893827,-2.0625,0.003011266
57938.3494,11.6875,50.9375,3.844357,-2.1875,0.002995693
57938.3519,11.75,50.75,4.407742,-2.625,0.002989464
57938.3544,11.625,50.5625,4.167916,-2.5,0.003008151
57938.3569,11.75,50.625,3.053856,-1.9375,0.003008151
57938.3594,11.6875,50.5625,1.426915,-1.8125,0.002994136
57938.3619,11.5,50.4375,-0.03126834,-2.5625,0.002995693
57938.3644,11.875,50.4375,-0.5989568,-2.5625,0.002998808
