Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
57950.5144,10.875,75.0,85.99677,-1.6875,0.003031511
57950.5169,10.875,75.8125,85.31474,-1.75,0.003026839
57950.5194,10.75,76.5625,84.81889,-1.875,0.003051756
57950.5219,10.8125,77.375,84.60024,-1.5625,0.003053313
57950.5244,10.6875,78.0625,84.58344,-1.5,0.003028396
57950.5269,10.6875,78.8125,84.55573,-1.5625,0.003011266
57950.5294,10.6875,79.5625,84.27793,-1.5625,0.003015938
57950.5319,10.875,80.125,83.6196,-1.75,0.003023724
57950.5344,11.0,80.6875,82.64139,-2.3125,0.003019052
57950.5369,10.875,81.3125,81.57195,-2.125,0.003006594
57950.5394,10.9375,81.625,80.67988,-2.0625,0.003011266
57950.5419,10.875,82.125,80.10429,-1.875,0.003025282
57950.5444,10.8125,82.3125,79.73775,-1.625,0.003040855
57950.5469,10.75,82.8125,79.23656,-1.375,0.003048641
57950.5494,10.875,83.25,78.16743,-1.3125,0.003034625
57950.5519,10.75,83.5,76.22476,-2.0,0.003031511
57950.5544,10.9375,83.75,73.40449,-1.5625,0.003059542
57950.5569,11.0625,84.0,70.03545,-1.625,0.003072001
57950.5594,10.875,84.25,66.63846,-1.6875,0.003062657
57950.5619,10.875,84.3125,63.67781,-1.9375,0.003057985
57950.5644,10.875,84.3125,61.33329,-1.375,0.00307823
57950.5669,10.8125,84.4375,59.41802,-1.625,0.003093803
57950.5694,10.9375,84.625,57.49622,-1.5625,0.003086016
57950.5719,11.0,84.6875,55.14907,-1.6875,0.003084459
57950.5744,10.9375,84.4375,52.25272,-1.375,0.003086016
57950.5769,10.9375,84.5,49.11788,-1.1875,0.003092246
57950.5794,10.8125,84.4375,46.40509,-1.6875,0.003110933
57950.5819,10.8125,84.5,44.84395,-1.3125,0.003114048
57950.5844,10.875,84.25,44.88801,-1.8125,0.00309536
57950.5869,11.0625,84.125,46.47585,-1.875,0.003098475
