Time (s),Venous (mmHg),FAP (mmHg),Arterial - Pigtail (mmHg),Swan (mmHg),EKG (mV)
58260.8144,12.625,45.875,47.86425,-2.9375,0.002682676
58260.8169,12.5625,46.3125,47.04031,-2.625,0.002682676
58260.8194,12.5,47.0,46.1502,-2.8125,0.002716936
58260.8219,12.5625,47.375,45.19206,-2.6875,0.002758983
58260.8244,12.4375,47.875,44.21006,-3.0,0.002774556
58260.8269,12.5,48.5,43.26741,-2.625,0.002791687
58260.8294,12.625,48.9375,42.40557,-2.6875,0.002815046
58260.8319,12.4375,49.3125,41.61435,-2.1875,0.002863322
58260.8344,12.8125,50.0,40.83226,-2.125,0.002911599
58260.8369,12.5625,50.375,39.97912,-2.75,0.002919385
58260.8394,12.5625,50.625,39.00256,-2.1875,0.002927172
58260.8419,12.8125,51.25,37.91039,-2.3125,0.002967662
58260.8444,12.75,51.8125,36.76672,-2.0625,0.003005037
58260.8469,12.6875,51.9375,35.65061,-2.75,0.003017495
58260.8494,12.6875,52.4375,34.59979,-2.25,0.003012823
58260.8519,12.5625,52.6875,33.57334,-2.75,0.003014381
58260.8544,12.5,52.9375,32.45934,-3.125,0.003017495
58260.8569,12.6875,53.4375,31.12795,-2.6875,0.003043969
58260.8594,12.5625,53.6875,29.5023,-2.4375,0.003043969
58260.8619,12.6875,54.25,27.6055,-2.6875,0.00302061
58260.8644,12.6875,54.4375,25.55271,-2.625,0.003017495
58260.8669,12.6875,54.6875,23.48815,-2.4375,0.00303774
58260.8694,12.625,54.8125,21.5011,-2.5625,0.00305487
58260.8719,12.5625,55.125,19.57277,-2.1875,0.003047084
58260.8744,12.4375,55.375,17.59342,-2.3125,0.003012823
58260.8769,12.5625,55.625,15.45106,-2.5,0.003009709
58260.8794,12.625,55.875,13.14951,-2.4375,0.003029954
58260.8819,12.625,55.9375,10.88796,-2.5,0.003040855
58260.8844,12.5625,56.25,9.045488,-2.5625,0.003026839
58260.8869,12.75,56.1875,8.058889,-2.4375,0.002998808
58260.8894,12.75,56.375,8.238623,-2.6875,0.003008151
58260.8919,12.6875,56.375,9.607119,-2.75,0.003025282
58260.8944,12.75,56.625,11.84163,-2.375,0.003040855
58260.8969,12.6875,56.375,14.35964,-2.75,0.003019052
58260.8994,12.6875,56.25,16.51842,-2.5625,0.003000365
58260.9019,12.5625,56.1875,17.84438,-2.625,0.003012823
58260.9044,12.5625,56.3125,18.19211,-2.625,0.003025282
58260.9069,12.5625,56.1875,17.76546,-2.875,0.003025282
58260.9094,12.5,56.1875,16.99754,-2.5625,0.003006594
58260.9119,12.625,56.0625,16.35113,-2.25,0.003006594
58260.9144,12.6875,56.0,16.13408,-2.0625,0.003017495
58260.9169,12.625,55.6875,16.40945,-2.375,0.003028396
58260.9194,12.6875,55.5625,17.02845,-2.75,0.003019052
58260.9219,12.6875,55.375,17.75279,-2.6875,0.003000365
58260.9244,12.625,55.3125,18.39396,-2.5,0.003000365
58260.9269,12.8125,55.0625,18.89792,-2.4375,0.003011266
58260.9294,12.8125,54.9375,19.34047,-2.75,0.003022167
58260.9319,12.75,54.5,19.85007,-2.5625,0.003003479
58260.9344,12.6875,54.3125,20.5113,-2.3125,0.002981677
58260.9369,12.5625,53.9375,21.30641,-2.5625,0.003009709
58260.9394,12.5625,53.6875,22.1253,-2.25,0.003025282
58260.9419,12.625,53.25,22.83243,-2.0,0.003012823
58260.9444,12.5625,52.75,23.34745,-2.375,0.002998808
58260.9469,12.6875,52.4375,23.6922,-1.8125,0.002986349
58260.9494,12.5625,52.125,23.97797,-1.9375,0.003003479
58260.9519,12.5625,51.625,24.34325,-2.1875,0.003025282
58260.9544,12.625,51.25,24.87831,-2.625,0.003006594
58260.9569,12.6875,50.75,25.5788,-2.75,0.002983235
58260.9594,12.8125,50.5,26.35151,-2.625,0.002991021
58260.9619,12.6875,49.9375,27.06559,-2.625,0.003005037
58260.9644,12.4375,49.625,27.61866,-2.5625,0.003017495
58260.9669,12.6875,49.125,27.98146,-2.875,0.003009709
58260.9694,12.6875,48.9375,28.20032,-3.125,0.002994136
58260.9719,12.5,48.5,28.36094,-2.6875,0.002984792
58260.9744,12.5625,48.375,28.53787,-2.75,0.003012823
58260.9769,12.5,48.125,28.75877,-3.0,0.003012823
58260.9794,12.8125,47.8125,29.00107,-3.3125,0.002989464
58260.9819,12.75,47.625,29.21824,-3.125,0.002983235
58260.9844,12.75,47.375,29.37692,-2.75,0.002987906
58260.9869,12.8125,47.1875,29.48135,-3.1875,0.003006594
58260.9894,12.75,47.0,29.57181,-2.9375,0.003006594
58260.9919,12.75,46.6875,29.70009,-2.75,0.002995693
58260.9944,12.6875,46.4375,29.89786,-2.8125,0.002994136
58260.9969,12.75,46.125,30.15722,-2.625,0.003005037
58260.9994,12.6875,45.75,30.43406,-2.75,0.003019052
58261.0019,12.75,45.5,30.67159,-2.5,0.003008151
58261.0044,12.75,45.25,30.83,-2.75,0.003000365
58261.0069,12.625,45.0,30.90628,-2.75,0.003011266
58261.0094,12.8125,44.5625,30.93428,-3.0,0.003026839
58261.0119,12.5625,44.4375,30.96661,-3.1875,0.003033068
58261.0144,12.5625,44.125,31.049,-2.625,0.003019052
58261.0169,12.625,43.875,31.20047,-2.875,0.003011266
58261.0194,12.75,43.625,31.40775,-2.8125,0.003015938
58261.0219,12.625,43.375,31.63491,-2.9375,0.003036183
58261.0244,12.75,43.3125,31.84115,-3.0,0.003026839
58261.0269,12.5625,43.0,31.9977,-2.9375,0.003011266
58261.0294,12.75,43.0,32.09635,-3.0,0.003014381
58261.0319,12.8125,42.875,32.14809,-2.4375,0.003015938
58261.0344,12.875,42.375,32.17469,-2.375,0.003050198
58261.0369,12.9375,42.25,32.19835,-2.4375,0.003045527
58261.0394,12.6875,42.0,32.23379,-2.3125,0.003017495
58261.0419,12.5,41.9375,32.28489,-2.8125,0.003023724
58261.0444,12.6875,41.6875,32.34561,-2.6875,0.003033068
58261.0469,12.6875,41.6875,32.40343,-2.875,0.00305487
58261.0494,12.75,41.25,32.44405,-2.875,0.003051756
58261.0519,12.625,41.3125,32.45578,-2.875,0.003036183
58261.0544,12.6875,41.1875,32.43289,-2.8125,0.003043969
58261.0569,12.75,41.125,32.377,-2.4375,0.003053313
58261.0594,12.75,41.0,32.29604,-2.6875,0.0030611
58261.0619,12.8125,40.75,32.20094,-2.8125,0.003057985
58261.0644,12.75,40.5625,32.10088,-2.75,0.00303774
58261.0669,12.6875,40.5,31.99955,-2.75,0.003023724
58261.0694,12.75,40.375,31.89378,-2.75,0.003034625
58261.0719,12.75,40.0625,31.77599,-2.875,0.003050198
58261.0744,12.6875,39.9375,31.63897,-2.75,0.00305487
58261.0769,12.75,40.0,31.48038,-2.875,0.003051756
58261.0794,12.8125,39.6875,31.30455,-2.9375,0.003062657
58261.0819,12.8125,39.625,31.12057,-2.625,0.003092246
58261.0844,12.875,39.625,30.93801,-2.5,0.003126506
58261.0869,12.9375,39.375,30.76269,-2.625,0.003142079
58261.0894,12.9375,39.25,30.59471,-2.375,0.003160767
58261.0919,12.8125,39.0625,30.4303,-2.625,0.003166996
58261.0944,12.8125,38.9375,30.26627,-2.375,0.003191913
58261.0969,12.8125,38.9375,30.10398,-2.375,0.003188798
58261.0994,13.0,38.9375,29.95023,-2.4375,0.003190355
58261.1019,13.0,38.6875,29.8137,-2.5,0.003202814
58261.1044,12.875,38.625,29.69921,-2.875,0.003182569
58261.1069,12.875,38.5,29.60309,-3.1875,0.003160767
58261.1094,12.875,38.375,29.51302,-2.5,0.003120277
58261.1119,12.8125,38.1875,29.41281,-2.6875,0.003082902
58261.1144,12.9375,38.125,29.28993,-2.8125,0.003073558
58261.1169,13.0,38.25,29.14151,-3.0,0.003087574
58261.1194,12.875,38.125,28.97515,-3.0625,0.003082902
58261.1219,12.75,37.9375,28.80375,-2.625,0.003059542
58261.1244,12.875,37.9375,28.63712,-2.6875,0.003050198
58261.1269,12.9375,37.9375,28.47497,-2.875,0.003057985
58261.1294,13.0,37.875,28.30587,-2.5,0.003075115
58261.1319,12.9375,37.75,28.11324,-2.75,0.003079787
58261.1344,12.9375,37.5,27.88586,-2.5,0.003050198
58261.1369,12.9375,37.625,27.62711,-2.625,0.003036183
58261.1394,12.8125,37.4375,27.35736,-2.1875,0.003067329
58261.1419,12.75,37.3125,27.10689,-2.1875,0.003073558
58261.1444,12.8125,37.25,26.90209,-2.5625,0.003076673
58261.1469,13.0,37.375,26.75156,-2.875,0.003059542
58261.1494,13.0,37.1875,26.63993,-2.75,0.003056428
58261.1519,13.125,37.25,26.53346,-2.9375,0.003081344
58261.1544,13.125,37.0,26.39604,-2.9375,0.003076673
58261.1569,13.0625,37.125,26.20733,-3.0,0.003053313
58261.1594,13.125,36.9375,25.97392,-3.1875,0.003057985
58261.1619,13.1875,36.9375,25.72639,-3.0625,0.00307823
58261.1644,13.1875,36.8125,25.50296,-3.375,0.003081344
58261.1669,13.0,36.625,25.32821,-3.5,0.003073558
58261.1694,13.0625,36.75,25.19853,-3.3125,0.00303774
58261.1719,13.1875,36.6875,25.08343,-3.0,0.003008151
58261.1744,13.0,36.5625,24.9431,-3.125,0.003029954
58261.1769,13.125,36.3125,24.75291,-2.9375,0.003132735
58261.1794,13.1875,36.3125,24.52057,-3.0625,0.003261991
58261.1819,13.0625,36.3125,24.28446,-2.8125,0.003417721
58261.1844,13.0625,36.4375,24.0915,-2.875,0.003509602
58261.1869,13.0625,36.375,23.96587,-2.6875,0.003423951
58261.1894,13.125,36.25,23.88671,-2.3125,0.00313585
58261.1919,13.25,36.1875,23.78976,-2.8125,0.002875781
58261.1944,13.125,36.125,23.59575,-2.625,0.002829062
